cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.6205143859,30.1059,14.8244,338.0207,305.5258,-8.0348270729658E-02
3.8618820116,24.5484,14.1210,338.0207,305.5258,-6.4011253239905E-02
4.1032496374,20.2342,13.3639,338.0207,305.5258,-5.0920128993558E-02
4.3446172631,17.2717,12.2561,338.0207,305.5258,-4.0336453149227E-02
4.5859848888,15.3706,10.7357,338.0207,305.5258,-3.2136168124216E-02
4.8273525146,13.9125,8.8926,338.0207,305.5258,-2.6417440462854E-02
5.0687201403,12.4043,6.8698,338.0207,305.5258,-2.2836615194933E-02
5.3100877660,10.6810,4.8812,338.0207,305.5258,-2.0777357896106E-02
5.5514553917,8.8578,3.2085,338.0207,305.5917,-1.9632454006771E-02
5.7928230175,7.1102,2.0067,338.0207,376.0362,-1.9982816530820E-02
6.0341906432,5.5395,1.2330,338.0207,380.3146,-1.9402504755365E-02
6.2755582689,4.1752,0.7618,338.0207,550.7830,-2.0680588506660E-02
6.5169258947,3.0281,0.4790,338.0207,565.8217,-1.9527891903900E-02
6.7582935204,2.1168,0.3085,338.0253,566.0468,-1.7761858701996E-02
6.9996611461,1.4419,0.2039,338.9210,566.0620,-1.5731681957259E-02
7.2410287718,0.9709,0.1381,374.4764,566.0645,-1.4303452796125E-02
7.4823963976,0.6543,0.0959,813.1925,566.0652,-1.8249212369002E-02
7.7237640233,0.4450,0.0680,2297.6695,566.0655,-3.3216888435243E-02
7.9651316490,0.3070,0.0493,3590.6880,566.0656,-4.8321272756317E-02
8.2064992748,0.2155,0.0364,4197.6311,566.0657,-5.1691671985977E-02
8.4478669005,0.1538,0.0274,4469.6198,566.0657,-4.8210795510161E-02
8.6892345262,0.1115,0.0208,4604.1415,566.0657,-4.2782984429612E-02
8.9306021519,0.0823,0.0161,4677.2834,566.0658,-3.7215308192207E-02
9.1719697777,0.0616,0.0126,4720.6809,566.0658,-3.2067960955713E-02
9.4133374034,0.0469,0.0101,4747.9751,566.0658,-2.7509127028093E-02
9.6547050291,0.0363,0.0081,4766.0989,566.0658,-2.3555882282921E-02
9.8960726549,0.0283,0.0066,4778.6799,566.0658,-2.0175809127232E-02
10.1374402806,0.0224,0.0054,4787.5636,566.0658,-1.7294026198749E-02
10.3788079063,0.0180,0.0045,4794.0428,566.0658,-1.4851895478588E-02
10.6201755320,0.0146,0.0038,4798.8681,566.0658,-1.2786151853322E-02
10.8615431578,0.0119,0.0032,4802.5263,566.0658,-1.1039931962555E-02
11.1029107835,0.0097,0.0027,4805.4777,566.0658,-9.5547631700898E-03
11.3442784092,0.0080,0.0023,4807.7495,566.0658,-8.2970529768701E-03
11.5856460349,0.0067,0.0020,4809.4659,566.0658,-7.2245873722810E-03
11.8270136607,0.0055,0.0016,4811.0219,566.0658,-6.3066483899936E-03
