cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.5657540000,17.2548,13.1226,338.0207,411.5665,-4.9378926345640E-02
4.8701376000,14.8081,12.3284,338.0207,411.5665,-3.9945664230510E-02
5.1745212000,13.1653,11.5773,338.0207,411.5665,-3.4161557232222E-02
5.4789048000,11.8920,10.3492,338.0207,411.5665,-3.1715197121377E-02
5.7832884000,10.4704,8.3649,338.0207,411.5665,-3.1272864466611E-02
6.0876720000,8.6552,5.9300,338.0207,411.5665,-3.0708482536916E-02
6.3920556000,6.5607,3.7514,338.0207,411.5665,-2.8687975560056E-02
6.6964392000,4.5334,2.2265,338.0207,411.5665,-2.5356208480164E-02
7.0008228000,2.9078,1.2990,338.0207,1560.2094,-3.4516775164635E-02
7.3052064000,1.7910,0.7667,338.0795,1597.4794,-2.8458256916445E-02
7.6095900000,1.0929,0.4638,351.8967,1597.4796,-2.3725769919343E-02
7.9139736000,0.6745,0.2893,742.2371,1597.4796,-3.1148721112015E-02
8.2183572000,0.4252,0.1861,2493.6411,1597.4796,-5.9331313327888E-02
8.5227408000,0.2745,0.1229,3835.7705,1597.4796,-6.7669125234082E-02
8.8271244000,0.1822,0.0837,4356.8060,1597.4796,-6.1324583343424E-02
9.1315080000,0.1240,0.0585,4568.1122,1597.4796,-5.2096786315980E-02
9.4358916000,0.0864,0.0418,4667.7503,1597.4796,-4.3325491299252E-02
9.7402752000,0.0617,0.0305,4720.6619,1597.4796,-3.5770275944532E-02
10.0446588000,0.0446,0.0225,4752.0106,1597.4796,-2.9479710316312E-02
10.3490424000,0.0331,0.0171,4771.1809,1597.4796,-2.4326534900838E-02
10.6534260000,0.0250,0.0132,4783.7506,1597.4796,-2.0139359096554E-02
10.9578096000,0.0192,0.0103,4792.3173,1597.4796,-1.6734471264333E-02
11.2621932000,0.0148,0.0081,4798.5494,1597.4796,-1.3969677226982E-02
11.5665768000,0.0117,0.0065,4802.8622,1597.4796,-1.1716524238077E-02
11.8709604000,0.0093,0.0053,4806.0372,1597.4796,-9.8642193265223E-03
12.1753440000,0.0075,0.0043,4808.4179,1597.4796,-8.3476125367655E-03
12.4797276000,0.0061,0.0036,4810.2321,1597.4796,-7.0833787191975E-03
12.7841112000,0.0051,0.0030,4811.6343,1597.4796,-6.0456777016164E-03
13.0884948000,0.0040,0.0023,4813.0684,1597.4796,-5.1768631698838E-03
13.3928784000,0.0033,0.0020,4813.9034,1597.4796,-4.4536398796701E-03
13.6972620000,0.0028,0.0017,4814.5700,1597.4796,-3.8419632760321E-03
14.0016456000,0.0024,0.0014,4815.1073,1597.4796,-3.3292313454917E-03
14.3060292000,0.0020,0.0013,4815.5445,1597.4796,-2.8906527443141E-03
14.6104128000,0.0018,0.0011,4815.9030,1597.4796,-2.5215550861100E-03
14.9147964000,0.0015,0.0010,4816.1993,1597.4796,-2.2064375729649E-03
