cell_length,CN_C,CN_A,C6_C,C6_A,Edis
5.3882811468,17.1366,10.9912,338.0207,113.8463,-8.0255334938331E-02
5.7474998899,14.3480,9.5856,338.0207,113.8463,-6.5538968970440E-02
6.1067186330,12.5189,7.9605,338.0207,113.8463,-5.5622540345225E-02
6.4659373761,11.2107,6.1490,338.0207,113.8463,-4.9316908313219E-02
6.8251561193,9.9409,4.2751,338.0207,239.5554,-5.7517982401237E-02
7.1843748624,8.4205,2.6790,338.0207,239.5554,-5.4927362910403E-02
7.5435936055,6.6173,1.5704,338.0207,239.5746,-5.1614492036818E-02
7.9028123486,4.7504,0.9010,338.0207,346.0079,-5.2227511615726E-02
8.2620310917,3.1437,0.5223,338.0207,787.8182,-5.8444662264330E-02
8.6212498349,1.9753,0.3108,338.0346,801.7962,-4.8731062380140E-02
8.9804685780,1.2170,0.1911,343.2541,802.5503,-4.1350569818163E-02
9.3396873211,0.7527,0.1214,551.3919,802.6690,-5.4160661289258E-02
9.6989060642,0.4736,0.0797,2022.8516,802.7025,-1.0612124969103E-01
10.0581248073,0.3049,0.0538,3607.7388,802.7157,-1.2876738112874E-01
10.4173435505,0.2012,0.0373,4269.3364,802.7221,-1.1942037401051E-01
10.7765622936,0.1362,0.0266,4530.0407,802.7255,-1.0249530906000E-01
11.1357810367,0.0945,0.0193,4648.5657,802.7276,-8.5747282016527E-02
11.4949997798,0.0670,0.0143,4710.0599,802.7289,-7.1076191882378E-02
11.8542185229,0.0484,0.0108,4745.3606,802.7298,-5.8751220652849E-02
12.2134372661,0.0358,0.0084,4766.9013,802.7304,-4.8594950332013E-02
12.5726560092,0.0268,0.0065,4780.9419,802.7308,-4.0289477906641E-02
12.9318747523,0.0205,0.0052,4790.3696,802.7311,-3.3521177597539E-02
13.2910934954,0.0159,0.0041,4796.9636,802.7314,-2.8004208344385E-02
13.6503122385,0.0124,0.0034,4801.8033,802.7315,-2.3496225776845E-02
14.0095309817,0.0098,0.0028,4805.3715,802.7317,-1.9805959186559E-02
14.3687497248,0.0079,0.0023,4807.9864,802.7318,-1.6763232946016E-02
14.7279684679,0.0064,0.0019,4809.9153,802.7319,-1.4250822063862E-02
15.0871872110,0.0052,0.0016,4811.4600,802.7319,-1.2161266652902E-02
15.4464059541,0.0043,0.0013,4812.6365,802.7320,-1.0421640185813E-02
15.8056246972,0.0036,0.0011,4813.5430,802.7320,-8.9653106636849E-03
16.1648434404,0.0030,0.0010,4814.3469,802.7321,-7.7338351085387E-03
16.5240621835,0.0025,0.0008,4814.9458,802.7321,-6.7005922452666E-03
16.8832809266,0.0021,0.0007,4815.4098,802.7321,-5.8264768200055E-03
17.2424996697,0.0018,0.0006,4815.8517,802.7321,-5.0803003495410E-03
17.6017184128,0.0016,0.0005,4816.1594,802.7322,-4.4449664777426E-03
