cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.7769923550,15.4142,12.2735,338.0207,186.1052,-3.1964616779138E-02
5.0954585120,13.4517,11.4971,338.0207,186.1052,-2.5538220269667E-02
5.4139246690,11.9902,10.1317,338.0207,186.1052,-2.1684307019907E-02
5.7323908260,10.4595,7.9090,338.0207,186.1052,-2.0152511065017E-02
6.0508569830,8.5949,5.3176,338.0207,186.1052,-1.9886459666754E-02
6.3693231400,6.4842,3.1821,338.0207,186.1052,-1.9473838022097E-02
6.6877892970,4.4355,1.8045,338.0207,186.1283,-1.8049251236459E-02
7.0062554540,2.7947,1.0186,338.0207,196.3086,-1.5896148057447E-02
7.3247216110,1.6842,0.5876,338.1562,459.2225,-1.6068521017233E-02
7.6431877680,1.0057,0.3499,365.6622,1085.8296,-1.7661297897883E-02
7.9616539250,0.6087,0.2158,1017.0258,1372.5858,-3.2682050664166E-02
8.2801200820,0.3775,0.1378,2962.5627,1470.1815,-6.1596943020334E-02
8.5985862390,0.2403,0.0906,4057.9383,1509.8865,-6.5288248334514E-02
8.9170523960,0.1577,0.0615,4455.1868,1528.7164,-5.7642134700244E-02
9.2355185530,0.1063,0.0428,4618.2920,1538.9243,-4.8353302194911E-02
9.5539847100,0.0736,0.0306,4696.3680,1544.9231,-3.9858175587615E-02
9.8724508670,0.0521,0.0224,4738.6316,1548.6813,-3.2654400179056E-02
10.1909170240,0.0375,0.0165,4763.9842,1551.2226,-2.6741554838524E-02
10.5093831810,0.0277,0.0125,4779.5822,1552.8899,-2.1937339303312E-02
10.8278493380,0.0209,0.0097,4789.8570,1554.0577,-1.8065321337727E-02
11.1463154950,0.0160,0.0076,4796.8794,1554.8961,-1.4938829482548E-02
11.4647816520,0.0123,0.0060,4802.0140,1555.5320,-1.2416567031024E-02
11.7832478090,0.0097,0.0048,4805.5566,1555.9891,-1.0364295046582E-02
12.1017139660,0.0077,0.0039,4808.1656,1556.3359,-8.6992267469479E-03
12.4201801230,0.0062,0.0032,4810.1221,1556.6030,-7.3363758090287E-03
12.7386462800,0.0051,0.0027,4811.6131,1556.8114,-6.2049380877054E-03
13.0571124370,0.0039,0.0021,4813.0989,1557.0460,-5.2758999364120E-03
13.3755785940,0.0033,0.0017,4813.9652,1557.1706,-4.5084123355046E-03
13.6940447510,0.0027,0.0015,4814.6495,1557.2708,-3.8645162561743E-03
14.0125109080,0.0023,0.0013,4815.1958,1557.3521,-3.3285151108540E-03
14.3309770650,0.0020,0.0011,4815.6362,1557.4186,-2.8734129512307E-03
14.6494432220,0.0017,0.0009,4815.9945,1557.4735,-2.4927519114718E-03
14.9679093790,0.0015,0.0008,4816.2884,1557.5192,-2.1638171276277E-03
15.2863755360,0.0013,0.0007,4816.5313,1557.5574,-1.8895049278394E-03
15.6048416930,0.0011,0.0006,4816.7336,1557.5896,-1.6550462089977E-03
