cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.2398620752,21.8544,8.9315,338.0207,244.6586,-5.5295029312587E-02
4.5225195469,18.6657,8.4364,338.0207,244.6586,-4.4164383978984E-02
4.8051770186,15.7149,8.2031,338.0207,244.6586,-3.5881559406364E-02
5.0878344902,13.0808,8.0419,338.0207,244.6586,-2.9248943431684E-02
5.3704919619,10.9181,7.8305,338.0207,244.6586,-2.4005125192569E-02
5.6531494336,9.2247,7.4368,338.0207,244.6586,-2.0163070983887E-02
5.9358069053,7.7650,6.7215,338.0207,244.6586,-1.7657277095545E-02
6.2184643769,6.2933,5.6361,338.0207,244.6586,-1.6220241627608E-02
6.5011218486,4.7786,4.3269,338.0207,244.6586,-1.5433694648542E-02
6.7837793203,3.3795,3.0618,338.0207,245.0279,-1.4891354325647E-02
7.0664367920,2.2572,2.0396,338.0222,329.0932,-1.5448327406308E-02
7.3490942637,1.4572,1.3124,338.8193,333.4173,-1.4640503590301E-02
7.6317517353,0.9305,0.8348,388.3557,646.2914,-1.7041335517523E-02
7.9144092070,0.5975,0.5337,1077.1371,713.1049,-1.9803758305085E-02
8.1970666787,0.3896,0.3463,2845.5443,713.8941,-2.8038179849305E-02
8.4797241504,0.2592,0.2292,3939.5668,713.9345,-4.4700976378673E-02
8.7623816221,0.1762,0.1549,4382.0397,713.9401,-5.2678658453369E-02
9.0450390937,0.1225,0.1070,4572.7552,713.9414,-5.0178518064130E-02
9.3276965654,0.0869,0.0755,4666.7594,713.9419,-4.4548935541928E-02
9.6103540371,0.0629,0.0543,4718.2374,713.9421,-3.8597308775587E-02
9.8930115088,0.0462,0.0398,4749.2356,713.9422,-3.3090373566616E-02
10.1756689805,0.0346,0.0297,4768.7053,713.9423,-2.8217568539250E-02
10.4583264521,0.0264,0.0225,4781.6539,713.9423,-2.3998944910750E-02
10.7409839238,0.0204,0.0173,4790.5845,713.9424,-2.0389799537894E-02
11.0236413955,0.0159,0.0134,4796.9331,713.9424,-1.7328426132999E-02
11.3062988672,0.0127,0.0106,4801.4918,713.9424,-1.4749995877749E-02
11.5889563389,0.0102,0.0085,4804.8740,713.9424,-1.2580888777963E-02
11.8716138105,0.0082,0.0068,4807.5246,713.9424,-1.0759251003780E-02
12.1542712822,0.0067,0.0056,4809.4720,713.9424,-9.2269897532948E-03
12.4369287539,0.0056,0.0046,4810.9853,713.9424,-7.9381717797967E-03
12.7195862256,0.0046,0.0038,4812.2386,713.9424,-6.8501629154436E-03
13.0022436973,0.0039,0.0032,4813.1792,713.9424,-5.9302327559327E-03
13.2849011689,0.0033,0.0027,4813.9675,713.9424,-5.1495236351903E-03
13.5675586406,0.0028,0.0023,4814.5770,713.9424,-4.4859802992177E-03
13.8502161123,0.0024,0.0019,4815.1275,713.9424,-3.9188755691045E-03
