cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.9101186368,24.6794,14.2569,338.0207,239.0071,-6.2253359803805E-02
4.1707932125,20.0687,13.5337,338.0207,239.0071,-4.9185656027785E-02
4.4314677883,17.0194,12.3691,338.0207,239.0071,-3.8890467807551E-02
4.6921423641,15.1624,10.6560,338.0207,239.0071,-3.1433520600635E-02
4.9528169399,13.7263,8.6298,338.0207,239.0071,-2.6849341208275E-02
5.2134915157,12.1300,6.5001,338.0207,239.0071,-2.4358653519600E-02
5.4741660915,10.2049,4.4724,338.0207,379.2655,-2.6608094230562E-02
5.7348406673,8.1619,2.8354,338.0207,379.2655,-2.5505685467378E-02
5.9955152430,6.2908,1.7149,338.0207,379.2670,-2.4310882269541E-02
6.2561898188,4.7083,1.0257,338.0207,415.1370,-2.3416759080651E-02
6.5168643946,3.4001,0.6206,338.0207,595.5902,-2.3904791966934E-02
6.7775389704,2.3562,0.3843,338.0214,598.1202,-2.1097423400501E-02
7.0382135462,1.5786,0.2448,338.3299,598.1889,-1.8207216584899E-02
7.2988881220,1.0392,0.1604,359.2131,598.1960,-1.5934318999197E-02
7.5595626977,0.6826,0.1079,716.3606,598.1975,-1.8983186746085E-02
7.8202372735,0.4528,0.0746,2221.5471,598.1980,-3.4452206222592E-02
8.0809118493,0.3049,0.0527,3607.4324,598.1982,-5.0635271319187E-02
8.3415864251,0.2093,0.0382,4229.1354,598.1983,-5.3585940545122E-02
8.6022610009,0.1466,0.0282,4495.1231,598.1984,-4.9105837065929E-02
8.8629355767,0.1044,0.0211,4623.1917,598.1984,-4.2880585452680E-02
9.1236101525,0.0758,0.0160,4691.6331,598.1985,-3.6739381620726E-02
9.3842847282,0.0561,0.0124,4731.3399,598.1985,-3.1229945801677E-02
9.6449593040,0.0422,0.0098,4756.1780,598.1985,-2.6456093646493E-02
9.9056338798,0.0322,0.0078,4772.6333,598.1985,-2.2405248138310E-02
10.1663084556,0.0250,0.0063,4783.8022,598.1985,-1.8985817428830E-02
10.4269830314,0.0196,0.0051,4791.6890,598.1985,-1.6121017227430E-02
10.6876576072,0.0156,0.0042,4797.4026,598.1985,-1.3732163254787E-02
10.9483321829,0.0126,0.0035,4801.6314,598.1985,-1.1723326774431E-02
11.2090067587,0.0102,0.0030,4804.8192,598.1985,-1.0048989139060E-02
11.4696813345,0.0083,0.0025,4807.3837,598.1985,-8.6414320578483E-03
11.7303559103,0.0067,0.0020,4809.5544,598.1985,-7.4537880250468E-03
11.9910304861,0.0056,0.0017,4811.0062,598.1985,-6.4504074854525E-03
12.2517050619,0.0047,0.0015,4812.1589,598.1985,-5.6027684663710E-03
12.5123796376,0.0040,0.0013,4813.0835,598.1985,-4.8782682866251E-03
12.7730542134,0.0034,0.0011,4813.8322,598.1985,-4.2635626083064E-03
