cell_length,CN_C,CN_A,C6_C,C6_A,Edis
6.4866218025,17.0122,13.6989,338.0207,587.7891,-9.8441541859942E-02
6.9190632560,14.6283,12.6629,338.0207,587.7891,-7.8657004891764E-02
7.3515047095,13.0945,11.9336,338.0207,587.7891,-6.5569083591875E-02
7.7839461630,11.9138,10.9487,338.0207,587.7891,-5.8824689629420E-02
8.2163876165,10.5241,9.3086,338.0207,587.7891,-5.7420388606555E-02
8.6488290700,8.6317,7.0379,338.0207,587.7891,-5.8243478414723E-02
9.0812705235,6.4133,4.7101,338.0207,587.7891,-5.7295168607120E-02
9.5137119770,4.3397,2.8953,338.0207,587.7891,-5.2593234396403E-02
9.9461534305,2.7482,1.7161,338.0207,591.7092,-4.5387436368740E-02
10.3785948840,1.6840,1.0162,338.1564,3521.9305,-7.3944089199293E-02
10.8110363375,1.0269,0.6130,361.3778,3522.0508,-6.2619643823346E-02
11.2434777910,0.6343,0.3798,894.8761,3522.0508,-8.8465044011391E-02
11.6759192445,0.4005,0.2424,2737.9300,3522.0508,-1.5067069331511E-01
12.1083606980,0.2593,0.1591,3938.8679,3522.0508,-1.6016543450051E-01
12.5408021515,0.1723,0.1073,4398.2319,3522.0508,-1.4214834095985E-01
12.9732436050,0.1175,0.0743,4587.2157,3522.0508,-1.1979764841104E-01
13.4056850585,0.0820,0.0526,4677.9298,3522.0508,-9.9194688127473E-02
13.8381265120,0.0586,0.0381,4726.6048,3522.0508,-8.1666809357289E-02
14.2705679655,0.0426,0.0281,4755.5103,3522.0508,-6.7190542023253E-02
14.7030094190,0.0317,0.0211,4773.4775,3522.0508,-5.5382233204149E-02
15.1354508725,0.0239,0.0162,4785.3208,3522.0508,-4.5792203460092E-02
15.5678923260,0.0184,0.0126,4793.4260,3522.0508,-3.8025385114508E-02
16.0003337795,0.0143,0.0099,4799.2449,3522.0508,-3.1713416138611E-02
16.4327752330,0.0112,0.0078,4803.4825,3522.0508,-2.6562721578974E-02
16.8652166865,0.0089,0.0063,4806.5703,3522.0508,-2.2359100538638E-02
17.2976581400,0.0072,0.0051,4808.8361,3522.0508,-1.8907164593653E-02
17.7300995935,0.0059,0.0042,4810.5652,3522.0508,-1.6053166232530E-02
18.1625410470,0.0048,0.0034,4811.9659,3522.0508,-1.3690923069916E-02
18.5949825005,0.0039,0.0028,4813.2068,3522.0508,-1.1717820301744E-02
19.0274239540,0.0032,0.0024,4814.0123,3522.0508,-1.0073347206364E-02
19.4598654075,0.0027,0.0020,4814.6867,3522.0508,-8.6898686599347E-03
19.8923068610,0.0023,0.0017,4815.2036,3522.0508,-7.5219291242914E-03
20.3247483145,0.0020,0.0015,4815.6245,3522.0508,-6.5301068651430E-03
20.7571897680,0.0017,0.0013,4815.9700,3522.0508,-5.6901733261468E-03
21.1896312215,0.0015,0.0011,4816.2558,3522.0508,-4.9748483594077E-03
