cell_length,CN_C,CN_A,C6_C,C6_A,Edis
6.9051512775,14.9199,13.7635,338.0207,491.7448,-7.4186617784679E-02
7.3654946960,13.2619,12.6155,338.0207,491.7448,-5.9896141743130E-02
7.8258381145,12.1356,11.6856,338.0207,491.7448,-5.2007803306283E-02
8.2861815330,10.8675,10.3511,338.0207,491.7448,-4.9818915175267E-02
8.7465249515,9.0003,8.2967,338.0207,491.7448,-5.0497080065376E-02
9.2068683700,6.6227,5.8362,338.0207,491.7448,-5.0001365912228E-02
9.6672117885,4.3389,3.6714,338.0207,491.7449,-4.5922742308473E-02
10.1275552070,2.6346,2.1724,338.0208,495.9607,-3.9311454922066E-02
10.5878986255,1.5537,1.2661,338.3964,1799.6654,-4.9331379385082E-02
11.0482420440,0.9196,0.7474,392.9373,2411.2677,-4.9100784223922E-02
11.5085854625,0.5559,0.4528,1338.7760,2891.9792,-9.4097246393909E-02
11.9689288810,0.3456,0.2828,3261.2072,3187.7345,-1.4636201161435E-01
12.4292722995,0.2210,0.1818,4168.1443,3284.1001,-1.4354940353631E-01
12.8896157180,0.1457,0.1206,4498.4096,3319.0707,-1.2344964524021E-01
13.3499591365,0.0986,0.0821,4638.3394,3334.5897,-1.0219403732015E-01
13.8103025550,0.0685,0.0574,4706.9238,3342.5413,-8.3547572665443E-02
14.2706459735,0.0486,0.0409,4744.9862,3347.0863,-6.8073588769818E-02
14.7309893920,0.0354,0.0299,4767.5531,3349.8396,-5.5515832431967E-02
15.1913328105,0.0262,0.0223,4781.8812,3351.6172,-4.5412879836339E-02
15.6516762290,0.0198,0.0169,4791.3967,3352.8129,-3.7316671741829E-02
16.1120196475,0.0151,0.0130,4798.0431,3353.6558,-3.0805693707199E-02
16.5723630660,0.0118,0.0102,4802.7325,3354.2472,-2.5563576047924E-02
17.0327064845,0.0092,0.0079,4806.1867,3354.7035,-2.1318483231733E-02
17.4930499030,0.0074,0.0064,4808.6418,3355.0216,-1.7871793011443E-02
17.9533933215,0.0060,0.0052,4810.4888,3355.2622,-1.5050546335419E-02
18.4137367400,0.0047,0.0041,4812.1816,3355.4862,-1.2734321013749E-02
18.8740801585,0.0038,0.0033,4813.2433,3355.6256,-1.0818164571943E-02
19.3344235770,0.0032,0.0028,4814.0746,3355.7351,-9.2335410849234E-03
19.7947669955,0.0026,0.0023,4814.7631,3355.8257,-7.9121184874019E-03
20.2551104140,0.0022,0.0020,4815.2868,3355.8952,-6.8063027404979E-03
20.7154538325,0.0019,0.0017,4815.7098,3355.9514,-5.8722257056051E-03
21.1757972510,0.0016,0.0014,4816.0546,3355.9974,-5.0890110389908E-03
21.6361406695,0.0014,0.0013,4816.3378,3356.0353,-4.4258110561286E-03
22.0964840880,0.0012,0.0011,4816.5723,3356.0668,-3.8584884734219E-03
22.5568275065,0.0010,0.0009,4816.8625,3356.1044,-3.3782506827877E-03
