cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.0751609486,18.4011,12.5775,338.0207,321.5890,-5.0631113075493E-02
4.3468383452,15.6223,11.7827,338.0207,321.5890,-4.0688768238193E-02
4.6185157418,13.5109,10.5847,338.0207,321.5890,-3.4495213322434E-02
4.8901931383,11.8034,8.5897,338.0207,321.5890,-3.1345771257621E-02
5.1618705349,10.1966,6.0514,338.0207,321.5890,-3.0116979325245E-02
5.4335479315,8.5707,3.7567,338.0207,321.5890,-2.9098039260994E-02
5.7052253281,6.8604,2.1728,338.0207,301.9991,-2.6776231497130E-02
5.9769027246,5.0882,1.2347,338.0207,307.7335,-2.4229279016879E-02
6.2485801212,3.4716,0.7118,338.0207,1290.1093,-3.3692817788098E-02
6.5202575178,2.2260,0.4222,338.0227,1360.8144,-2.8644612602556E-02
6.7919349144,1.3858,0.2590,339.4169,1361.8172,-2.3691240160617E-02
7.0636123109,0.8600,0.1642,426.8375,1361.8932,-2.2200700719103E-02
7.3352897075,0.5410,0.1076,1447.3028,1361.9075,-4.0682290808784E-02
7.6069671041,0.3476,0.0726,3242.3627,1361.9119,-6.3688353261706E-02
7.8786445007,0.2285,0.0501,4126.9565,1361.9137,-6.4591670696372E-02
8.1503218972,0.1541,0.0356,4468.3078,1361.9147,-5.7042715492434E-02
8.4219992938,0.1064,0.0258,4617.8785,1361.9152,-4.8312716234038E-02
8.6936766904,0.0752,0.0192,4692.7697,1361.9155,-4.0318451080778E-02
8.9653540870,0.0543,0.0145,4734.6113,1361.9157,-3.3463321507781E-02
9.2370314835,0.0398,0.0111,4760.1730,1361.9158,-2.7749919314451E-02
9.5087088801,0.0298,0.0086,4776.4156,1361.9159,-2.3044137243044E-02
9.7803862767,0.0227,0.0068,4787.1888,1361.9160,-1.9190873855470E-02
10.0520636733,0.0175,0.0054,4794.6488,1361.9160,-1.6040850961605E-02
10.3237410698,0.0137,0.0044,4800.0285,1361.9161,-1.3466032317693E-02
10.5954184664,0.0108,0.0036,4804.0173,1361.9161,-1.1347551167243E-02
10.8670958630,0.0087,0.0030,4806.8747,1361.9161,-9.6058224626544E-03
11.1387732596,0.0071,0.0025,4809.0349,1361.9161,-8.1677672699403E-03
11.4104506561,0.0058,0.0021,4810.6930,1361.9161,-6.9687210105042E-03
11.6821280527,0.0048,0.0018,4811.9829,1361.9162,-5.9675764603445E-03
11.9538054493,0.0039,0.0014,4813.1862,1361.9162,-5.1324261122382E-03
12.2254828459,0.0032,0.0012,4814.0982,1361.9162,-4.4312361100453E-03
12.4971602424,0.0027,0.0010,4814.7211,1361.9162,-3.8365740962701E-03
12.7688376390,0.0023,0.0009,4815.2256,1361.9162,-3.3362605743661E-03
13.0405150356,0.0020,0.0008,4815.6376,1361.9162,-2.9080149061155E-03
13.3121924322,0.0017,0.0007,4815.9767,1361.9162,-2.5434649740256E-03
