cell_length,CN_C,CN_A,C6_C,C6_A,Edis
6.4358313150,17.3204,13.1283,338.0207,451.0845,-9.4487807459377E-02
6.8648867360,14.8434,12.3574,338.0207,451.0845,-7.5370374956265E-02
7.2939421570,13.1923,11.6626,338.0207,451.0845,-6.2430031381988E-02
7.7229975780,11.9097,10.5383,338.0207,451.0845,-5.5663722355822E-02
8.1520529990,10.4572,8.6712,338.0207,451.0845,-5.4004732985280E-02
8.5811084200,8.5787,6.2783,338.0207,451.0845,-5.4388482508537E-02
9.0101638410,6.4388,4.0415,338.0207,451.0858,-5.3196720041529E-02
9.4392192620,4.4293,2.4229,338.0207,709.2330,-5.7237750073147E-02
9.8682746830,2.8502,1.4194,338.0207,1132.7074,-5.7924981919320E-02
10.2973301040,1.7661,0.8380,338.0922,2166.1643,-6.1325492838234E-02
10.7263855250,1.0832,0.5064,352.9959,2364.4203,-5.3326780725283E-02
11.1554409460,0.6703,0.3151,756.0576,2365.8140,-6.9951395691038E-02
11.5844963670,0.4231,0.2021,2514.0149,2365.8786,-1.2903279175888E-01
12.0135517880,0.2736,0.1335,3842.0692,2365.8876,-1.4529685700466E-01
12.4426072090,0.1814,0.0905,4360.1683,2365.8900,-1.3137316194274E-01
12.8716626300,0.1234,0.0630,4570.0980,2365.8908,-1.1159980068851E-01
13.3007180510,0.0859,0.0448,4669.0365,2365.8912,-9.2832662180489E-02
13.7297734720,0.0612,0.0326,4721.5353,2365.8915,-7.6663068981668E-02
14.1588288930,0.0444,0.0242,4752.3305,2365.8916,-6.3211413771295E-02
14.5878843140,0.0329,0.0182,4771.4472,2365.8917,-5.2191582850201E-02
15.0169397350,0.0249,0.0140,4783.9426,2365.8917,-4.3206960896282E-02
15.4459951560,0.0191,0.0109,4792.4587,2365.8918,-3.5909347775320E-02
15.8750505770,0.0149,0.0087,4798.4447,2365.8918,-2.9977594058195E-02
16.3041059980,0.0116,0.0069,4802.9222,2365.8918,-2.5128115045518E-02
16.7331614190,0.0092,0.0055,4806.1888,2365.8918,-2.1156925582967E-02
17.1622168400,0.0074,0.0045,4808.5446,2365.8918,-1.7898079712406E-02
17.5912722610,0.0061,0.0037,4810.3391,2365.8918,-1.5207612967830E-02
18.0203276820,0.0050,0.0031,4811.7257,2365.8918,-1.2972478733653E-02
18.4493831030,0.0040,0.0025,4813.0572,2365.8918,-1.1107173895652E-02
18.8784385240,0.0033,0.0021,4813.9012,2365.8919,-9.5498829103402E-03
19.3074939450,0.0028,0.0018,4814.5979,2365.8919,-8.2408338262844E-03
19.7365493660,0.0024,0.0015,4815.1310,2365.8919,-7.1365164972363E-03
20.1656047870,0.0020,0.0013,4815.5646,2365.8919,-6.2016842553004E-03
20.5946602080,0.0017,0.0011,4815.9201,2365.8919,-5.4004498192037E-03
21.0237156290,0.0015,0.0010,4816.2141,2365.8919,-4.7237617514901E-03
