cell_length,CN_C,CN_A,C6_C,C6_A,Edis
6.5983227939,14.3820,7.0883,338.0207,533.8810,-9.0996385206650E-02
7.0382109801,12.6717,5.4347,338.0207,533.8810,-7.7225934131554E-02
7.4780991664,10.7348,4.6837,338.0207,533.8810,-6.7002264020161E-02
7.9179873527,8.3792,4.3404,338.0207,533.8810,-5.9429725534017E-02
8.3578755389,6.0085,4.1650,338.0207,533.8810,-5.2194849610724E-02
8.7977637252,4.0894,4.0425,338.0207,533.8811,-4.4355150949645E-02
9.2376519114,2.7758,3.8992,338.0207,533.8814,-3.6672541512773E-02
9.6775400977,1.9512,3.6667,338.0375,533.8833,-3.0156020432174E-02
10.1174282840,1.4214,3.2826,339.0779,533.9282,-2.5249816772288E-02
10.5573164702,1.0409,2.7326,358.9362,537.1159,-2.2667991537769E-02
10.9972046565,0.7425,2.0900,569.9505,564.5391,-2.8601302569330E-02
11.4370928427,0.5102,1.4810,1694.5948,579.4890,-5.9795237478560E-02
11.8769810290,0.3408,0.9955,3304.1293,593.8272,-8.9841652965739E-02
12.3168692153,0.2250,0.6522,4146.2601,599.0875,-9.1544898487482E-02
12.7567574015,0.1492,0.4250,4485.9632,608.6486,-8.1569606848422E-02
13.1966455878,0.1004,0.2790,4633.7772,613.7299,-6.9397069698071E-02
13.6365337740,0.0688,0.1860,4706.3402,615.5322,-5.8074739608930E-02
14.0764219603,0.0480,0.1263,4746.0797,616.2394,-4.8425414110410E-02
14.5163101465,0.0343,0.0874,4769.2612,616.5649,-4.0448427219120E-02
14.9561983328,0.0250,0.0617,4783.7298,616.7355,-3.3919335812897E-02
15.3960865191,0.0186,0.0443,4793.1947,616.8340,-2.8522022890337E-02
15.8359747053,0.0140,0.0324,4799.6712,616.8943,-2.4061656370411E-02
16.2758628916,0.0105,0.0241,4804.3896,616.9334,-2.0342593401911E-02
16.7157510778,0.0082,0.0182,4807.5183,616.9597,-1.7230833594760E-02
17.1556392641,0.0065,0.0140,4809.7987,616.9779,-1.4631714131232E-02
17.5955274504,0.0052,0.0109,4811.4920,616.9909,-1.2454317486580E-02
18.0354156366,0.0042,0.0086,4812.7704,617.0004,-1.0629073951788E-02
18.4753038229,0.0034,0.0067,4813.7766,617.0078,-9.0928949093511E-03
18.9151920091,0.0028,0.0054,4814.5825,617.0130,-7.8077998125697E-03
19.3550801954,0.0023,0.0044,4815.1735,617.0170,-6.7281944584728E-03
19.7949683817,0.0020,0.0036,4815.6429,617.0201,-5.8147616996918E-03
20.2348565679,0.0016,0.0030,4816.0664,617.0226,-5.0421836158224E-03
20.6747447542,0.0014,0.0025,4816.3671,617.0245,-4.3767177977574E-03
21.1146329404,0.0012,0.0021,4816.6128,617.0260,-3.8147777379048E-03
21.5545211267,0.0010,0.0018,4816.8151,617.0273,-3.3339098279068E-03
