cell_length,CN_C,CN_A,C6_C,C6_A,Edis
10.1015505000,19.8283,13.6529,338.0207,455.2854,-8.3869173484961E-01
10.7749872000,17.4205,12.0930,338.0207,455.2854,-6.7849486895971E-01
11.4484239000,15.6109,10.6924,338.0207,455.2854,-5.5375663401603E-01
12.1218606000,13.5885,9.3191,338.0207,455.2854,-4.5950005988241E-01
12.7952973000,11.0858,7.7750,338.0207,455.2854,-3.8806438522047E-01
13.4687340000,8.3030,5.9753,338.0207,455.2854,-3.3279889473685E-01
14.1421707000,5.6864,4.1515,338.0207,455.4553,-2.9051498323799E-01
14.8156074000,3.6201,2.6478,338.0207,526.9629,-2.7984038335559E-01
15.4890441000,2.2077,1.6079,338.0230,561.6477,-2.6931869332769E-01
16.1624808000,1.3294,0.9635,340.1908,633.2853,-2.7149281861995E-01
16.8359175000,0.8078,0.5834,473.8096,663.1393,-2.7288808614751E-01
17.5093542000,0.5015,0.3613,1769.2768,704.9206,-3.5129107956710E-01
18.1827909000,0.3197,0.2299,3486.4242,723.0024,-4.6315232919666E-01
18.8562276000,0.2096,0.1505,4227.9592,729.4789,-4.7576950789670E-01
19.5296643000,0.1411,0.1012,4514.0822,732.1866,-4.3677386179813E-01
20.2031010000,0.0975,0.0699,4641.0738,733.5061,-3.8678460238936E-01
20.8765377000,0.0689,0.0494,4706.0563,734.2309,-3.3715968305705E-01
21.5499744000,0.0498,0.0357,4742.8698,734.6621,-2.9107067344435E-01
22.2234111000,0.0367,0.0263,4765.3147,734.9344,-2.4967726125514E-01
22.8968478000,0.0276,0.0197,4779.8089,735.1141,-2.1341896884859E-01
23.5702845000,0.0210,0.0151,4789.6042,735.2366,-1.8220053230568E-01
24.2437212000,0.0163,0.0117,4796.3998,735.3240,-1.5560223006323E-01
24.9171579000,0.0128,0.0092,4801.2849,735.3864,-1.3302648191186E-01
25.5905946000,0.0102,0.0073,4804.8488,735.4334,-1.1386163389414E-01
26.2640313000,0.0082,0.0059,4807.5155,735.4683,-9.7570773510035E-02
26.9374680000,0.0066,0.0048,4809.5878,735.4947,-8.3705670771014E-02
27.6109047000,0.0055,0.0039,4811.1374,735.5148,-7.1898670680498E-02
28.2843414000,0.0045,0.0033,4812.3571,735.5306,-6.1843285491747E-02
28.9577781000,0.0038,0.0028,4813.3403,735.5430,-5.3287305252806E-02
29.6312148000,0.0031,0.0023,4814.1227,735.5538,-4.6007974660332E-02
30.3046515000,0.0027,0.0019,4814.7416,735.5624,-3.9814755493266E-02
30.9780882000,0.0023,0.0017,4815.2319,735.5691,-3.4539809102686E-02
31.6515249000,0.0020,0.0014,4815.6439,735.5751,-3.0041273221624E-02
32.3249616000,0.0017,0.0012,4815.9779,735.5795,-2.6196981340849E-02
32.9983983000,0.0014,0.0010,4816.3118,735.5835,-2.2908784389257E-02
