cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.5644410000,21.2183,8.5628,338.0207,224.2851,-1.1262049486243E-01
3.8020704000,17.6328,7.1947,338.0207,224.2851,-9.1454038019072E-02
4.0396998000,15.4205,6.5502,338.0207,224.2851,-7.4264649393542E-02
4.2773292000,13.8186,6.1926,338.0207,224.2851,-6.1794435833602E-02
4.5149586000,12.2029,5.8648,338.0207,224.2851,-5.3518369120873E-02
4.7525880000,10.3297,5.3777,338.0207,224.2851,-4.8293729937016E-02
4.9902174000,8.1975,4.6026,338.0207,224.2851,-4.5159368033130E-02
5.2278468000,5.9884,3.5706,338.0207,224.2879,-4.3224712552990E-02
5.4654762000,4.0326,2.5028,338.0207,231.7463,-4.2040041328841E-02
5.7031056000,2.5645,1.6270,338.0208,244.3489,-4.0255338014079E-02
5.9407350000,1.5898,1.0177,338.3040,254.0111,-3.6783471537035E-02
6.1783644000,0.9853,0.6314,370.5123,256.3758,-3.3294546148580E-02
6.4159938000,0.6196,0.3958,962.2856,260.1783,-4.5277445169359E-02
6.6536232000,0.3983,0.2529,2760.1253,261.8108,-7.1147337182712E-02
6.8912526000,0.2625,0.1655,3918.0282,262.3398,-7.5354964110144E-02
7.1288820000,0.1773,0.1110,4377.4993,262.5437,-6.7990229233210E-02
7.3665114000,0.1227,0.0762,4572.1431,262.6378,-5.8494924833450E-02
7.6041408000,0.0867,0.0536,4667.0143,262.6875,-4.9462822170814E-02
7.8417702000,0.0626,0.0384,4718.8611,262.7164,-4.1507214631980E-02
8.0793996000,0.0460,0.0281,4749.6838,262.7342,-3.4716152938237E-02
8.3170290000,0.0344,0.0209,4769.0722,262.7458,-2.9018322837367E-02
8.5546584000,0.0262,0.0158,4781.9301,262.7536,-2.4283626875567E-02
8.7922878000,0.0202,0.0122,4790.8400,262.7591,-2.0374441080269E-02
9.0299172000,0.0158,0.0095,4797.0911,262.7630,-1.7144293929378E-02
9.2675466000,0.0126,0.0075,4801.6203,262.7659,-1.4476541729688E-02
9.5051760000,0.0101,0.0060,4804.9814,262.7680,-1.2272818427895E-02
9.7428054000,0.0082,0.0049,4807.5383,262.7696,-1.0443557887867E-02
9.9804348000,0.0067,0.0040,4809.5308,262.7709,-8.9226305462780E-03
10.2180642000,0.0055,0.0033,4811.0414,262.7718,-7.6479900711079E-03
10.4556936000,0.0046,0.0027,4812.2453,262.7726,-6.5817495039987E-03
10.6933230000,0.0039,0.0023,4813.1793,262.7732,-5.6852417793881E-03
10.9309524000,0.0033,0.0019,4813.9851,262.7737,-4.9287167081727E-03
11.1685818000,0.0028,0.0016,4814.5897,262.7741,-4.2835446451955E-03
11.4062112000,0.0024,0.0014,4815.0843,262.7744,-3.7377954757184E-03
11.6438406000,0.0020,0.0012,4815.5559,262.7747,-3.2695477049021E-03
