cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.7748365000,28.1282,13.2025,338.0207,118.2863,-1.4114054628233E-01
2.9598256000,23.1392,11.6963,338.0207,118.2863,-1.1274710725201E-01
3.1448147000,19.6770,10.6282,338.0207,118.2863,-9.1387034436670E-02
3.3298038000,16.8302,9.5839,338.0207,118.2863,-7.7132915612129E-02
3.5147929000,14.1704,8.2464,338.0207,118.2863,-6.8385800611813E-02
3.6997820000,11.6612,6.5925,338.0207,118.2863,-6.3395160665501E-02
3.8847711000,9.4846,4.9360,338.0207,148.0657,-6.7295298739614E-02
4.0697602000,7.7506,3.5662,338.0207,148.0659,-6.3220665323570E-02
4.2547493000,6.3408,2.5237,338.0207,152.5202,-5.8173296210085E-02
4.4397384000,5.0712,1.7363,338.0207,186.4059,-5.6026192454841E-02
4.6247275000,3.8722,1.1543,338.0207,190.5941,-4.8867800767519E-02
4.8097166000,2.7992,0.7481,338.0207,453.7581,-6.3331949422495E-02
4.9947057000,1.9310,0.4807,338.0404,530.2197,-5.8390874291968E-02
5.1796948000,1.2931,0.3108,340.9028,532.5291,-5.0296176267243E-02
5.3646839000,0.8562,0.2042,429.6043,532.7214,-4.8261601561415E-02
5.5496730000,0.5686,0.1369,1252.4551,532.7564,-7.0833315824784E-02
5.7346621000,0.3819,0.0938,2919.9627,532.7667,-9.9835697699649E-02
5.9196512000,0.2608,0.0657,3928.8023,532.7707,-1.0362706542020E-01
6.1046403000,0.1814,0.0470,4360.2523,532.7727,-9.5306919414151E-02
6.2896294000,0.1285,0.0342,4554.6189,532.7738,-8.4359253797443E-02
6.4746185000,0.0928,0.0255,4652.6671,532.7744,-7.3577516501534E-02
6.6596076000,0.0682,0.0192,4707.5696,532.7748,-6.3680696069579E-02
6.8445967000,0.0509,0.0148,4740.8567,532.7751,-5.4851449807186E-02
7.0295858000,0.0387,0.0115,4762.0946,532.7753,-4.7140612118884E-02
7.2145749000,0.0297,0.0091,4776.5957,532.7754,-4.0501925079055E-02
7.3995640000,0.0232,0.0072,4786.4820,532.7755,-3.4853858925218E-02
7.5845531000,0.0183,0.0059,4793.5653,532.7756,-3.0079292884031E-02
7.7695422000,0.0147,0.0048,4798.7223,532.7756,-2.6040957669383E-02
7.9545313000,0.0118,0.0040,4802.6205,532.7757,-2.2619768363836E-02
8.1395204000,0.0097,0.0033,4805.5484,532.7757,-1.9704430460676E-02
8.3245095000,0.0080,0.0028,4807.8070,532.7757,-1.7199906997904E-02
8.5094986000,0.0066,0.0024,4809.6002,532.7758,-1.5046563056203E-02
8.6944877000,0.0055,0.0020,4811.1084,532.7758,-1.3183456765314E-02
8.8794768000,0.0046,0.0017,4812.2075,532.7758,-1.1568832906118E-02
9.0644659000,0.0039,0.0015,4813.1000,532.7758,-1.0167912820058E-02
