cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.3963412500,21.6989,10.7705,338.0207,172.3153,-1.2446741072198E-01
3.6227640000,18.9461,9.7499,338.0207,172.3153,-9.6057724155389E-02
3.8491867500,17.2969,9.1642,338.0207,172.3153,-7.6885559676153E-02
4.0756095000,15.7607,8.6036,338.0207,172.3153,-6.5902108165592E-02
4.3020322500,13.8449,7.8346,338.0207,172.3153,-6.0628795955397E-02
4.5284550000,11.3791,6.7630,338.0207,172.3153,-5.8651759337615E-02
4.7548777500,8.5321,5.4569,338.0207,172.3153,-5.7568829753911E-02
4.9813005000,5.8192,4.1178,338.0207,172.3154,-5.5158814473276E-02
5.2077232500,3.6983,2.9305,338.0207,173.6676,-5.0571604274935E-02
5.4341460000,2.2681,1.9828,338.0221,257.2109,-5.2908066748451E-02
5.6605687500,1.3826,1.2905,339.4519,379.7871,-5.3800708670204E-02
5.8869915000,0.8533,0.8225,431.7642,424.2553,-5.3320384831835E-02
6.1134142500,0.5384,0.5228,1466.7114,446.9199,-8.6273307090007E-02
6.3398370000,0.3484,0.3358,3235.7170,467.8418,-1.1789833330470E-01
6.5662597500,0.2315,0.2196,4109.6883,476.0759,-1.1516396955709E-01
6.7926825000,0.1577,0.1468,4455.0303,479.1189,-1.0104278183286E-01
7.0191052500,0.1101,0.1004,4608.1053,480.4353,-8.5855599467262E-02
7.2455280000,0.0786,0.0701,4685.5000,481.0929,-7.2257272579295E-02
7.4719507500,0.0572,0.0500,4729.1851,481.4594,-6.0735201338964E-02
7.6983735000,0.0424,0.0364,4755.7828,481.6798,-5.1158584496325E-02
7.9247962500,0.0320,0.0270,4772.9645,481.8198,-4.3230118190268E-02
8.1512190000,0.0245,0.0204,4784.4302,481.9129,-3.6628816397072E-02
8.3776417500,0.0191,0.0156,4792.3978,481.9771,-3.1104453725002E-02
8.6040645000,0.0151,0.0121,4798.1427,482.0225,-2.6466845777770E-02
8.8304872500,0.0119,0.0095,4802.4641,482.0555,-2.2573360744159E-02
9.0569100000,0.0097,0.0076,4805.5760,482.0799,-1.9312817344272E-02
9.2833327500,0.0078,0.0061,4807.9905,482.0984,-1.6584604655919E-02
9.5097555000,0.0064,0.0050,4809.8604,482.1122,-1.4296861996613E-02
9.7361782500,0.0053,0.0041,4811.2819,482.1231,-1.2375849341768E-02
9.9626010000,0.0045,0.0034,4812.4199,482.1317,-1.0751240133781E-02
10.1890237500,0.0038,0.0029,4813.3068,482.1383,-9.3702815976291E-03
10.4154465000,0.0032,0.0024,4814.0676,482.1438,-8.1888075417638E-03
10.6418692500,0.0027,0.0020,4814.7404,482.1481,-7.1712677506762E-03
10.8682920000,0.0023,0.0017,4815.2368,482.1517,-6.2925930752556E-03
11.0947147500,0.0020,0.0015,4815.6497,482.1545,-5.5326795838870E-03
