cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.4383242793,27.6171,16.0363,338.0207,298.8616,-1.1305054218704E-01
3.6675458979,23.3482,13.8786,338.0207,298.8616,-8.8250625338355E-02
3.8967675165,19.8220,12.5303,338.0207,298.8616,-7.0817114101641E-02
4.1259891352,16.9535,11.3072,338.0207,298.8616,-5.9411448851511E-02
4.3552107538,14.7213,9.8095,338.0207,298.8616,-5.2841477805682E-02
4.5844323724,12.9865,8.0683,338.0207,298.8616,-4.9623822916768E-02
4.8136539910,11.3842,6.3744,338.0207,298.8616,-4.7848536700962E-02
5.0428756096,9.5696,4.9058,338.0207,298.8616,-4.5730459978227E-02
5.2720972283,7.4910,3.6491,338.0207,298.8616,-4.2450851722610E-02
5.5013188469,5.4100,2.5795,338.0207,298.8616,-3.8153743477240E-02
5.7305404655,3.6523,1.7311,338.0207,298.8621,-3.3376840427503E-02
5.9597620841,2.3663,1.1224,338.0214,305.6599,-3.0420451732146E-02
6.1889837027,1.5102,0.7189,338.5485,361.2391,-2.8200414263691E-02
6.4182053214,0.9669,0.4626,375.6320,362.0612,-2.4181217902518E-02
6.6474269400,0.6283,0.3023,921.7861,362.0744,-2.4409958290079E-02
6.8766485586,0.4162,0.2015,2582.4671,362.0753,-2.6975542431074E-02
7.1058701772,0.2817,0.1373,3783.8200,362.0754,-2.5619765571400E-02
7.3350917958,0.1949,0.0957,4299.3050,362.0755,-2.2421694090146E-02
7.5643134145,0.1377,0.0681,4525.0658,362.0755,-1.9087064140709E-02
7.7935350331,0.0992,0.0494,4636.6317,362.0755,-1.6080692962572E-02
8.0227566517,0.0727,0.0365,4698.1933,362.0755,-1.3496900175063E-02
8.2519782703,0.0542,0.0274,4734.8050,362.0755,-1.1323690742691E-02
8.4811998889,0.0412,0.0210,4757.9224,362.0755,-9.5144429386429E-03
8.7104215076,0.0317,0.0163,4773.4220,362.0755,-8.0126326800197E-03
8.9396431262,0.0248,0.0128,4784.0833,362.0755,-6.7707626442675E-03
9.1688647448,0.0195,0.0101,4791.8427,362.0755,-5.7394955485425E-03
9.3980863634,0.0156,0.0082,4797.3802,362.0755,-4.8831573087507E-03
9.6273079820,0.0126,0.0067,4801.5101,362.0755,-4.1710852475399E-03
9.8565296006,0.0103,0.0055,4804.6447,362.0755,-3.5766706902721E-03
10.0857512193,0.0085,0.0045,4807.1319,362.0755,-3.0761217225531E-03
10.3149728379,0.0070,0.0038,4809.0733,362.0755,-2.6560391597700E-03
10.5441944565,0.0059,0.0032,4810.5538,362.0755,-2.3016284220479E-03
10.7734160751,0.0049,0.0027,4811.8062,362.0755,-1.9998397419798E-03
11.0026376937,0.0042,0.0023,4812.7548,362.0755,-1.7446305901286E-03
11.2318593124,0.0036,0.0020,4813.5270,362.0755,-1.5264405115272E-03
