cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.7668210000,18.8947,9.9629,338.0207,358.4995,-1.2258526042993E-01
4.0179424000,16.0260,7.8377,338.0207,358.4995,-9.9507887233670E-02
4.2690638000,14.1889,6.8568,338.0207,358.4995,-8.2527077291119E-02
4.5201852000,12.4936,6.3630,338.0207,358.4995,-7.0099285646837E-02
4.7713066000,10.6802,6.0013,338.0207,358.4995,-6.1737635169184E-02
5.0224280000,8.8648,5.5492,338.0207,358.4995,-5.6767635424488E-02
5.2735494000,7.0769,4.8515,338.0207,358.4995,-5.4073084996127E-02
5.5246708000,5.3065,3.8847,338.0207,358.4995,-5.1974860075441E-02
5.7757922000,3.6904,2.8161,338.0207,358.4995,-4.8672936331985E-02
6.0269136000,2.4097,1.8800,338.0212,358.4994,-4.3522339239014E-02
6.2780350000,1.5183,1.1954,338.5161,358.4743,-3.7345413373081E-02
6.5291564000,0.9480,0.7473,381.7558,357.7069,-3.2851809048183E-02
6.7802778000,0.5974,0.4694,1077.7876,354.8490,-4.3556914872176E-02
7.0313992000,0.3836,0.2997,2903.4431,353.0738,-6.2841610733156E-02
7.2825206000,0.2521,0.1955,3985.4184,352.5001,-6.3662338885332E-02
7.5336420000,0.1696,0.1306,4409.3065,352.2954,-5.6297002478467E-02
7.7847634000,0.1169,0.0893,4589.0290,352.2066,-4.7793388578614E-02
8.0358848000,0.0822,0.0624,4677.4640,352.1616,-3.9974143986816E-02
8.2870062000,0.0590,0.0446,4725.7262,352.1365,-3.3251368835476E-02
8.5381276000,0.0433,0.0325,4754.3183,352.1213,-2.7632744722492E-02
8.7892490000,0.0324,0.0242,4772.3623,352.1115,-2.2983756322326E-02
9.0403704000,0.0246,0.0182,4784.3356,352.1050,-1.9168288982326E-02
9.2914918000,0.0189,0.0139,4792.7279,352.1004,-1.6042229361314E-02
9.5426132000,0.0148,0.0108,4798.5873,352.0972,-1.3481908803554E-02
9.7937346000,0.0117,0.0085,4802.8055,352.0949,-1.1373505473059E-02
10.0448560000,0.0093,0.0068,4805.9868,352.0932,-9.6363200176923E-03
10.2959774000,0.0075,0.0054,4808.3896,352.0918,-8.1908315062016E-03
10.5470988000,0.0062,0.0044,4810.1838,352.0909,-6.9966864925664E-03
10.7982202000,0.0051,0.0037,4811.5763,352.0901,-5.9993135910546E-03
11.0493416000,0.0043,0.0030,4812.6707,352.0895,-5.1652247264715E-03
11.3004630000,0.0036,0.0025,4813.5927,352.0890,-4.4627247928438E-03
11.5515844000,0.0030,0.0021,4814.2864,352.0886,-3.8640244331389E-03
11.8027058000,0.0026,0.0018,4814.8484,352.0883,-3.3604540983632E-03
12.0538272000,0.0021,0.0015,4815.4357,352.0881,-2.9303244180136E-03
12.3049486000,0.0018,0.0013,4815.8637,352.0879,-2.5614164635489E-03
