cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.7257225167,22.8060,19.6268,338.0207,766.0202,-1.1236346519136E-01
3.9741040178,18.8504,16.2858,338.0207,766.0202,-9.0724916763623E-02
4.2224855190,16.1672,14.2005,338.0207,766.0202,-7.2348988216708E-02
4.4708670201,14.2865,12.9710,338.0207,766.0202,-5.8374157494689E-02
4.7192485212,13.0018,12.0815,338.0207,766.0202,-4.8272809474326E-02
4.9676300223,11.9436,11.0602,338.0207,766.0202,-4.1080863379682E-02
5.2160115234,10.6911,9.5765,338.0207,766.0202,-3.6459750602624E-02
5.4643930245,8.9762,7.6031,338.0207,766.0202,-3.4128068829382E-02
5.7127745256,6.8857,5.4855,338.0207,766.0202,-3.3282239471379E-02
5.9611560268,4.8270,3.6597,338.0207,766.0661,-3.2772244381825E-02
6.2095375279,3.1703,2.3299,338.0207,1427.2319,-5.0570765613813E-02
6.4579190290,2.0155,1.4586,338.0309,1850.1218,-5.9535217155158E-02
6.7063005301,1.2731,0.9168,341.3936,3230.5814,-8.6355973481612E-02
6.9546820312,0.8117,0.5853,469.5867,3983.8095,-9.8198630285609E-02
7.2030635323,0.5272,0.3819,1554.5900,3990.3254,-1.0365446768715E-01
7.4514450334,0.3498,0.2550,3222.5766,3990.5763,-1.0255351620683E-01
7.6998265346,0.2373,0.1742,4075.8686,3990.6055,-9.1527872015544E-02
7.9482080357,0.1644,0.1216,4429.7663,3990.6120,-7.8722676917878E-02
8.1965895368,0.1165,0.0868,4590.1444,3990.6142,-6.6926036032115E-02
8.4449710379,0.0841,0.0631,4673.0251,3990.6151,-5.6655342895807E-02
8.6933525390,0.0620,0.0468,4720.0503,3990.6156,-4.7852757451183E-02
8.9417340401,0.0464,0.0353,4748.8797,3990.6158,-4.0373186213338E-02
9.1901155412,0.0351,0.0268,4767.9705,3990.6160,-3.4056100337557E-02
9.4384970424,0.0271,0.0209,4780.5538,3990.6161,-2.8739509653139E-02
9.6868785435,0.0212,0.0164,4789.3595,3990.6162,-2.4294629738501E-02
9.9352600446,0.0168,0.0131,4795.6922,3990.6162,-2.0579415656434E-02
10.1836415457,0.0135,0.0106,4800.3508,3990.6163,-1.7484051560606E-02
10.4320230468,0.0108,0.0085,4804.0119,3990.6163,-1.4898671679118E-02
10.6804045479,0.0088,0.0070,4806.6567,3990.6163,-1.2730149428870E-02
10.9287860490,0.0073,0.0058,4808.7016,3990.6163,-1.0920699103353E-02
11.1771675502,0.0061,0.0049,4810.3034,3990.6164,-9.4001442636944E-03
11.4255490513,0.0051,0.0041,4811.5726,3990.6164,-8.1059514521980E-03
11.6739305524,0.0043,0.0035,4812.5891,3990.6164,-7.0236967114569E-03
11.9223120535,0.0034,0.0028,4813.7430,3990.6164,-6.1013769146810E-03
12.1706935546,0.0029,0.0024,4814.3829,3990.6164,-5.3203204302697E-03
