cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.5557653630,17.4772,4.8817,338.0207,15.5817,-4.0166055642390E-02
4.8594830538,15.3523,4.5104,338.0207,15.5817,-3.2669089057281E-02
5.1632007447,13.2021,4.0068,338.0207,15.5817,-2.7608996019822E-02
5.4669184355,10.9951,3.5141,338.0207,15.5831,-2.3862249243720E-02
5.7706361264,8.9047,3.0926,338.0207,15.6194,-2.0711208006304E-02
6.0743538173,7.0090,2.6800,338.0207,16.3564,-1.8380554236687E-02
6.3780715081,5.3474,2.2427,338.0207,19.1779,-1.7291445689667E-02
6.6817891990,3.9594,1.8356,338.0207,19.8014,-1.5751520092542E-02
6.9855068899,2.8557,1.5237,338.0207,20.7782,-1.4462381172599E-02
7.2892245807,1.9975,1.3173,338.0324,21.6764,-1.3103915705122E-02
7.5929422716,1.3483,1.1900,339.8932,21.9545,-1.1592901298546E-02
7.8966599625,0.8840,1.1111,411.1380,22.0477,-1.0947346833967E-02
8.2003776533,0.5718,1.0573,1231.5914,22.0939,-1.5250526118236E-02
8.5040953442,0.3709,1.0122,3025.4222,22.1281,-2.0878901655857E-02
8.8078130350,0.2437,0.9632,4037.6795,22.1657,-2.0757901177593E-02
9.1115307259,0.1631,0.9002,4434.6566,22.2231,-1.8357693062006E-02
9.4152484168,0.1116,0.8166,4603.7755,22.3354,-1.5711432514063E-02
9.7189661076,0.0781,0.7114,4686.6480,22.5869,-1.3327072414906E-02
10.0226837985,0.0557,0.5917,4732.0354,23.1011,-1.1289505573807E-02
10.3264014894,0.0406,0.4703,4758.9487,23.8304,-9.5682324132121E-03
10.6301191802,0.0301,0.3598,4775.9001,24.4540,-8.1040183242065E-03
10.9338368711,0.0227,0.2678,4787.1063,24.8161,-6.8620649854694E-03
11.2375545620,0.0174,0.1960,4794.8890,24.9957,-5.8160498297978E-03
11.5412722528,0.0135,0.1426,4800.2685,25.0847,-4.9466031665142E-03
11.8449899437,0.0107,0.1037,4804.1730,25.1315,-4.2253413370455E-03
12.1487076345,0.0086,0.0758,4807.0490,25.1578,-3.6316634329600E-03
12.4524253254,0.0069,0.0559,4809.2187,25.1735,-3.1422378253925E-03
12.7561430163,0.0057,0.0416,4810.8784,25.1835,-2.7393056799455E-03
13.0598607071,0.0047,0.0313,4812.1813,25.1900,-2.4111134020908E-03
13.3635783980,0.0038,0.0238,4813.3029,25.1944,-2.1437966172918E-03
13.6672960889,0.0032,0.0183,4814.0932,25.1975,-1.9286313477972E-03
13.9710137797,0.0026,0.0142,4814.7780,25.1998,-1.7546990810145E-03
14.2747314706,0.0022,0.0111,4815.2724,25.2014,-1.6149276891441E-03
14.5784491615,0.0019,0.0088,4815.7069,25.2026,-1.5017700365861E-03
14.8821668523,0.0016,0.0071,4816.0361,25.2035,-1.4082072898275E-03
