cell_length,CN_C,CN_A,C6_C,C6_A,Edis
5.5415873625,17.8085,12.7876,338.0207,186.1052,-1.1268394963929E-01
5.9110265200,16.4116,12.0821,338.0207,186.1052,-8.6309425733824E-02
6.2804656775,15.0300,11.2267,338.0207,186.1052,-7.1440732736073E-02
6.6499048350,12.9093,9.7622,338.0207,186.1052,-6.4883713747458E-02
7.0193439925,9.9422,7.5979,338.0207,186.1052,-6.3645505513174E-02
7.3887831500,6.8029,5.2159,338.0207,186.1052,-6.3669169744125E-02
7.7582223075,4.2486,3.2411,338.0207,186.1052,-6.1381055569642E-02
8.1276614650,2.5229,1.9103,338.0209,186.1154,-5.5909552025494E-02
8.4971006225,1.4786,1.1133,338.6962,190.9949,-4.9457509647081E-02
8.8665397800,0.8767,0.6581,415.5910,351.2621,-6.7915850842073E-02
9.2359789375,0.5328,0.3993,1510.1766,946.6160,-1.6632950865358E-01
9.6054180950,0.3335,0.2498,3368.3166,1314.7265,-2.2458559918966E-01
9.9748572525,0.2153,0.1613,4198.3468,1445.5360,-2.1369242642610E-01
10.3442964100,0.1430,0.1072,4507.4055,1497.3042,-1.8482252707128E-01
10.7137355675,0.0977,0.0732,4640.5500,1521.5664,-1.5499920550415E-01
11.0831747250,0.0684,0.0513,4707.1927,1534.4526,-1.2834847974961E-01
11.4526138825,0.0490,0.0368,4744.3186,1541.9510,-1.0568984782522E-01
11.8220530400,0.0357,0.0269,4766.9634,1546.6577,-8.6905063270136E-02
12.1914921975,0.0267,0.0200,4781.1943,1549.7275,-7.1522830353044E-02
12.5609313550,0.0203,0.0152,4790.7092,1551.7820,-5.9031952760594E-02
12.9303705125,0.0157,0.0117,4797.2952,1553.2156,-4.8897513626515E-02
13.2998096700,0.0123,0.0092,4801.9841,1554.2437,-4.0673609285814E-02
13.6692488275,0.0096,0.0073,4805.6365,1555.0150,-3.3990674352124E-02
14.0386879850,0.0077,0.0058,4808.1774,1555.5905,-2.8532561913655E-02
14.4081271425,0.0062,0.0047,4810.1044,1556.0213,-2.4057821748470E-02
14.7775663000,0.0051,0.0039,4811.5572,1556.3468,-2.0377244609105E-02
15.1470054575,0.0043,0.0032,4812.7041,1556.6006,-1.7335190628261E-02
15.5164446150,0.0036,0.0027,4813.5930,1556.8010,-1.4806787916833E-02
15.8858837725,0.0029,0.0022,4814.4881,1556.9823,-1.2699204798588E-02
16.2553229300,0.0024,0.0019,4815.0388,1557.1094,-1.0929778796290E-02
16.6247620875,0.0021,0.0016,4815.4855,1557.2127,-9.4462190378346E-03
16.9942012450,0.0018,0.0014,4815.8809,1557.2974,-8.1900132160256E-03
17.3636404025,0.0014,0.0012,4816.2940,1557.3902,-7.1226168530787E-03
17.7330795600,0.0013,0.0010,4816.5328,1557.4466,-6.2158402047422E-03
18.1025187175,0.0011,0.0009,4816.7322,1557.5007,-5.4433007148088E-03
