cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.7922920075,21.1927,18.7417,338.0207,620.5206,-4.4586803774657E-02
2.9784448080,17.0450,15.8198,338.0207,620.5206,-3.6120710181788E-02
3.1645976085,14.4925,13.8763,338.0207,620.5206,-2.9056185709329E-02
3.3507504090,12.9608,12.5716,338.0207,620.5206,-2.3468779171662E-02
3.5369032095,11.7832,11.3617,338.0207,620.5206,-1.9729842145808E-02
3.7230560100,10.5175,9.8049,338.0207,620.5206,-1.7565834667543E-02
3.9092088105,9.0840,7.8096,338.0207,620.5206,-1.6213198532341E-02
4.0953616110,7.6411,5.6703,338.0207,620.5206,-1.4950044106633E-02
4.2815144115,6.2780,3.7930,338.0207,620.5206,-1.3549228919762E-02
4.4676672120,4.9592,2.4020,338.0207,620.5206,-1.2177462625173E-02
4.6538200125,3.6964,1.4862,338.0207,1581.2744,-1.8737427477475E-02
4.8399728130,2.5932,0.9200,338.0208,3924.4099,-3.1977862865074E-02
5.0261256135,1.7403,0.5784,338.1081,3924.4211,-2.9767833505476E-02
5.2122784140,1.1424,0.3718,347.4173,3924.4211,-2.7143131900372E-02
5.3984312145,0.7474,0.2449,560.9301,3924.4211,-2.6836936490285E-02
5.5845840150,0.4934,0.1655,1841.0268,3924.4211,-3.3312116848649E-02
5.7707368155,0.3307,0.1145,3392.5389,3924.4211,-3.6365555674006E-02
5.9568896160,0.2258,0.0809,4141.5197,3924.4211,-3.3675299251960E-02
6.1430424165,0.1571,0.0583,4457.5236,3924.4211,-2.9406278991990E-02
6.3291952170,0.1116,0.0430,4603.9660,3924.4211,-2.5188968760406E-02
6.5153480175,0.0807,0.0322,4680.8097,3924.4211,-2.1414136323816E-02
6.7015008180,0.0595,0.0245,4724.9278,3924.4211,-1.8146084456725E-02
6.8876536185,0.0445,0.0190,4752.1705,3924.4211,-1.5357591364995E-02
7.0738064190,0.0338,0.0148,4770.0880,3924.4211,-1.2999983129849E-02
7.2599592195,0.0259,0.0117,4782.3401,3924.4211,-1.1016156732043E-02
7.4461120200,0.0203,0.0094,4790.7367,3924.4211,-9.3517108408016E-03
7.6322648205,0.0160,0.0076,4796.7819,3924.4211,-7.9592018334957E-03
7.8184176210,0.0128,0.0063,4801.2314,3924.4211,-6.7910433239457E-03
8.0045704215,0.0103,0.0052,4804.6679,3924.4211,-5.8132362592424E-03
8.1907232220,0.0084,0.0043,4807.2337,3924.4211,-4.9934744377225E-03
8.3768760225,0.0069,0.0036,4809.1875,3924.4211,-4.3034663819229E-03
8.5630288230,0.0058,0.0031,4810.7170,3924.4211,-3.7213017545861E-03
8.7491816235,0.0048,0.0026,4811.9281,3924.4211,-3.2276654641248E-03
8.9353344240,0.0040,0.0022,4813.0377,3924.4211,-2.8060343459170E-03
9.1214872245,0.0034,0.0019,4813.8078,3924.4211,-2.4497769528864E-03
