cell_length,CN_C,CN_A,C6_C,C6_A,Edis
5.3561138100,13.0658,14.2356,338.0207,476.2591,-2.8080133595841E-02
5.7131880640,12.1184,12.8065,338.0207,476.2591,-2.2459648662160E-02
6.0702623180,11.0168,11.6526,338.0207,476.2591,-1.9569996507111E-02
6.4273365720,9.2272,10.1121,338.0207,476.2591,-1.8872460362676E-02
6.7844108260,6.7773,7.9190,338.0207,476.2591,-1.9054005421838E-02
7.1414850800,4.3592,5.4627,338.0207,476.2591,-1.8590514434212E-02
7.4985593340,2.5742,3.3964,338.0208,476.2591,-1.6796905396980E-02
7.8556335880,1.4756,1.9999,338.7124,476.2740,-1.4180990683689E-02
8.2127078420,0.8518,1.1645,432.9747,486.3086,-1.2371366577263E-02
8.5697820960,0.5035,0.6875,1752.1373,927.2904,-2.2850615613328E-02
8.9268563500,0.3075,0.4173,3586.5252,3197.2455,-5.5927608714910E-02
9.2839306040,0.1940,0.2610,4303.5136,4843.8923,-6.4865505516294E-02
9.6410048580,0.1264,0.1685,4560.8167,5437.6745,-5.7997965251490E-02
9.9980791120,0.0849,0.1121,4671.3121,5669.4149,-4.8470806549421E-02
10.3551533660,0.0583,0.0763,4727.2071,5777.4300,-3.9621495011719E-02
10.7122276200,0.0412,0.0534,4757.9130,5833.6027,-3.2171677290225E-02
11.0693018740,0.0298,0.0383,4776.4158,5866.1134,-2.6096176308334E-02
11.4263761280,0.0218,0.0279,4788.4196,5886.6191,-2.1225096708825E-02
11.7834503820,0.0164,0.0208,4796.2370,5899.6579,-1.7321890852054E-02
12.1405246360,0.0126,0.0158,4801.6179,5908.4814,-1.4213544837765E-02
12.4975988900,0.0098,0.0122,4805.4260,5914.6409,-1.1705882784959E-02
12.8546731440,0.0077,0.0096,4808.1845,5919.0526,-9.7061952827872E-03
13.2117473980,0.0058,0.0072,4810.6584,5922.8909,-8.0849887761241E-03
13.5688216520,0.0047,0.0058,4812.1370,5925.2200,-6.7677630549027E-03
13.9258959060,0.0038,0.0047,4813.2634,5926.9818,-5.6979646026373E-03
14.2829701600,0.0031,0.0038,4814.1335,5928.3339,-4.8141565215228E-03
14.6400444140,0.0026,0.0032,4814.8141,5929.3855,-4.0908470371746E-03
14.9971186680,0.0022,0.0026,4815.3526,5930.2132,-3.4823062008012E-03
15.3541929220,0.0018,0.0022,4815.7832,5930.8717,-2.9841250849737E-03
15.7112671760,0.0016,0.0019,4816.1309,5931.4010,-2.5672942353138E-03
16.0683414300,0.0013,0.0015,4816.5056,5931.9898,-2.2155674597789E-03
16.4254156840,0.0011,0.0013,4816.7294,5932.3244,-1.9200990018413E-03
16.7824899380,0.0010,0.0011,4816.9143,5932.5999,-1.6697249296166E-03
17.1395641920,0.0008,0.0010,4817.0683,5932.8284,-1.4452609749197E-03
17.4966384460,0.0007,0.0009,4817.1974,5933.0192,-1.2647995959485E-03
