cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.5393402500,31.1477,12.7950,338.0207,125.8109,-3.9634531298764E-02
2.7086296000,26.3482,10.8721,338.0207,125.8109,-3.1020994794313E-02
2.8779189500,22.6791,9.5428,338.0207,125.8109,-2.4968682680697E-02
3.0472083000,19.7881,8.7060,338.0207,125.8109,-2.0691904458579E-02
3.2164976500,17.3717,8.0991,338.0207,125.8109,-1.7944177561341E-02
3.3857870000,15.0961,7.4178,338.0207,125.8109,-1.6490175671682E-02
3.5550763500,12.8049,6.4272,338.0207,125.8109,-1.5890091865755E-02
3.7243657000,10.5112,5.0913,338.0207,125.8109,-1.5572271727598E-02
3.8936550500,8.3932,3.6480,338.0207,125.8109,-1.4977314438402E-02
4.0629444000,6.6372,2.4114,338.0207,125.8143,-1.3847507416647E-02
4.2322337500,5.2542,1.5234,338.0207,128.0742,-1.2451655308746E-02
4.4015231000,4.1256,0.9493,338.0207,131.0088,-1.1014091887844E-02
4.5708124500,3.1504,0.5955,338.0207,131.9348,-9.6278744581919E-03
4.7401018000,2.3105,0.3802,338.0217,133.1524,-8.4106696598690E-03
4.9093911500,1.6318,0.2483,338.2247,133.6401,-7.2944182476414E-03
5.0786805000,1.1240,0.1661,348.8803,133.8043,-6.3593798649218E-03
5.2479698500,0.7664,0.1138,528.6853,133.8701,-6.7110611554560E-03
5.4172592000,0.5234,0.0796,1585.0614,133.9014,-1.1087449468102E-02
5.5865485500,0.3609,0.0570,3120.2679,133.9183,-1.5369254160667E-02
5.7558379000,0.2522,0.0416,3984.5024,133.9282,-1.5794594890370E-02
5.9251272500,0.1792,0.0309,4369.3810,133.9344,-1.4471303741141E-02
6.0944166000,0.1294,0.0233,4551.7263,133.9385,-1.2743721342097E-02
6.2637059500,0.0949,0.0179,4647.5738,133.9414,-1.1049651128431E-02
6.4329953000,0.0707,0.0139,4702.3800,133.9434,-9.5128949656219E-03
6.6022846500,0.0536,0.0110,4736.0445,133.9448,-8.1636541013913E-03
6.7715740000,0.0411,0.0088,4758.1159,133.9458,-6.9980587636847E-03
6.9408633500,0.0320,0.0071,4772.9745,133.9466,-5.9996489465932E-03
7.1101527000,0.0251,0.0058,4783.5636,133.9472,-5.1494266615607E-03
7.2794420500,0.0200,0.0048,4791.1275,133.9477,-4.4270869409609E-03
7.4487314000,0.0161,0.0040,4796.6679,133.9481,-3.8152141583914E-03
7.6180207500,0.0131,0.0033,4800.8881,133.9484,-3.2964038146962E-03
7.7873101000,0.0108,0.0028,4804.0717,133.9486,-2.8554641746875E-03
7.9565994500,0.0089,0.0024,4806.6094,133.9488,-2.4808986264333E-03
8.1258888000,0.0074,0.0020,4808.5437,133.9490,-2.1619235309309E-03
8.2951781500,0.0062,0.0017,4810.2099,133.9491,-1.8882269931107E-03
