cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.8201386895,22.5043,8.3433,338.0207,210.5231,-1.3120279588488E-01
5.1414812688,18.6251,6.8734,338.0207,210.5231,-1.0756515159030E-01
5.4628238481,15.3322,5.8640,338.0207,210.5231,-9.1339250242840E-02
5.7841664274,12.5205,5.1209,338.0207,210.5231,-7.9857620525733E-02
6.1055090067,10.1980,4.5384,338.0207,210.5231,-7.1073071432178E-02
6.4268515860,8.2010,4.0221,338.0207,210.5231,-6.3957758484245E-02
6.7481941653,6.3563,3.4639,338.0207,210.5231,-5.7840088849359E-02
7.0695367446,4.6402,2.8199,338.0207,210.5232,-5.2100918822466E-02
7.3908793239,3.1650,2.1506,338.0207,210.5397,-4.6296195240238E-02
7.7122219032,2.0441,1.5484,338.0288,211.7540,-4.0413300737582E-02
8.0335644825,1.2827,1.0642,341.1492,213.6742,-3.4846967925076E-02
8.3549070618,0.8013,0.7065,481.2662,213.7627,-3.2379984923293E-02
8.6762496411,0.5065,0.4600,1725.9507,213.7217,-4.0744557243292E-02
8.9975922204,0.3267,0.2983,3427.1345,213.6932,-4.4900597617881E-02
9.3189347997,0.2159,0.1951,4195.4984,213.6833,-4.1281759281966E-02
9.6402773789,0.1461,0.1296,4496.7746,213.6797,-3.5997440209146E-02
9.9616199582,0.1013,0.0878,4631.3234,213.6781,-3.0977283717116E-02
10.2829625375,0.0717,0.0607,4700.2619,213.6773,-2.6571377136649E-02
10.6043051168,0.0519,0.0429,4739.0483,213.6768,-2.2767488024266E-02
10.9256476961,0.0383,0.0309,4762.6980,213.6766,-1.9486142991975E-02
11.2469902754,0.0288,0.0227,4777.9577,213.6764,-1.6656549388456E-02
11.5683328547,0.0220,0.0169,4788.1803,213.6763,-1.4233144243925E-02
11.8896754340,0.0171,0.0129,4795.3050,213.6762,-1.2180679320994E-02
12.2110180133,0.0134,0.0099,4800.4401,213.6762,-1.0455238853817E-02
12.5323605926,0.0107,0.0078,4804.1869,213.6761,-9.0117476587232E-03
12.8537031719,0.0086,0.0061,4806.9892,213.6761,-7.8010640347115E-03
13.1750457512,0.0070,0.0049,4809.1213,213.6761,-6.7802727137688E-03
13.4963883305,0.0057,0.0040,4810.7809,213.6760,-5.9112137121334E-03
13.8177309098,0.0048,0.0033,4812.0384,213.6760,-5.1641900617684E-03
14.1390734891,0.0040,0.0027,4813.0518,213.6760,-4.5184501503412E-03
14.4604160684,0.0034,0.0023,4813.8451,213.6760,-3.9580289051990E-03
14.7817586477,0.0028,0.0019,4814.5298,213.6760,-3.4698486595036E-03
15.1031012270,0.0024,0.0016,4815.0540,213.6760,-3.0455762231990E-03
15.4244438063,0.0021,0.0014,4815.4792,213.6760,-2.6758080963458E-03
15.7457863856,0.0018,0.0012,4815.8319,213.6760,-2.3540476438346E-03
