cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.7633165927,21.7489,18.8968,338.0207,587.7891,-4.6521407205345E-02
2.9475376989,17.4031,15.9536,338.0207,587.7891,-3.7695333118817E-02
3.1317588051,14.7006,13.9703,338.0207,587.7891,-3.0303601098778E-02
3.3159799112,13.0916,12.6398,338.0207,587.7891,-2.4465324069720E-02
3.5002010174,11.8971,11.4280,338.0207,587.7891,-2.0566713219979E-02
3.6844221236,10.6500,9.8781,338.0207,587.7891,-1.8311550188881E-02
3.8686432298,9.2419,7.8733,338.0207,587.7891,-1.6896175105557E-02
4.0528643360,7.8237,5.7066,338.0207,587.7891,-1.5568314174367E-02
4.2370854421,6.4977,3.8051,338.0207,587.7891,-1.4100063203142E-02
4.4213065483,5.2218,2.4029,338.0207,587.7891,-1.2676276981973E-02
4.6055276545,3.9757,1.4840,338.0207,1371.2054,-1.8615862550441E-02
4.7897487607,2.8464,0.9182,338.0207,3522.0387,-3.2446732615226E-02
4.9739698669,1.9388,0.5769,338.0392,3522.0508,-3.0058452068148E-02
5.1581909730,1.2841,0.3709,341.1146,3522.0508,-2.7109706100627E-02
5.3424120792,0.8434,0.2444,439.6875,3522.0508,-2.5194690702073E-02
5.5266331854,0.5571,0.1652,1330.3994,3522.0508,-2.9684075441002E-02
5.7108542916,0.3729,0.1143,3006.4663,3522.0508,-3.4706145345494E-02
5.8950753978,0.2541,0.0808,3972.9426,3522.0508,-3.3380542524989E-02
6.0792965039,0.1763,0.0584,4381.5885,3522.0508,-2.9545851651449E-02
6.2635176101,0.1247,0.0430,4566.0323,3522.0508,-2.5445532843058E-02
6.4477387163,0.0899,0.0322,4659.5629,3522.0508,-2.1688484359566E-02
6.6319598225,0.0660,0.0245,4712.0035,3522.0508,-1.8403580762223E-02
6.8161809287,0.0493,0.0190,4743.8072,3522.0508,-1.5583156587035E-02
7.0004020348,0.0373,0.0148,4764.4231,3522.0508,-1.3193213565308E-02
7.1846231410,0.0287,0.0118,4778.1230,3522.0508,-1.1181877486323E-02
7.3688442472,0.0222,0.0094,4787.8612,3522.0508,-9.4922940533189E-03
7.5530653534,0.0175,0.0076,4794.6488,3522.0508,-8.0773549266264E-03
7.7372864595,0.0140,0.0063,4799.6169,3522.0508,-6.8936154591953E-03
7.9215075657,0.0113,0.0052,4803.3254,3522.0508,-5.9003040311980E-03
8.1057286719,0.0092,0.0043,4806.2337,3522.0508,-5.0675977060524E-03
8.2899497781,0.0075,0.0036,4808.4240,3522.0508,-4.3659363973400E-03
8.4741708843,0.0062,0.0031,4810.1056,3522.0508,-3.7755642623385E-03
8.6583919904,0.0052,0.0026,4811.4333,3522.0508,-3.2751004278668E-03
8.8426130966,0.0043,0.0022,4812.6364,3522.0508,-2.8483196228583E-03
9.0268342028,0.0037,0.0019,4813.4772,3522.0508,-2.4845912612902E-03
