cell_length,CN_C,CN_A,C6_C,C6_A,Edis
7.1610526500,20.6842,9.8465,338.0207,418.5789,-2.1282768720762E-01
7.6384561600,17.8829,8.7001,338.0207,418.5789,-1.7017219725568E-01
8.1158596700,15.5578,7.9936,338.0207,418.5789,-1.3671482734320E-01
8.5932631800,13.4742,7.4574,338.0207,418.5789,-1.1192773998245E-01
9.0706666900,11.4511,6.9398,338.0207,418.5789,-9.5111782124131E-02
9.5480702000,9.2410,6.2606,338.0207,418.5789,-8.4834095789900E-02
10.0254737100,6.8864,5.2777,338.0207,418.5789,-7.9011144487343E-02
10.5028772200,4.7147,4.0471,338.0207,418.5789,-7.5479640102464E-02
10.9802807300,3.0176,2.8237,338.0207,418.5791,-7.2048115207010E-02
11.4576842400,1.8615,1.8383,338.0546,418.9246,-6.6941322693681E-02
11.9350877500,1.1387,1.1541,347.6983,424.6096,-6.0656351434487E-02
12.4124912600,0.7044,0.7182,655.1042,425.1479,-6.3982659033424E-02
12.8898947700,0.4449,0.4511,2298.5679,425.3493,-1.0202317758233E-01
13.3672982800,0.2881,0.2885,3736.9720,425.4607,-1.2377513293444E-01
13.8447017900,0.1916,0.1888,4314.6320,425.4978,-1.1637020219232E-01
14.3221053000,0.1307,0.1266,4547.5258,425.5116,-1.0143567670156E-01
14.7995088100,0.0913,0.0869,4656.1216,425.5177,-8.6327687366072E-02
15.2769123200,0.0653,0.0610,4713.4179,425.5209,-7.2743482895899E-02
15.7543158300,0.0476,0.0437,4746.7458,425.5227,-6.0989273871607E-02
16.2317193400,0.0354,0.0320,4767.5519,425.5238,-5.1045123231563E-02
16.7091228500,0.0267,0.0238,4781.1194,425.5245,-4.2729759289276E-02
17.1865263600,0.0204,0.0180,4790.4729,425.5250,-3.5834107504687E-02
17.6639298700,0.0159,0.0138,4797.0169,425.5253,-3.0143174546359E-02
18.1413333800,0.0124,0.0107,4801.8283,425.5255,-2.5439424566178E-02
18.6187368900,0.0099,0.0085,4805.2079,425.5257,-2.1556334246537E-02
19.0961404000,0.0080,0.0068,4807.7914,425.5258,-1.8322098873801E-02
19.5735439100,0.0065,0.0055,4809.7193,425.5259,-1.5638029566522E-02
20.0509474200,0.0054,0.0045,4811.2102,425.5260,-1.3392023040394E-02
20.5283509300,0.0045,0.0037,4812.3781,425.5261,-1.1506166894397E-02
21.0057544400,0.0038,0.0031,4813.3036,425.5261,-9.9172614415200E-03
21.4831579500,0.0031,0.0026,4814.1363,425.5261,-8.5685369530790E-03
21.9605614600,0.0027,0.0022,4814.7268,425.5262,-7.4323007235258E-03
22.4379649700,0.0023,0.0019,4815.2084,425.5262,-6.4688356046516E-03
22.9153684800,0.0020,0.0016,4815.6347,425.5262,-5.6465137739624E-03
23.3927719900,0.0017,0.0014,4815.9907,425.5262,-4.9379281965120E-03
