Symbol_x,Structure,Total Sites_x,Li Sites,Counter Ion Sites,Diff Energy,Diff per Total Sites,Diff per Li Sites,Diff per Counter Ion Sites,Composition,Symbol_y,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,Result_1,results_per_li,LiSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites_y,Reduced Formula,Anion Site,Structure_SG
Al,Li3 Al1,4,3.0,1.0,0.0731501244729892,0.0182875311182473,0.0243833748243297,0.0731501244729892,Li3 Al1,Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.4976293242710746,24.38337482432973,0.75,0.25,0.0731501244729892,0.0010994216749187,1.0994216749187626,I4/mmm,139,4,Li3Al,0.33,Li-Al0.33
Al,Li9 Al4,13,9.0,4.0,0.2209695450070555,0.016997657308235,0.0245521716674506,0.0552423862517638,Li9 Al4,Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.462530052077307,24.55217166745061,0.6923076923076923,0.3076923076923077,0.0552423862517638,0.0010301357947302,1.0301357947302678,P-1,2,13,Li9Al4,0.44,Li-Al0.44
Al,Li4 Al2,6,4.0,2.0,0.1005387439052885,0.016756457317548,0.0251346859763221,0.0502693719526442,Li4 Al2,Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.45596666265072794,25.134685976322125,0.6666666666666666,0.3333333333333333,0.0502693719526442,0.0010240088201384,1.0240088201384754,Cmcm,63,6,Li2Al,0.5,Li-Al0.5
Al,Li8 Al4,12,8.0,4.0,0.18457512495513,0.0153812604129275,0.0230718906193912,0.0461437812387825,Li8 Al4,Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.41854562960033537,23.07189061939125,0.6666666666666666,0.3333333333333333,0.0461437812387825,0.0008244365305839,0.8244365305839865,Fd-3m,227,12,Li2Al,0.5,Li-Al0.5
Al,Li3 Al2,5,3.0,2.0,0.072849366992544,0.0145698733985088,0.024283122330848,0.036424683496272,Li3 Al2,Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.3964666529961826,24.283122330848016,0.6,0.4,0.036424683496272,0.0009091570601375,0.909157060137548,R-3m,166,5,Li3Al2,0.67,Li-Al0.67
Al,Li7 Al6,13,7.0,6.0,0.0360390084932278,0.0027722314225559,0.0051484297847468,0.0060065014155379,Li7 Al6,Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.07543629813174003,5.148429784746836,0.5384615384615384,0.4615384615384615,0.0060065014155379,4.922756457696319e-06,0.0049227564576963,Cmmm,65,13,Li7Al6,0.86,Li-Al0.86
Al,Li2 Al2,4,2.0,2.0,0.0601041749198472,0.0150260437299618,0.0300520874599236,0.0300520874599236,Li2 Al2,Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.4088796863534831,30.052087459923644,0.5,0.5,0.0300520874599236,0.0009493269103863,0.949326910386336,Fd-3m,227,4,LiAl,1.0,Li-Al1.0
Al,Li4 Al4,8,4.0,4.0,0.1132514129162658,0.0141564266145332,0.0283128532290664,0.0283128532290664,Li4 Al4,Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.3852161871787094,28.31285322906645,0.5,0.5,0.0283128532290664,0.000761343959471,0.7613439594710201,P6_3/mmc,194,8,LiAl,1.0,Li-Al1.0
Al,Li12 Al12,24,12.0,12.0,0.324111489262454,0.0135046453859355,0.0270092907718711,0.0270092907718711,Li12 Al12,Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.36748030745484755,27.009290771871168,0.5,0.5,0.0270092907718711,0.0006990695637,0.6990695637000439,Cmce,64,24,LiAl,1.0,Li-Al1.0
Al,Li4 Al8,12,4.0,8.0,0.127092725013823,0.0105910604178185,0.0317731812534557,0.0158865906267278,Li4 Al8,Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.2881975814534286,31.773181253455753,0.3333333333333333,0.6666666666666666,0.0158865906267278,0.0005762537104363,0.5762537104363331,Fd-3m,227,12,LiAl2,2.0,Li-Al2.0
Al,Li1 Al3,4,1.0,3.0,0.0421830313004659,0.0105457578251164,0.0421830313004659,0.0140610104334886,Li1 Al3,Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.28696483448237514,42.183031300466,0.25,0.75,0.0140610104334886,0.0006611720608154,0.6611720608154974,Pm-3m,221,4,LiAl3,3.0,Li-Al3.0
Al,Li1 Al3,4,1.0,3.0,0.0420457437388019,0.0105114359347004,0.0420457437388019,0.0140152479129339,Li1 Al3,Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.2860308877935085,42.045743738801896,0.25,0.75,0.0140152479129339,0.0006583349359713,0.6583349359713945,I4/mmm,139,4,LiAl3,3.0,Li-Al3.0
