cell_length,CN_C,CN_A,C6_C,C6_A,Edis
8.5115922837,20.1128,15.4584,85.3197,149.7734,-1.3410441855657E+00
9.0790317693,16.9731,14.0958,85.3197,149.7734,-1.1260834165024E+00
9.6464712549,15.0424,13.3200,85.3197,149.7734,-9.4598267261302E-01
10.2139107405,13.5831,12.5675,85.3197,149.7734,-7.8828172132714E-01
10.7813502261,12.1695,11.4186,85.3197,149.7734,-6.5249694473430E-01
11.3487897117,10.6201,9.6598,85.3197,149.7734,-5.4146279699982E-01
11.9162291972,8.8662,7.4552,85.3197,149.7734,-4.5430897103727E-01
12.4836686828,6.9770,5.2509,85.3197,149.7735,-3.8759354028609E-01
13.0511081684,5.1410,3.4372,85.3197,179.0025,-3.5072657477098E-01
13.6185476540,3.5584,2.1514,85.3197,232.1872,-3.3136969827862E-01
14.1859871396,2.3456,1.3247,85.3199,259.8283,-3.1018382595238E-01
14.7534266252,1.5040,0.8198,85.4549,273.0939,-2.9513645334784E-01
15.3208661107,0.9578,0.5163,95.5680,289.8477,-3.2112382879515E-01
15.8883055963,0.6148,0.3327,246.8971,305.4318,-6.0964332177783E-01
16.4557450819,0.4014,0.2199,661.1873,311.6575,-1.2430592305851E+00
17.0231845675,0.2676,0.1491,923.4853,314.0328,-1.6516786906233E+00
17.5906240531,0.1825,0.1036,1028.0642,315.0876,-1.7173062390823E+00
18.1580635386,0.1272,0.0736,1072.4523,315.6258,-1.6216500911914E+00
18.7255030242,0.0906,0.0534,1094.0262,315.9311,-1.4765678122018E+00
19.2929425098,0.0658,0.0394,1105.7979,316.1174,-1.3245971894199E+00
19.8603819954,0.0486,0.0297,1112.8025,316.2380,-1.1805311812021E+00
20.4278214810,0.0366,0.0227,1117.2231,316.3190,-1.0484948810340E+00
20.9952609666,0.0280,0.0176,1120.1512,316.3752,-9.2866146313456E-01
21.5627004521,0.0218,0.0139,1122.1656,316.4154,-8.2006861297598E-01
22.1301399377,0.0171,0.0111,1123.5982,316.4449,-7.2182854092609E-01
22.6975794233,0.0136,0.0090,1124.6487,316.4671,-6.3337410971069E-01
23.2650189089,0.0110,0.0073,1125.4289,316.4840,-5.5428456830136E-01
23.8324583945,0.0090,0.0060,1126.0168,316.4969,-4.8413603833224E-01
24.3998978801,0.0074,0.0050,1126.4679,316.5069,-4.2242914826684E-01
24.9673373656,0.0061,0.0042,1126.8185,316.5148,-3.6847598501109E-01
25.5347768512,0.0051,0.0035,1127.0980,316.5216,-3.2152488425803E-01
26.1022163368,0.0043,0.0030,1127.3233,316.5268,-2.8082449161280E-01
26.6696558224,0.0037,0.0025,1127.5081,316.5313,-2.4565389316100E-01
27.2370953080,0.0031,0.0022,1127.6570,316.5348,-2.1524717955689E-01
27.8045347936,0.0027,0.0019,1127.7728,316.5376,-1.8898312969468E-01
