cell_length,CN_C,CN_A,C6_C,C6_A,Edis
9.2016953005,17.7540,18.6942,85.3197,455.2854,-1.4097652503386E+00
9.8151416539,15.3465,16.1431,85.3197,455.2854,-1.1730873420094E+00
10.4285880072,13.6341,14.8405,85.3197,455.2854,-9.8253064659270E-01
11.0420343606,12.0677,13.8896,85.3197,455.2854,-8.1708573359400E-01
11.6554807140,10.4973,12.7191,85.3197,455.2854,-6.7753199082428E-01
12.2689270673,8.9182,11.0317,85.3197,455.2854,-5.6615725647015E-01
12.8823734207,7.3464,8.8831,85.3197,455.2854,-4.8006744810048E-01
13.4958197741,5.7653,6.6065,85.3197,455.2854,-4.1473245577065E-01
14.1092661274,4.2279,4.5684,85.3197,455.2914,-3.6604523490178E-01
14.7227124808,2.8936,2.9863,85.3197,522.0812,-3.4373547775580E-01
15.3361588342,1.8833,1.8886,85.3265,546.3279,-3.2206274318617E-01
15.9496051875,1.1963,1.1826,86.8577,622.6625,-3.4876316216672E-01
16.5630515409,0.7580,0.7460,136.9709,643.7888,-7.2580206558414E-01
17.1764978943,0.4860,0.4789,468.7738,682.4059,-1.4645143886179E+00
17.7899442477,0.3176,0.3144,838.2381,712.4824,-1.7776725423179E+00
18.4033906010,0.2122,0.2113,997.0459,724.7955,-1.7606673084900E+00
19.0168369544,0.1451,0.1454,1059.7739,729.8003,-1.6291213178951E+00
19.6302833078,0.1014,0.1022,1088.2066,732.1380,-1.4682218271230E+00
20.2437296611,0.0724,0.0735,1102.8754,733.3694,-1.3068304063908E+00
20.8571760145,0.0527,0.0539,1111.2063,734.0806,-1.1549770768153E+00
21.4706223679,0.0392,0.0402,1116.3142,734.5230,-1.0158870750777E+00
22.0840687212,0.0296,0.0306,1119.6299,734.8124,-8.9017690057504E-01
22.6975150746,0.0227,0.0235,1121.8740,735.0109,-7.7765722327106E-01
23.3109614280,0.0177,0.0184,1123.4418,735.1495,-6.7766939914931E-01
23.9244077813,0.0139,0.0146,1124.5684,735.2500,-5.8943050888825E-01
24.5378541347,0.0111,0.0117,1125.3922,735.3240,-5.1203210751733E-01
25.1513004881,0.0090,0.0095,1126.0060,735.3791,-4.4443947812803E-01
25.7647468414,0.0073,0.0078,1126.4780,735.4214,-3.8562841397638E-01
26.3781931948,0.0060,0.0064,1126.8525,735.4553,-3.3477476293650E-01
26.9916395482,0.0050,0.0053,1127.1437,735.4826,-2.9088122283793E-01
27.6050859015,0.0042,0.0044,1127.3634,735.5026,-2.5307284954960E-01
28.2185322549,0.0035,0.0038,1127.5391,735.5189,-2.2057487178360E-01
28.8319786083,0.0030,0.0032,1127.6858,735.5322,-1.9262151732160E-01
29.4454249616,0.0026,0.0028,1127.8011,735.5430,-1.6861020555708E-01
30.0588713150,0.0022,0.0024,1127.8958,735.5517,-1.4792270735474E-01
