cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.8314794580,18.9610,17.4435,85.3197,268.6130,-7.6987222523191E-02
3.0202447552,16.1568,15.1951,85.3197,268.6130,-6.4576323437033E-02
3.2090100524,14.3794,13.7542,85.3197,268.6130,-5.2972613293748E-02
3.3977753496,13.1050,12.6449,85.3197,268.6130,-4.2989887311102E-02
3.5865406468,11.9718,11.5305,85.3197,268.6130,-3.5003564654039E-02
3.7753059440,10.6178,10.0790,85.3197,268.6130,-2.8820898828629E-02
3.9640712412,8.8163,8.1679,85.3197,268.6130,-2.4147230406033E-02
4.1528365384,6.6911,6.0280,85.3197,268.6130,-2.0746576682531E-02
4.3416018356,4.6415,4.0761,85.3197,268.6130,-1.8458842619977E-02
4.5303671328,3.0110,2.5954,85.3197,268.6130,-1.7108255753989E-02
4.7191324300,1.8862,1.6087,85.3263,268.6343,-1.6393948649563E-02
4.9078977272,1.1730,0.9961,87.1692,271.0242,-1.6144412709231E-02
5.0966630244,0.7369,0.6257,146.6605,302.7294,-2.1824267465830E-02
5.2854283216,0.4721,0.4017,499.3202,365.4692,-5.1162081659947E-02
5.4741936188,0.3097,0.2644,852.9657,398.5339,-7.3695489132915E-02
5.6629589160,0.2081,0.1783,1001.6394,410.9044,-7.5741258355492E-02
5.8517242132,0.1432,0.1232,1061.1739,416.0425,-7.0230449432450E-02
6.0404895104,0.1009,0.0871,1088.5075,418.5197,-6.3069667798684E-02
6.2292548076,0.0725,0.0629,1102.8004,419.8668,-5.6073173600964E-02
6.4180201048,0.0531,0.0463,1111.0497,420.6674,-4.9655017622403E-02
6.6067854020,0.0397,0.0347,1116.1247,421.1703,-4.3808877709630E-02
6.7955506992,0.0301,0.0264,1119.4467,421.5049,-3.8470000905231E-02
6.9843159964,0.0233,0.0205,1121.6900,421.7335,-3.3602641507764E-02
7.1730812936,0.0182,0.0160,1123.2817,421.8973,-2.9208348460625E-02
7.3618465908,0.0144,0.0128,1124.4156,422.0148,-2.5292323131845E-02
7.5506118880,0.0116,0.0103,1125.2514,422.1019,-2.1854179618327E-02
7.7393771852,0.0094,0.0083,1125.8976,422.1699,-1.8864111809299E-02
7.9281424824,0.0077,0.0068,1126.3881,422.2215,-1.6284636344413E-02
8.1169077796,0.0063,0.0057,1126.7574,422.2606,-1.4074577414182E-02
8.3056730768,0.0053,0.0047,1127.0607,422.2929,-1.2184320496926E-02
8.4944383740,0.0044,0.0040,1127.2897,422.3172,-1.0570462095344E-02
8.6832036712,0.0038,0.0034,1127.4793,422.3375,-9.1911842204140E-03
8.8719689684,0.0032,0.0029,1127.6277,422.3534,-8.0133782733723E-03
9.0607342656,0.0028,0.0025,1127.7550,422.3671,-7.0055743487027E-03
9.2494995628,0.0024,0.0021,1127.8602,422.3784,-6.1392586489718E-03
