cell_length,CN_C,CN_A,C6_C,C6_A,Edis
5.6235691199,21.8758,17.6665,85.3197,224.2851,-4.0949308688489E-01
5.9984737279,18.0893,14.6471,85.3197,224.2851,-3.4345984104380E-01
6.3733783359,15.3068,13.1773,85.3197,224.2851,-2.8566608703228E-01
6.7482829439,13.2703,12.3203,85.3197,224.2851,-2.3737162331855E-01
7.1231875519,11.5582,11.5301,85.3197,224.2851,-1.9748249884829E-01
7.4980921599,9.8541,10.5160,85.3197,224.2851,-1.6422370842858E-01
7.8729967679,8.1641,9.1937,85.3197,224.2851,-1.3725592012233E-01
8.2479013759,6.5780,7.6309,85.3197,224.2851,-1.1666939758279E-01
8.6228059839,5.0824,5.9698,85.3197,224.2851,-1.0196552922732E-01
8.9977105919,3.6950,4.3830,85.3197,224.2851,-9.2028590888969E-02
9.3726151999,2.5253,3.0323,85.3197,224.4823,-8.5540266823368E-02
9.7475198079,1.6534,2.0073,85.3613,241.0357,-8.3327369684746E-02
10.1224244159,1.0628,1.2990,89.7515,251.7498,-8.1641314935425E-02
10.4973290239,0.6838,0.8375,179.5855,254.6554,-9.2585671510175E-02
10.8722336318,0.4456,0.5451,559.3038,257.6774,-1.7937656719796E-01
11.2471382398,0.2960,0.3608,877.2843,260.6746,-3.1286468931608E-01
11.6220428478,0.2008,0.2436,1009.6222,261.8817,-3.5868599164774E-01
11.9969474558,0.1392,0.1680,1064.1311,262.3286,-3.4844720565104E-01
12.3718520638,0.0986,0.1183,1089.7552,262.5207,-3.2049765964161E-01
12.7467566718,0.0712,0.0850,1103.3838,262.6163,-2.8876536810050E-01
13.1216612798,0.0525,0.0622,1111.3161,262.6696,-2.5781736787603E-01
13.4965658878,0.0393,0.0463,1116.2582,262.7017,-2.2903265930074E-01
13.8714704958,0.0299,0.0350,1119.5078,262.7224,-2.0269070714485E-01
14.2463751038,0.0231,0.0269,1121.7355,262.7361,-1.7875698079321E-01
14.6212797118,0.0182,0.0210,1123.2883,262.7456,-1.5712346405474E-01
14.9961843198,0.0144,0.0166,1124.4161,262.7525,-1.3770573930194E-01
15.3710889278,0.0116,0.0133,1125.2505,262.7575,-1.2039496987748E-01
15.7459935358,0.0095,0.0107,1125.8747,262.7613,-1.0508032850742E-01
16.1208981438,0.0077,0.0087,1126.3674,262.7642,-9.1630513562626E-02
16.4958027518,0.0064,0.0072,1126.7462,262.7663,-7.9891687987538E-02
16.8707073598,0.0053,0.0060,1127.0405,262.7680,-6.9690734281280E-02
17.2456119678,0.0045,0.0051,1127.2705,262.7694,-6.0851623621675E-02
17.6205165758,0.0038,0.0043,1127.4727,262.7705,-5.3212643755179E-02
17.9954211838,0.0032,0.0036,1127.6214,262.7714,-4.6614257838184E-02
18.3703257917,0.0028,0.0031,1127.7521,262.7721,-4.0915097620278E-02
