cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.6048420000,15.3212,18.1723,85.3197,533.8810,-1.2180869378192E-01
3.8451648000,13.3940,14.6026,85.3197,533.8810,-1.0126188983355E-01
4.0854876000,12.0679,12.7156,85.3197,533.8810,-8.3931734208730E-02
4.3258104000,10.9837,11.7107,85.3197,533.8810,-7.0044664213179E-02
4.5661332000,9.7409,10.9735,85.3197,533.8810,-5.8693327383020E-02
4.8064560000,8.1302,10.0973,85.3197,533.8810,-4.9004737458263E-02
5.0467788000,6.2925,8.8537,85.3197,533.8810,-4.1021701361069E-02
5.2871016000,4.5329,7.2663,85.3197,533.8810,-3.5067331741052E-02
5.5274244000,3.0722,5.5642,85.3197,533.8810,-3.1052620595910E-02
5.7677472000,1.9892,3.9939,85.3226,533.8812,-2.8480647148602E-02
6.0080700000,1.2545,2.7132,86.2896,537.5888,-2.6926278990415E-02
6.2483928000,0.7863,1.7750,126.3336,568.2449,-3.0624102147707E-02
6.4887156000,0.4974,1.1414,444.4840,592.2353,-5.8536382288681E-02
6.7290384000,0.3205,0.7344,832.8170,596.9328,-9.6583862548968E-02
6.9693612000,0.2113,0.4782,998.1395,606.2523,-1.1001773193716E-01
7.2096840000,0.1427,0.3170,1061.6106,612.6810,-1.0609636805222E-01
7.4500068000,0.0986,0.2146,1089.7629,615.0821,-9.6778264577983E-02
7.6903296000,0.0696,0.1483,1104.1126,616.0115,-8.6273367729651E-02
7.9306524000,0.0503,0.1047,1112.1722,616.4312,-7.5974467572502E-02
8.1709752000,0.0370,0.0754,1117.0710,616.6484,-6.6418895760311E-02
8.4112980000,0.0278,0.0554,1120.2237,616.7726,-5.7800076652466E-02
8.6516208000,0.0212,0.0414,1122.3447,616.8493,-5.0156866939777E-02
8.8919436000,0.0164,0.0314,1123.8220,616.8992,-4.3437121781873E-02
9.1322664000,0.0129,0.0241,1124.8792,616.9333,-3.7564518153569E-02
9.3725892000,0.0102,0.0188,1125.6469,616.9570,-3.2457409504069E-02
9.6129120000,0.0083,0.0149,1126.2150,616.9739,-2.8030819881007E-02
9.8532348000,0.0067,0.0120,1126.6522,616.9864,-2.4207691958368E-02
10.0935576000,0.0055,0.0097,1126.9902,616.9958,-2.0918092250061E-02
10.3338804000,0.0045,0.0079,1127.2723,617.0033,-1.8096736475990E-02
10.5742032000,0.0038,0.0065,1127.4733,617.0088,-1.5680157806990E-02
10.8145260000,0.0032,0.0054,1127.6336,617.0131,-1.3614603079986E-02
11.0548488000,0.0027,0.0045,1127.7672,617.0167,-1.1844089985827E-02
11.2951716000,0.0023,0.0038,1127.8719,617.0194,-1.0331866652687E-02
11.5354944000,0.0020,0.0033,1127.9577,617.0216,-9.0349802154715E-03
11.7758172000,0.0017,0.0028,1128.0286,617.0233,-7.9194498977392E-03
