cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.1332802500,17.1423,14.6573,85.3197,153.3435,-5.6588629142007E-02
3.3421656000,14.7272,13.1613,85.3197,153.3435,-4.5998077251627E-02
3.5510509500,13.2044,12.2809,85.3197,153.3435,-3.6953749077935E-02
3.7599363000,12.1090,11.3750,85.3197,153.3435,-3.0173345885928E-02
3.9688216500,10.8783,9.9630,85.3197,153.3435,-2.4960891821545E-02
4.1777070000,9.1374,7.8822,85.3197,153.3435,-2.0748422534853E-02
4.3865923500,6.9403,5.5253,85.3197,285.6905,-2.2645829690155E-02
4.5954777000,4.7516,3.5123,85.3197,285.6905,-2.0059098575236E-02
4.8043630500,3.0146,2.1196,85.3197,285.6905,-1.8745713554544E-02
5.0132484000,1.8430,1.2639,85.3290,287.4098,-1.8270030886838E-02
5.2221337500,1.1206,0.7626,88.1209,640.1287,-2.5771974185224E-02
5.4310191000,0.6907,0.4712,174.4712,689.9313,-3.7570282725189E-02
5.6399044500,0.4355,0.2994,582.6053,690.6766,-7.5917743163218E-02
5.8487898000,0.2819,0.1957,901.0194,690.7280,-9.3473676399033E-02
6.0576751500,0.1875,0.1316,1023.2428,690.7368,-9.0331336260558E-02
6.2665605000,0.1278,0.0907,1072.0691,690.7394,-8.1526861202541E-02
6.4754458500,0.0893,0.0641,1094.6654,690.7404,-7.2230418913022E-02
6.6843312000,0.0639,0.0463,1106.6343,690.7409,-6.3695516346851E-02
6.8932165500,0.0466,0.0341,1113.5875,690.7411,-5.5989453783395E-02
7.1021019000,0.0346,0.0256,1117.9176,690.7413,-4.8978873806930E-02
7.3109872500,0.0262,0.0196,1120.7341,690.7414,-4.2582677811799E-02
7.5198726000,0.0201,0.0151,1122.6826,690.7415,-3.6795778224358E-02
7.7287579500,0.0157,0.0119,1124.0281,690.7415,-3.1647686366941E-02
7.9376433000,0.0125,0.0095,1124.9987,690.7415,-2.7140004517853E-02
8.1465286500,0.0100,0.0077,1125.7188,690.7416,-2.3244322999645E-02
8.3554140000,0.0081,0.0063,1126.2559,690.7416,-1.9913680734100E-02
8.5642993500,0.0065,0.0051,1126.7017,690.7416,-1.7079222950423E-02
8.7731847000,0.0054,0.0042,1127.0166,690.7416,-1.4674475869315E-02
8.9820700500,0.0045,0.0036,1127.2635,690.7416,-1.2637226770066E-02
9.1909554000,0.0038,0.0030,1127.4657,690.7416,-1.0915759472768E-02
9.3998407500,0.0032,0.0026,1127.6224,690.7416,-9.4540179375468E-03
9.6087261000,0.0028,0.0022,1127.7493,690.7416,-8.2127617711974E-03
9.8176114500,0.0024,0.0019,1127.8530,690.7416,-7.1543068112894E-03
10.0264968000,0.0021,0.0017,1127.9385,690.7416,-6.2522233321839E-03
10.2353821500,0.0018,0.0014,1128.0261,690.7417,-5.4784943999043E-03
