cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.8429126180,19.0195,23.1439,85.3197,298.8616,-8.6161847712536E-02
3.0324401258,15.9681,19.1132,85.3197,298.8616,-7.0279487486742E-02
3.2219676337,14.0821,16.2982,85.3197,298.8616,-5.6899023841532E-02
3.4114951416,12.8787,14.3333,85.3197,298.8616,-4.6465008656316E-02
3.6010226494,11.9016,12.9876,85.3197,298.8616,-3.8380473213467E-02
3.7905501573,10.7309,11.8605,85.3197,298.8616,-3.2128721520963E-02
3.9800776652,9.1275,10.5305,85.3197,298.8616,-2.7652152174473E-02
4.1696051730,7.1701,8.7693,85.3197,298.8616,-2.4889179580617E-02
4.3591326809,5.1839,6.6969,85.3197,298.8616,-2.3484053135417E-02
4.5486601888,3.4944,4.6957,85.3197,298.8616,-2.2793997715448E-02
4.7381876966,2.2491,3.0921,85.3201,298.8616,-2.2089220485335E-02
4.9277152045,1.4190,1.9712,85.5843,298.8616,-2.0923417305379E-02
5.1172427123,0.8958,1.2476,102.1790,299.8821,-2.1663198855232E-02
5.3067702202,0.5733,0.7968,304.5123,359.2763,-4.2142606287950E-02
5.4962977281,0.3744,0.5181,721.8041,362.0408,-6.6273191050064E-02
5.6858252359,0.2500,0.3440,949.1952,362.0733,-7.0409423422744E-02
5.8753527438,0.1709,0.2337,1038.6846,362.0751,-6.5576810620622E-02
6.0648802517,0.1195,0.1623,1077.4661,362.0754,-5.8786422961602E-02
6.2544077595,0.0853,0.1151,1096.7119,362.0754,-5.2015002559822E-02
6.4439352674,0.0621,0.0833,1107.3763,362.0755,-4.5706312183488E-02
6.6334627753,0.0461,0.0614,1113.7700,362.0755,-3.9932405474635E-02
6.8229902831,0.0348,0.0461,1117.8656,362.0755,-3.4690736812218E-02
7.0125177910,0.0267,0.0351,1120.5936,362.0755,-2.9993207690714E-02
7.2020452989,0.0207,0.0272,1122.4888,362.0755,-2.5836818994270E-02
7.3915728067,0.0164,0.0213,1123.8382,362.0755,-2.2211523269015E-02
7.5811003146,0.0131,0.0169,1124.8184,362.0755,-1.9082365812634E-02
7.7706278225,0.0105,0.0136,1125.5627,362.0755,-1.6400912070687E-02
7.9601553303,0.0086,0.0110,1126.1294,362.0755,-1.4112832784373E-02
8.1496828382,0.0070,0.0090,1126.5675,362.0755,-1.2167891007061E-02
8.3392103461,0.0058,0.0074,1126.8977,362.0755,-1.0516310568067E-02
8.5287378539,0.0049,0.0062,1127.1646,362.0755,-9.1112773425161E-03
8.7182653618,0.0041,0.0052,1127.3724,362.0755,-7.9166781159697E-03
8.9077928696,0.0035,0.0044,1127.5399,362.0755,-6.8981070074309E-03
9.0973203775,0.0030,0.0038,1127.6823,362.0755,-6.0273060922989E-03
9.2868478854,0.0026,0.0032,1127.8002,362.0755,-5.2808912643854E-03
