cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.0613376375,21.9330,21.1580,85.3197,332.1448,-1.6287319141290E-01
4.3320934800,18.1055,17.4634,85.3197,332.1448,-1.3736672025932E-01
4.6028493225,15.4950,15.0082,85.3197,332.1448,-1.1592306709024E-01
4.8736051650,13.8017,13.5002,85.3197,332.1448,-9.6404029598085E-02
5.1443610075,12.7134,12.5451,85.3197,332.1448,-7.9592422449923E-02
5.4151168500,11.7856,11.6876,85.3197,332.1448,-6.6231743865054E-02
5.6858726925,10.6093,10.5366,85.3197,332.1448,-5.5830443667588E-02
5.9566285350,8.9476,8.8694,85.3197,332.1448,-4.7595024223061E-02
6.2273843775,6.9020,6.8053,85.3197,332.1448,-4.1041903361436E-02
6.4981402200,4.8719,4.7675,85.3197,561.4338,-4.6987676280336E-02
6.7688960625,3.2209,3.1289,85.3197,561.4338,-4.2229102536230E-02
7.0396519050,2.0573,1.9881,85.3214,561.4338,-3.9243458015722E-02
7.3104077475,1.3030,1.2555,85.9810,562.9669,-3.7811131543111E-02
7.5811635900,0.8319,0.8007,113.6172,782.5285,-4.9528745039867E-02
7.8519194325,0.5403,0.5200,360.0240,835.1892,-9.8011174567678E-02
8.1226752750,0.3584,0.3451,756.3083,836.2400,-1.5606209636748E-01
8.3934311175,0.2431,0.2343,958.6603,836.3127,-1.7124847767375E-01
8.6641869600,0.1687,0.1627,1040.6750,836.3245,-1.6393700670140E-01
8.9349428025,0.1195,0.1154,1077.4646,836.3277,-1.4957098894391E-01
9.2056986450,0.0863,0.0835,1096.1870,836.3289,-1.3404261398863E-01
9.4764544875,0.0636,0.0615,1106.7488,836.3295,-1.1938769584206E-01
9.7472103300,0.0476,0.0461,1113.1833,836.3298,-1.0607678034092E-01
10.0179661725,0.0363,0.0352,1117.3408,836.3300,-9.4042156257430E-02
10.2887220150,0.0280,0.0271,1120.1622,836.3301,-8.3104329638673E-02
10.5594778575,0.0219,0.0213,1122.1135,836.3302,-7.3153376858248E-02
10.8302337000,0.0174,0.0169,1123.5219,836.3302,-6.4144559114182E-02
11.1009895425,0.0140,0.0136,1124.5554,836.3303,-5.6054127399555E-02
11.3717453850,0.0113,0.0110,1125.3248,836.3303,-4.8864476771737E-02
11.6425012275,0.0093,0.0091,1125.9162,836.3303,-4.2536862098487E-02
11.9132570700,0.0077,0.0075,1126.3697,836.3303,-3.7021023115556E-02
12.1840129125,0.0064,0.0062,1126.7432,836.3303,-3.2233798992939E-02
12.4547687550,0.0053,0.0052,1127.0374,836.3303,-2.8094853150347E-02
12.7255245975,0.0045,0.0044,1127.2615,836.3303,-2.4529325295785E-02
12.9962804400,0.0039,0.0038,1127.4459,836.3304,-2.1456744600423E-02
13.2670362825,0.0033,0.0032,1127.6044,836.3304,-1.8806136341397E-02
