cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.8497143182,20.5045,18.5405,85.3197,265.8654,-7.9741217468954E-02
3.0396952728,17.1408,16.0386,85.3197,265.8654,-6.6322030100540E-02
3.2296762273,15.3505,14.7326,85.3197,265.8654,-5.4811888738553E-02
3.4196571819,14.2048,13.7211,85.3197,265.8654,-4.5607276590770E-02
3.6096381364,13.0426,12.4898,85.3197,265.8654,-3.7677749696303E-02
3.7996190910,11.5422,10.8894,85.3197,265.8654,-3.0873779579702E-02
3.9896000455,9.7272,9.0567,85.3197,265.8654,-2.5624869471803E-02
4.1795810001,7.7656,7.1356,85.3197,265.8654,-2.1990168104489E-02
4.3695619546,5.8100,5.2452,85.3197,649.7143,-3.0551499993181E-02
4.5595429092,4.0539,3.5884,85.3197,649.7143,-2.8011466658990E-02
4.7495238637,2.6740,2.3290,85.3197,649.7143,-2.6205656095692E-02
4.9395048183,1.7102,1.4747,85.3463,649.7838,-2.4728064494037E-02
5.1294857728,1.0857,0.9320,89.0154,728.8451,-2.5126322346173E-02
5.3194667274,0.6952,0.5964,171.3378,1047.9919,-3.8460868462670E-02
5.5094476819,0.4529,0.3890,542.7866,1065.7685,-7.3150874924833E-02
5.6994286365,0.3014,0.2597,867.7808,1066.7943,-9.5128519135268E-02
5.8894095910,0.2052,0.1773,1004.8660,1066.9427,-9.5967771424645E-02
6.0793905456,0.1428,0.1238,1061.4830,1066.9805,-8.8835397907946E-02
6.2693715001,0.1015,0.0884,1088.1365,1066.9943,-7.9700580447261E-02
6.4593524547,0.0737,0.0644,1102.2693,1067.0005,-7.0679458255120E-02
6.6493334092,0.0543,0.0476,1110.5853,1067.0038,-6.2424563209790E-02
6.8393143638,0.0409,0.0359,1115.7093,1067.0057,-5.5021628135434E-02
7.0292953183,0.0312,0.0275,1119.0863,1067.0068,-4.8387039510459E-02
7.2192762729,0.0242,0.0214,1121.3867,1067.0076,-4.2415411935261E-02
7.4092572274,0.0191,0.0169,1123.0103,1067.0082,-3.7045931789455E-02
7.5992381820,0.0151,0.0134,1124.2114,1067.0086,-3.2253081223647E-02
7.7892191365,0.0122,0.0109,1125.0796,1067.0089,-2.8015313950121E-02
7.9792000911,0.0099,0.0088,1125.7535,1067.0091,-2.4304303959085E-02
8.1691810456,0.0081,0.0073,1126.2534,1067.0092,-2.1081149131065E-02
8.3591620002,0.0068,0.0061,1126.6418,1067.0093,-1.8297676037594E-02
8.5491429547,0.0057,0.0051,1126.9475,1067.0094,-1.5897419914623E-02
8.7391239093,0.0047,0.0043,1127.2093,1067.0095,-1.3839849269582E-02
8.9291048638,0.0040,0.0036,1127.4218,1067.0096,-1.2073482153074E-02
9.1190858184,0.0034,0.0031,1127.5783,1067.0096,-1.0555058880747E-02
9.3090667729,0.0029,0.0027,1127.7064,1067.0097,-9.2502512530962E-03
