cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.9135405096,19.0174,16.0283,85.3197,153.4528,-7.7137809857644E-02
3.1077765436,16.3115,14.7337,85.3197,153.4528,-6.2028405357775E-02
3.3020125775,14.8423,13.7869,85.3197,153.4528,-5.0443965154265E-02
3.4962486115,13.7144,12.5985,85.3197,153.4528,-4.1527735044986E-02
3.6904846455,12.3509,10.9765,85.3197,153.4528,-3.5177027336894E-02
3.8847206794,10.5599,9.0729,85.3197,153.4528,-3.1146509064196E-02
4.0789567134,8.4883,7.0633,85.3197,153.4528,-2.8702487893361E-02
4.2731927474,6.3812,5.0921,85.3197,153.4528,-2.7024752528481E-02
4.4674287814,4.4728,3.3954,85.3197,153.4528,-2.5632647506163E-02
4.6616648153,2.9513,2.1448,85.3197,153.4528,-2.4228573531418E-02
4.8559008493,1.8752,1.3251,85.3269,154.0238,-2.2569972090497E-02
5.0501368833,1.1765,0.8207,87.1186,320.2442,-2.8589118138147E-02
5.2443729172,0.7422,0.5165,144.0846,340.3209,-3.2748010627242E-02
5.4386089512,0.4763,0.3327,490.1241,340.5098,-6.0317317058426E-02
5.6328449852,0.3123,0.2197,848.1126,340.5193,-8.3249611305113E-02
5.8270810192,0.2098,0.1488,999.7420,340.5206,-8.4834319738944E-02
6.0213170531,0.1442,0.1032,1060.4336,340.5210,-7.8065695461515E-02
6.2155530871,0.1014,0.0733,1088.1909,340.5211,-6.9350493113578E-02
6.4097891211,0.0729,0.0532,1102.6214,340.5211,-6.0753775791650E-02
6.6040251550,0.0533,0.0392,1110.9906,340.5212,-5.2912935917494E-02
6.7982611890,0.0398,0.0295,1116.0918,340.5212,-4.5959781151344E-02
6.9924972230,0.0302,0.0226,1119.4248,340.5212,-3.9849961589646E-02
7.1867332570,0.0233,0.0175,1121.6784,340.5212,-3.4481769175291E-02
7.3809692909,0.0183,0.0138,1123.2591,340.5212,-2.9779392674030E-02
7.5752053249,0.0144,0.0110,1124.4221,340.5212,-2.5679001143343E-02
7.7694413589,0.0116,0.0089,1125.2586,340.5212,-2.2126214238729E-02
7.9636773928,0.0093,0.0072,1125.9059,340.5212,-1.9064021668993E-02
8.1579134268,0.0077,0.0060,1126.3836,340.5212,-1.6440784648287E-02
8.3521494608,0.0064,0.0050,1126.7534,340.5212,-1.4199892891764E-02
8.5463854948,0.0053,0.0042,1127.0435,340.5212,-1.2284791200198E-02
8.7406215287,0.0044,0.0035,1127.2922,340.5212,-1.0655037214701E-02
8.9348575627,0.0037,0.0029,1127.4930,340.5212,-9.2645840993748E-03
9.1290935967,0.0032,0.0025,1127.6403,340.5212,-8.0755290046156E-03
9.3233296307,0.0027,0.0022,1127.7606,340.5212,-7.0582371574768E-03
9.5175656646,0.0024,0.0019,1127.8597,340.5212,-6.1842972238199E-03
