cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.2355374175,20.4024,17.6060,85.3197,172.3153,-2.0081335972648E-01
3.4512399120,17.1118,15.5677,85.3197,172.3153,-1.5873257585473E-01
3.6669424065,15.2768,14.4482,85.3197,172.3153,-1.2722275547237E-01
3.8826449010,14.0116,13.4413,85.3197,172.3153,-1.0414949535047E-01
4.0983473955,12.6775,12.1012,85.3197,172.3153,-8.7073676340236E-02
4.3140498900,11.0447,10.3493,85.3197,172.3153,-7.4999612947806E-02
4.5297523845,9.2238,8.3704,85.3197,172.3153,-6.7105641998623E-02
4.7454548790,7.3608,6.3612,85.3197,172.3153,-6.2248552522490E-02
4.9611573735,5.5370,4.5095,85.3197,172.3153,-5.8981018687017E-02
5.1768598680,3.8925,3.0028,85.3197,173.0826,-5.6235408772446E-02
5.3925623625,2.5846,1.9193,85.3197,259.6081,-6.6743095279337E-02
5.6082648570,1.6602,1.2075,85.3591,396.8539,-7.8883369285181E-02
5.8239673515,1.0565,0.7625,89.9806,426.9125,-7.6574095775016E-02
6.0396698460,0.6771,0.4890,184.7334,450.9179,-9.6264168959375E-02
6.2553723405,0.4412,0.3202,569.4660,469.2130,-1.5604045785309E-01
6.4710748350,0.2936,0.2147,881.4072,476.3249,-1.8198413773276E-01
6.6867773295,0.1998,0.1474,1010.6571,479.0995,-1.7546760850536E-01
6.9024798240,0.1390,0.1035,1064.2743,480.3597,-1.5902528417918E-01
7.1181823185,0.0988,0.0742,1089.6643,481.0126,-1.4099449351472E-01
7.3338848130,0.0716,0.0543,1103.2028,481.3859,-1.2389535081738E-01
7.5495873075,0.0529,0.0404,1111.1632,481.6175,-1.0839234768674E-01
7.7652898020,0.0397,0.0306,1116.1283,481.7676,-9.4551195323263E-02
7.9809922965,0.0303,0.0235,1119.3853,481.8688,-8.2283877247158E-02
8.1966947910,0.0235,0.0184,1121.6084,481.9395,-7.1461166659763E-02
8.4123972855,0.0185,0.0146,1123.1830,481.9904,-6.1967974798238E-02
8.6280997800,0.0147,0.0116,1124.3422,482.0287,-5.3685879472312E-02
8.8438022745,0.0118,0.0094,1125.1852,482.0568,-4.6492889480578E-02
9.0595047690,0.0096,0.0077,1125.8258,482.0782,-4.0278792415275E-02
9.2752072635,0.0079,0.0064,1126.3202,482.0951,-3.4923970488540E-02
9.4909097580,0.0066,0.0053,1126.6967,482.1080,-3.0317455110984E-02
9.7066122525,0.0055,0.0045,1126.9929,482.1182,-2.6356875631204E-02
9.9223147470,0.0046,0.0038,1127.2395,482.1268,-2.2951583617573E-02
10.1380172415,0.0039,0.0032,1127.4393,482.1341,-2.0029315802849E-02
10.3537197360,0.0033,0.0027,1127.6049,482.1398,-1.7515676141469E-02
10.5694222305,0.0028,0.0024,1127.7291,482.1441,-1.5352155104149E-02
