cell_length,CN_C,CN_A,C6_C,C6_A,Edis
6.0656818950,16.0909,16.7510,85.3197,175.5616,-8.5037435945347E-02
6.4700606880,14.0129,14.4241,85.3197,175.5616,-6.8126721662315E-02
6.8744394810,12.7334,13.0408,85.3197,175.5616,-5.4778185984793E-02
7.2788182740,11.6509,12.0490,85.3197,175.5616,-4.4667202535395E-02
7.6831970670,10.2014,10.8830,85.3197,175.5616,-3.7537685821109E-02
8.0875758600,8.1352,9.1627,85.3197,175.5616,-3.3019211644272E-02
8.4919546530,5.7680,6.9412,85.3197,175.5616,-3.0499204623869E-02
8.8963334460,3.7027,4.7220,85.3197,175.5616,-2.9000607640102E-02
9.3007122390,2.2482,2.9770,85.3201,175.5628,-2.7549677377404E-02
9.7050910320,1.3443,1.8125,85.7967,186.9794,-2.6286056575682E-02
10.1094698250,0.8119,1.0999,118.6265,433.2345,-3.7087598721770E-02
10.5138486180,0.5015,0.6775,435.9558,488.7665,-8.2088543068190E-02
10.9182274110,0.3183,0.4272,836.9851,585.0534,-1.3387491913329E-01
11.3226062040,0.2079,0.2766,1001.9158,640.0217,-1.3994111813907E-01
11.7269849970,0.1396,0.1840,1063.8683,659.9184,-1.2831668332250E-01
12.1313637900,0.0962,0.1256,1091.0754,667.8522,-1.1345409700094E-01
12.5357425830,0.0678,0.0878,1104.9000,671.5770,-9.9170023918157E-02
12.9401213760,0.0490,0.0628,1112.6798,673.5575,-8.6198588254442E-02
13.3445001690,0.0360,0.0458,1117.4256,674.7165,-7.4526576764655E-02
13.7488789620,0.0270,0.0341,1120.4837,675.4411,-6.4074963382200E-02
14.1532577550,0.0206,0.0258,1122.5326,675.9157,-5.4821928429008E-02
14.5576365480,0.0160,0.0198,1123.9588,676.2401,-4.6740340593095E-02
14.9620153410,0.0126,0.0155,1124.9692,676.4670,-3.9779742380724E-02
15.3663941340,0.0100,0.0123,1125.7113,676.6315,-3.3842604027345E-02
15.7707729270,0.0081,0.0099,1126.2635,676.7527,-2.8823884475501E-02
16.1751517200,0.0066,0.0079,1126.6991,676.8469,-2.4593789266762E-02
16.5795305130,0.0054,0.0065,1127.0328,676.9186,-2.1037620230070E-02
16.9839093060,0.0045,0.0054,1127.2816,676.9720,-1.8047394669070E-02
17.3882880990,0.0037,0.0045,1127.4827,677.0147,-1.5527427053678E-02
17.7926668920,0.0031,0.0037,1127.6482,677.0495,-1.3402151357604E-02
18.1970456850,0.0027,0.0032,1127.7739,677.0760,-1.1604855664517E-02
18.6014244780,0.0023,0.0027,1127.8762,677.0975,-1.0080429085201E-02
19.0058032710,0.0020,0.0023,1127.9693,677.1166,-8.7844775924975E-03
19.4101820640,0.0017,0.0020,1128.0382,677.1310,-7.6773152215243E-03
19.8145608570,0.0015,0.0017,1128.0957,677.1429,-6.7284545020609E-03
