cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.1057927725,24.2397,11.5525,85.3197,28.0315,-1.9152266010856E-01
3.3128456240,20.1635,10.4659,85.3197,28.0315,-1.6068113932483E-01
3.5198984755,17.4626,9.8145,85.3197,28.0315,-1.3545446746786E-01
3.7269513270,15.3059,9.3552,85.3197,28.0315,-1.1371424914104E-01
3.9340041785,13.2764,8.9327,85.3197,28.0315,-9.5203824412868E-02
4.1410570300,11.1004,8.3515,85.3197,28.0315,-8.0260779311558E-02
4.3481098815,8.6813,7.4267,85.3197,28.0315,-6.8851902275355E-02
4.5551627330,6.2429,6.1152,85.3197,28.0315,-6.0177078325634E-02
4.7622155845,4.1518,4.6032,85.3197,28.0315,-5.5005645777933E-02
4.9692684360,2.6208,3.1924,85.3197,31.4902,-5.4542986519247E-02
5.1763212875,1.6201,2.0892,85.3738,51.5782,-6.6441880201194E-02
5.3833741390,1.0044,1.3279,92.3775,69.0308,-7.4772589264274E-02
5.5904269905,0.6331,0.8394,225.8746,76.9073,-9.8210564555305E-02
5.7974798420,0.4085,0.5358,645.0103,87.4387,-1.5190851397507E-01
6.0045326935,0.2702,0.3482,919.4637,98.4342,-1.7183033596309E-01
6.2115855450,0.1834,0.2312,1027.1472,102.9651,-1.6535837580786E-01
6.4186383965,0.1276,0.1570,1072.1921,104.6653,-1.5042766000934E-01
6.6256912480,0.0908,0.1091,1093.9262,105.4036,-1.3408849779750E-01
6.8327440995,0.0660,0.0774,1105.7181,105.7736,-1.1888871125103E-01
7.0397969510,0.0489,0.0560,1112.7171,105.9804,-1.0556770918057E-01
7.2468498025,0.0369,0.0413,1117.1274,106.1053,-9.4105006958328E-02
7.4539026540,0.0283,0.0310,1120.0656,106.1853,-8.4220922859643E-02
7.6609555055,0.0220,0.0236,1122.0842,106.2389,-7.5620522989193E-02
7.8680083570,0.0174,0.0183,1123.5233,106.2759,-6.8067640413960E-02
8.0750612085,0.0139,0.0143,1124.5680,106.3023,-6.1369052797865E-02
8.2821140600,0.0113,0.0114,1125.3506,106.3216,-5.5354107922234E-02
8.4891669115,0.0092,0.0092,1125.9418,106.3359,-4.9891341406898E-02
8.6962197630,0.0076,0.0074,1126.3911,106.3467,-4.4892756399120E-02
8.9032726145,0.0064,0.0061,1126.7486,106.3550,-4.0319746842621E-02
9.1103254660,0.0053,0.0051,1127.0468,106.3615,-3.6170574646425E-02
9.3173783175,0.0045,0.0042,1127.2721,106.3667,-3.2452316028664E-02
9.5244311690,0.0039,0.0036,1127.4513,106.3707,-2.9159449416750E-02
9.7314840205,0.0033,0.0030,1127.6027,106.3739,-2.6270101174440E-02
9.9385368720,0.0029,0.0026,1127.7230,106.3766,-2.3744346705976E-02
10.1455897235,0.0025,0.0022,1127.8264,106.3787,-2.1529101364782E-02
