cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.2921263849,19.6197,9.4888,85.3197,28.0315,-4.3543597837163E-02
3.5116014773,16.5947,8.6678,85.3197,28.0315,-3.5521973755850E-02
3.7310765696,14.8351,8.2300,85.3197,28.0315,-2.9552136851007E-02
3.9505516619,13.3621,7.8575,85.3197,28.0315,-2.4477271340526E-02
4.1700267543,11.5006,7.3348,85.3197,28.0315,-1.9992522980280E-02
4.3895018466,9.1306,6.5631,85.3197,28.0315,-1.6425653207771E-02
4.6089769389,6.6779,5.6224,85.3197,28.0315,-1.3924159718244E-02
4.8284520312,4.6163,4.6713,85.3197,28.0315,-1.2318569132778E-02
5.0479271236,3.0861,3.7854,85.3197,29.3051,-1.1532118374954E-02
5.2674022159,2.0101,2.9725,85.3222,31.7082,-1.1230855870980E-02
5.4868773082,1.2833,2.2416,86.0927,48.4894,-1.2928685906681E-02
5.7063524006,0.8131,1.6151,118.2991,57.7328,-1.5746085594769E-02
5.9258274929,0.5184,1.1160,401.6467,73.9886,-3.3523988198113E-02
6.1453025852,0.3359,0.7491,802.9085,78.5914,-4.9798734462270E-02
6.3647776775,0.2223,0.4966,985.2593,89.7979,-5.3923750194760E-02
6.5842527699,0.1506,0.3298,1055.5813,99.3141,-5.2339040980456E-02
6.8037278622,0.1045,0.2213,1086.4880,103.2394,-4.8249582022305E-02
7.0232029545,0.0741,0.1509,1102.0757,104.7738,-4.3419569443882E-02
7.2426780469,0.0537,0.1048,1110.8285,105.4587,-3.8535872056980E-02
7.4621531392,0.0397,0.0741,1116.1187,105.8071,-3.3901281464753E-02
7.6816282315,0.0299,0.0534,1119.5310,106.0033,-2.9668339482499E-02
7.9011033239,0.0228,0.0392,1121.8229,106.1220,-2.5895764698550E-02
8.1205784162,0.0177,0.0292,1123.4175,106.1982,-2.2582539324197E-02
8.3400535085,0.0140,0.0221,1124.5551,106.2491,-1.9696946878114E-02
8.5595286008,0.0111,0.0170,1125.3866,106.2841,-1.7192497908887E-02
8.7790036932,0.0090,0.0133,1126.0042,106.3091,-1.5026418776164E-02
8.9984787855,0.0074,0.0105,1126.4728,106.3273,-1.3157611000687E-02
9.2179538778,0.0061,0.0084,1126.8304,106.3407,-1.1548732557505E-02
9.4374289702,0.0051,0.0068,1127.1123,106.3508,-1.0163296936074E-02
9.6569040625,0.0043,0.0055,1127.3348,106.3586,-8.9696929863962E-03
9.8763791548,0.0036,0.0046,1127.5172,106.3645,-7.9361126475631E-03
10.0958542471,0.0031,0.0038,1127.6701,106.3692,-7.0357513084106E-03
10.3153293395,0.0026,0.0032,1127.7882,106.3729,-6.2476655182725E-03
10.5348044318,0.0023,0.0027,1127.8845,106.3759,-5.5556653475339E-03
10.7542795241,0.0020,0.0023,1127.9678,106.3784,-4.9482557409624E-03
