cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.1200782478,16.4316,17.1171,85.3197,263.4508,-1.2282364906576E-01
3.3280834643,14.8778,15.2475,85.3197,263.4508,-9.9046448050140E-02
3.5360886808,13.7597,14.0473,85.3197,263.4508,-7.9631659558122E-02
3.7440938973,12.4238,12.7585,85.3197,263.4508,-6.3956310080216E-02
3.9520991139,10.6915,11.0802,85.3197,263.4508,-5.2959390937147E-02
4.1601043304,8.7265,9.1136,85.3197,263.4508,-4.6245059484188E-02
4.3681095469,6.6844,7.0411,85.3197,263.4508,-4.2411707806300E-02
4.5761147634,4.7254,5.0345,85.3197,263.4508,-4.0041656608367E-02
4.7841199799,3.0957,3.3352,85.3197,263.4508,-3.8182340396949E-02
4.9921251965,1.9331,2.0990,85.3243,263.4508,-3.6304204981466E-02
5.2001304130,1.1876,1.2946,86.9672,264.5833,-3.4291737247006E-02
5.4081356295,0.7345,0.8016,147.9050,453.4219,-5.3880830578632E-02
5.6161408460,0.4628,0.5048,520.2239,468.0365,-6.3882600110373E-02
5.8241460625,0.2989,0.3256,872.3176,468.1807,-6.3353075584854E-02
6.0321512790,0.1980,0.2152,1012.6097,468.1883,-5.6723572334293E-02
6.2401564956,0.1345,0.1460,1067.4514,468.1894,-4.9274537963546E-02
6.4481617121,0.0937,0.1015,1092.3882,468.1897,-4.2414351099839E-02
6.6561669286,0.0666,0.0720,1105.4540,468.1898,-3.6372856547109E-02
6.8641721451,0.0484,0.0523,1112.8786,468.1899,-3.1096698617040E-02
7.0721773616,0.0359,0.0387,1117.4662,468.1899,-2.6507357888800E-02
7.2801825782,0.0271,0.0292,1120.4407,468.1899,-2.2531525118654E-02
7.4881877947,0.0207,0.0223,1122.4852,468.1899,-1.9119576447842E-02
7.6961930112,0.0162,0.0173,1123.8921,468.1899,-1.6210940281759E-02
7.9041982277,0.0128,0.0137,1124.9030,468.1899,-1.3752310490623E-02
8.1122034442,0.0102,0.0109,1125.6642,468.1899,-1.1685064955570E-02
8.3202086608,0.0083,0.0088,1126.2189,468.1899,-9.9493217164201E-03
8.5282138773,0.0068,0.0072,1126.6413,468.1899,-8.4946581275964E-03
8.7362190938,0.0055,0.0059,1126.9871,468.1899,-7.2734609844519E-03
8.9442243103,0.0045,0.0048,1127.2605,468.1899,-6.2490184300492E-03
9.1522295268,0.0038,0.0041,1127.4602,468.1899,-5.3857296324704E-03
9.3602347433,0.0032,0.0034,1127.6199,468.1899,-4.6570693253213E-03
9.5682399599,0.0028,0.0029,1127.7490,468.1899,-4.0392108857222E-03
9.7762451764,0.0024,0.0025,1127.8588,468.1899,-3.5156333877512E-03
9.9842503929,0.0021,0.0022,1127.9451,468.1899,-3.0695040022484E-03
10.1922556094,0.0018,0.0019,1128.0166,468.1899,-2.6863495369195E-03
