cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.7321998624,18.5027,16.4013,85.3197,172.3153,-8.3344190136854E-02
2.9143465199,15.7577,14.1811,85.3197,172.3153,-6.7803214963655E-02
3.0964931774,13.9129,12.8991,85.3197,172.3153,-5.5576642360510E-02
3.2786398349,12.6701,11.9505,85.3197,172.3153,-4.6162467406955E-02
3.4607864924,11.5369,10.7806,85.3197,172.3153,-3.8462831664482E-02
3.6429331499,10.0374,9.0397,85.3197,172.3153,-3.2334375540186E-02
3.8250798074,7.9943,6.8178,85.3197,172.3153,-2.7957454353130E-02
4.0072264649,5.7204,4.6253,85.3197,172.3153,-2.5114003996071E-02
4.1893731224,3.7424,2.9130,85.3197,173.8657,-2.3481698125817E-02
4.3715197798,2.3258,1.7734,85.3199,267.5907,-3.0728546083521E-02
4.5536664373,1.4229,1.0764,85.5762,412.3006,-4.0079260191744E-02
4.7358130948,0.8770,0.6632,104.9567,433.0853,-4.0815486223582E-02
4.9179597523,0.5512,0.4184,340.8023,459.2687,-5.4647630536862E-02
5.1001064098,0.3550,0.2711,763.5430,472.9960,-6.5850878198119E-02
5.2822530673,0.2347,0.1805,969.7442,477.8821,-6.4383888064236E-02
5.4643997248,0.1592,0.1232,1048.7144,479.8381,-5.9055641049206E-02
5.6465463823,0.1106,0.0863,1082.9000,480.7597,-5.3154566905776E-02
5.8286930398,0.0786,0.0617,1099.9921,481.2537,-4.7320305506139E-02
6.0108396973,0.0570,0.0451,1109.4945,481.5425,-4.1680415064580E-02
6.1929863548,0.0422,0.0335,1115.2322,481.7235,-3.6366209204498E-02
6.3751330123,0.0318,0.0254,1118.8878,481.8420,-3.1519608265896E-02
6.5572796698,0.0243,0.0196,1121.3560,481.9237,-2.7230206583895E-02
6.7394263273,0.0189,0.0153,1123.0584,481.9809,-2.3508806942034E-02
6.9215729848,0.0149,0.0121,1124.2890,482.0230,-2.0312383234450E-02
7.1037196422,0.0119,0.0097,1125.1732,482.0534,-1.7572741550470E-02
7.2858662997,0.0096,0.0079,1125.8342,482.0764,-1.5218393874243E-02
7.4680129572,0.0078,0.0065,1126.3330,482.0939,-1.3189407057406E-02
7.6501596147,0.0065,0.0054,1126.7172,482.1074,-1.1438080617138E-02
7.8323062722,0.0053,0.0044,1127.0509,482.1194,-9.9238313787134E-03
8.0144529297,0.0045,0.0037,1127.2856,482.1277,-8.6177033465740E-03
8.1965995872,0.0038,0.0032,1127.4731,482.1344,-7.4923689578163E-03
8.3787462447,0.0032,0.0027,1127.6298,482.1401,-6.5249176551296E-03
8.5608929022,0.0028,0.0023,1127.7526,482.1445,-5.6926250646226E-03
8.7430395597,0.0024,0.0020,1127.8534,482.1482,-4.9769120979286E-03
8.9251862172,0.0021,0.0018,1127.9369,482.1512,-4.3601859407327E-03
