cell_length,CN_C,CN_A,C6_C,C6_A,Edis
5.5314678225,13.4625,23.2240,85.3197,766.0202,-2.2887705681228E-01
5.9002323440,12.6093,19.3921,85.3197,766.0202,-1.8802069480607E-01
6.2689968655,12.0693,16.5147,85.3197,766.0202,-1.5509609016046E-01
6.6377613870,11.4050,14.3320,85.3197,766.0202,-1.2843301112659E-01
7.0065259085,10.2935,12.6710,85.3197,766.0202,-1.0935262413906E-01
7.3752904300,8.6181,11.2142,85.3197,766.0202,-9.6469589467547E-02
7.7440549515,6.5931,9.7124,85.3197,766.0202,-8.7039642072390E-02
8.1128194730,4.6126,8.0896,85.3197,766.0202,-7.9112756780391E-02
8.4815839945,2.9988,6.3970,85.3197,766.0202,-7.1907002583792E-02
8.8503485160,1.8652,4.7576,85.3275,766.0202,-6.5333972343766E-02
9.2191130375,1.1437,3.3256,87.6513,766.6501,-5.9842455103398E-02
9.5878775590,0.7063,2.2154,163.9706,1628.6604,-1.1424082097054E-01
9.9566420805,0.4445,1.4380,561.8091,1850.5479,-1.4993177200711E-01
10.3254066020,0.2866,0.9282,893.2126,3140.8970,-2.2773915400391E-01
10.6941711235,0.1895,0.6040,1021.2843,3981.5201,-2.5581134662453E-01
11.0629356450,0.1286,0.3996,1071.5466,3990.2332,-2.3037270476126E-01
11.4317001665,0.0894,0.2696,1094.6527,3990.5659,-2.0238917307263E-01
11.8004646880,0.0635,0.1858,1106.7868,3990.6032,-1.7478350821330E-01
12.1692292095,0.0461,0.1305,1113.7877,3990.6113,-1.4939714962856E-01
12.5379937310,0.0340,0.0936,1118.1196,3990.6138,-1.2712719607530E-01
12.9067582525,0.0256,0.0683,1120.9426,3990.6149,-1.0813556473046E-01
13.2755227740,0.0196,0.0508,1122.8492,3990.6155,-9.2104985350415E-02
13.6442872955,0.0152,0.0384,1124.1796,3990.6158,-7.8586256279502E-02
14.0130518170,0.0119,0.0294,1125.1522,3990.6160,-6.7127096388387E-02
14.3818163385,0.0095,0.0228,1125.8602,3990.6161,-5.7409769496545E-02
14.7505808600,0.0076,0.0180,1126.3986,3990.6162,-4.9131232045413E-02
15.1193453815,0.0062,0.0143,1126.7947,3990.6162,-4.2080453818348E-02
15.4881099030,0.0051,0.0116,1127.1002,3990.6163,-3.6086877614146E-02
15.8568744245,0.0043,0.0094,1127.3388,3990.6163,-3.1005093424275E-02
16.2256389460,0.0036,0.0077,1127.5319,3990.6163,-2.6683392386935E-02
16.5944034675,0.0030,0.0064,1127.6824,3990.6163,-2.3016562529287E-02
16.9631679890,0.0026,0.0054,1127.8038,3990.6163,-1.9907764377597E-02
17.3319325105,0.0022,0.0046,1127.9027,3990.6164,-1.7269841909343E-02
17.7006970320,0.0019,0.0038,1127.9839,3990.6164,-1.5019168467382E-02
18.0694615535,0.0016,0.0032,1128.0705,3990.6164,-1.3097139203071E-02
