cell_length,CN_C,CN_A,C6_C,C6_A,Edis
5.1294934350,13.9507,20.0088,85.3197,411.5665,-2.2706728616399E-01
5.4714596640,12.8311,16.8780,85.3197,411.5665,-1.8176370498550E-01
5.8134258930,12.1732,14.6236,85.3197,411.5665,-1.4734727106437E-01
6.1553921220,11.4395,13.0834,85.3197,411.5665,-1.2366796898409E-01
6.4973583510,10.2174,11.8472,85.3197,411.5665,-1.0796657095329E-01
6.8393245800,8.3132,10.4747,85.3197,411.5665,-9.7320893070095E-02
7.1812908090,6.0172,8.7635,85.3197,411.5665,-8.9752316468389E-02
7.5232570380,3.9285,6.7979,85.3197,411.5665,-8.3270073243144E-02
7.8652232670,2.4098,4.8550,85.3198,411.5665,-7.6746790130376E-02
8.2071894960,1.4469,3.2304,85.5320,411.5665,-7.0518208144970E-02
8.5491557250,0.8739,2.0570,105.4443,411.5671,-6.7387945822069E-02
8.8911219540,0.5386,1.2894,363.2039,1567.5304,-2.3270021694855E-01
9.2330881830,0.3408,0.8120,792.9840,1597.4792,-2.4746546374038E-01
9.5750544120,0.2217,0.5196,986.0068,1597.4796,-2.2565118314748E-01
9.9170206410,0.1482,0.3398,1057.4519,1597.4796,-1.9526837401248E-01
10.2589868700,0.1016,0.2275,1088.0890,1597.4796,-1.6544194496882E-01
10.6009530990,0.0713,0.1558,1103.3550,1597.4796,-1.3904978159083E-01
10.9429193280,0.0513,0.1092,1111.7920,1597.4796,-1.1670093611896E-01
11.2848855570,0.0376,0.0782,1116.8880,1597.4796,-9.8040384718574E-02
11.6268517860,0.0281,0.0571,1120.1282,1597.4796,-8.2464505537516E-02
11.9688180150,0.0214,0.0425,1122.2911,1597.4796,-6.9432001658197E-02
12.3107842440,0.0164,0.0321,1123.8181,1597.4796,-5.8495913118015E-02
12.6527504730,0.0128,0.0246,1124.8874,1597.4796,-4.9324888631744E-02
12.9947167020,0.0102,0.0191,1125.6580,1597.4796,-4.1653093041241E-02
13.3366829310,0.0082,0.0151,1126.2410,1597.4796,-3.5238088191286E-02
13.6786491600,0.0066,0.0120,1126.6855,1597.4796,-2.9887726302987E-02
14.0206153890,0.0054,0.0097,1127.0153,1597.4796,-2.5424015549283E-02
14.3625816180,0.0045,0.0079,1127.2848,1597.4796,-2.1697564363402E-02
14.7045478470,0.0037,0.0065,1127.4857,1597.4796,-1.8578573051989E-02
15.0465140760,0.0032,0.0054,1127.6455,1597.4796,-1.5958539628945E-02
15.3884803050,0.0027,0.0046,1127.7740,1597.4796,-1.3758045920849E-02
15.7304465340,0.0023,0.0039,1127.8783,1597.4796,-1.1897982161095E-02
16.0724127630,0.0020,0.0033,1127.9682,1597.4796,-1.0323787709405E-02
16.4143789920,0.0017,0.0028,1128.0385,1597.4796,-8.9845788335409E-03
16.7563452210,0.0015,0.0024,1128.0969,1597.4796,-7.8440898831924E-03
