cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.3624594400,15.5379,16.3372,85.3197,175.5616,-1.1686202507726E-01
2.5199567360,13.6512,14.1668,85.3197,175.5616,-9.2141616752847E-02
2.6774540320,12.4673,12.8742,85.3197,175.5616,-7.3155309215694E-02
2.8349513280,11.3380,11.8833,85.3197,175.5616,-5.8891008486739E-02
2.9924486240,9.7373,10.6299,85.3197,175.5616,-4.8504011286795E-02
3.1499459200,7.5506,8.7751,85.3197,175.5616,-4.1715021063495E-02
3.3074432160,5.2164,6.4727,85.3197,175.5616,-3.7976006700699E-02
3.4649405120,3.2936,4.2916,85.3197,175.5616,-3.6216500715458E-02
3.6224378080,1.9846,2.6571,85.3227,175.5767,-3.5166717921999E-02
3.7799351040,1.1841,1.6023,87.0135,227.3874,-4.1765737137024E-02
3.9374324000,0.7156,0.9691,158.2395,448.6481,-7.4856459060243E-02
4.0949296960,0.4430,0.5972,565.4617,513.1556,-1.0255363017208E-01
4.2524269920,0.2820,0.3774,900.8634,605.9751,-1.1722639029189E-01
4.4099242880,0.1847,0.2452,1025.9183,647.9325,-1.1045940864045E-01
4.5674215840,0.1244,0.1637,1074.2862,663.0160,-9.7908784903937E-02
4.7249188800,0.0860,0.1122,1096.3778,669.2881,-8.5344375038296E-02
4.8824161760,0.0609,0.0787,1107.9033,672.3377,-7.3915473208387E-02
5.0399134720,0.0440,0.0565,1114.5503,674.0070,-6.3670907181453E-02
5.1974107680,0.0325,0.0413,1118.6582,675.0011,-5.4524624132432E-02
5.3549080640,0.0244,0.0308,1121.3237,675.6294,-4.6442407744567E-02
5.5124053600,0.0187,0.0234,1123.1212,676.0448,-3.9407181405140E-02
5.6699026560,0.0145,0.0181,1124.3890,676.3325,-3.3368085693162E-02
5.8273999520,0.0115,0.0142,1125.2914,676.5349,-2.8242344033512E-02
5.9848972480,0.0092,0.0113,1125.9592,676.6829,-2.3931097803840E-02
6.1423945440,0.0074,0.0090,1126.4730,676.7954,-2.0317582278144E-02
6.2998918400,0.0060,0.0073,1126.8583,676.8790,-1.7294877465633E-02
6.4573891360,0.0049,0.0060,1127.1524,676.9424,-1.4768011459019E-02
6.6148864320,0.0041,0.0049,1127.3829,676.9919,-1.2650308978102E-02
6.7723837280,0.0034,0.0041,1127.5712,677.0318,-1.0872594969814E-02
6.9298810240,0.0029,0.0035,1127.7133,677.0620,-9.3763146895250E-03
7.0873783200,0.0025,0.0030,1127.8281,677.0863,-8.1137674720970E-03
7.2448756160,0.0021,0.0025,1127.9308,677.1078,-7.0447948995818E-03
7.4023729120,0.0018,0.0022,1128.0072,677.1238,-6.1349691604994E-03
7.5598702080,0.0016,0.0019,1128.0705,677.1370,-5.3594340359943E-03
7.7173675040,0.0014,0.0016,1128.1233,677.1480,-4.6947344329958E-03
