cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.0233025350,15.7335,16.7241,85.3197,175.5616,-1.1508324794067E-01
4.2915227040,13.7929,14.4059,85.3197,175.5616,-9.2222319042073E-02
4.5597428730,12.6468,13.0236,85.3197,175.5616,-7.4225038005315E-02
4.8279630420,11.6838,12.0149,85.3197,175.5616,-6.1345839500780E-02
5.0961832110,10.3652,10.8125,85.3197,175.5616,-5.3191909676687E-02
5.3644033800,8.4209,9.0462,85.3197,175.5616,-4.8902093662299E-02
5.6326235490,6.0992,6.7973,85.3197,175.5616,-4.7104278788898E-02
5.9008437180,3.9863,4.5879,85.3197,175.5616,-4.5825346857174E-02
6.1690638870,2.4475,2.8761,85.3198,175.5643,-4.3410979591237E-02
6.4372840560,1.4707,1.7456,85.4956,194.4530,-4.2499076981619E-02
6.7055042250,0.8889,1.0581,103.1476,439.1812,-6.6037744720338E-02
6.9737243940,0.5483,0.6518,345.9026,495.6674,-1.0045692124738E-01
7.2419445630,0.3471,0.4113,780.0424,591.9470,-1.3637201528326E-01
7.5101647320,0.2260,0.2666,980.7202,642.6723,-1.3522824468154E-01
7.7783849010,0.1512,0.1776,1055.0903,660.9418,-1.2086937315908E-01
8.0466050700,0.1039,0.1214,1086.8248,668.3187,-1.0467201260844E-01
8.3148252390,0.0730,0.0849,1102.5860,671.8236,-8.9525368352063E-02
8.5830454080,0.0525,0.0608,1111.2901,673.6995,-7.6064652024136E-02
8.8512655770,0.0385,0.0444,1116.5447,674.8070,-6.4354600681679E-02
9.1194857460,0.0288,0.0331,1119.8913,675.4995,-5.4292581667609E-02
9.3877059150,0.0219,0.0251,1122.1193,675.9556,-4.5744284183055E-02
9.6559260840,0.0169,0.0193,1123.6629,676.2685,-3.8539266621820E-02
9.9241462530,0.0133,0.0151,1124.7524,676.4877,-3.2505598098202E-02
10.1923664220,0.0106,0.0120,1125.5458,676.6464,-2.7474759278297E-02
10.4605865910,0.0085,0.0095,1126.1599,676.7681,-2.3287400038287E-02
10.7288067600,0.0069,0.0077,1126.6138,676.8574,-1.9798989134215E-02
10.9970269290,0.0056,0.0063,1126.9538,676.9251,-1.6892055965921E-02
11.2652470980,0.0047,0.0052,1127.2277,676.9785,-1.4463377901772E-02
11.5334672670,0.0039,0.0044,1127.4355,677.0192,-1.2424524165885E-02
11.8016874360,0.0033,0.0037,1127.6099,677.0532,-1.0711362991974E-02
12.0699076050,0.0028,0.0031,1127.7426,677.0791,-9.2662635340422E-03
12.3381277740,0.0024,0.0026,1127.8598,677.1012,-8.0438863509642E-03
12.6063479430,0.0020,0.0023,1127.9475,677.1187,-7.0052206418729E-03
12.8745681120,0.0018,0.0020,1128.0200,677.1327,-6.1185119445592E-03
13.1427882810,0.0016,0.0017,1128.0803,677.1444,-5.3599393360705E-03
