cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.2086492252,13.5401,3.2958,85.3197,10.3708,-4.8702961374540E-02
3.4225591736,10.9511,2.8434,85.3197,10.3708,-4.0454484932551E-02
3.6364691219,8.9261,2.4980,85.3197,10.3715,-3.5032390069233E-02
3.8503790703,7.5390,2.2675,85.3197,10.3754,-3.0917557743518E-02
4.0642890186,6.6268,2.1299,85.3197,10.3846,-2.7337825609110E-02
4.2781989670,5.8974,2.0352,85.3197,10.3999,-2.3914416416267E-02
4.4921089153,5.1174,1.9367,85.3197,10.4337,-2.0819706908225E-02
4.7060188637,4.1995,1.7977,85.3197,10.5519,-1.8324261936414E-02
4.9199288120,3.2012,1.5994,85.3197,11.0559,-1.6456046636216E-02
5.1338387604,2.2616,1.3508,85.3200,12.1801,-1.5023048102826E-02
5.3477487087,1.5042,1.0800,85.4547,12.7444,-1.3478707094894E-02
5.5616586571,0.9667,0.8167,94.8607,12.9883,-1.2263173253968E-02
5.7755686054,0.6152,0.5858,246.4166,13.6628,-1.3349986343043E-02
5.9894785538,0.3943,0.4032,677.2453,14.5993,-1.5920265661455E-02
6.2033885021,0.2570,0.2708,939.2428,15.1002,-1.5943598415427E-02
6.4172984505,0.1711,0.1806,1038.5342,15.2913,-1.4582513619580E-02
6.6312083988,0.1165,0.1209,1079.3406,15.3681,-1.2910457165368E-02
6.8451183472,0.0811,0.0820,1098.7805,15.4033,-1.1306776876149E-02
7.0590282955,0.0577,0.0565,1109.2235,15.4216,-9.8917935889192E-03
7.2729382439,0.0419,0.0396,1115.3436,15.4318,-8.6822032124309E-03
7.4868481922,0.0310,0.0283,1119.1699,15.4381,-7.6534359695905E-03
7.7007581406,0.0233,0.0206,1121.6758,15.4420,-6.7735574869298E-03
7.9146680889,0.0178,0.0152,1123.3847,15.4446,-6.0160014161153E-03
8.1285780373,0.0139,0.0114,1124.5841,15.4464,-5.3626694375619E-03
8.3424879856,0.0109,0.0087,1125.4461,15.4476,-4.8023411117751E-03
8.5563979340,0.0087,0.0068,1126.0784,15.4485,-4.3248564581506E-03
8.7703078823,0.0070,0.0053,1126.5619,15.4491,-3.9188738130764E-03
8.9842178307,0.0058,0.0042,1126.9245,15.4496,-3.5717789383718E-03
9.1981277790,0.0048,0.0034,1127.2028,15.4500,-3.2696537773668E-03
9.4120377274,0.0040,0.0028,1127.4255,15.4503,-3.0003728009768E-03
9.6259476757,0.0033,0.0023,1127.5986,15.4505,-2.7543593657443E-03
9.8398576241,0.0028,0.0019,1127.7406,15.4506,-2.5265813472164E-03
10.0537675724,0.0024,0.0016,1127.8542,15.4508,-2.3152187002943E-03
10.2676775208,0.0021,0.0013,1127.9455,15.4509,-2.1207278350353E-03
10.4815874691,0.0018,0.0011,1128.0215,15.4510,-1.9440448176618E-03
