cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.6368984975,10.1690,10.5157,85.3197,418.5789,-1.5201791844140E-01
4.9460250640,8.2655,8.5058,85.3197,418.5789,-1.2625229277849E-01
5.2551516305,7.0280,7.1803,85.3197,418.5789,-1.0545467116570E-01
5.5642781970,6.1878,6.3085,85.3197,418.5789,-8.8400722456261E-02
5.8734047635,5.3456,5.4901,85.3197,418.5789,-7.4573376567203E-02
6.1825313300,4.2731,4.4641,85.3197,418.5789,-6.3367502293959E-02
6.4916578965,3.0578,3.2654,85.3197,418.5789,-5.4151266303492E-02
6.8007844630,1.9810,2.1565,85.3228,418.6087,-4.6754288731018E-02
7.1099110295,1.2105,1.3338,86.6943,423.4544,-4.1767580695821E-02
7.4190375960,0.7265,0.8050,152.1127,425.1031,-4.1707164894180E-02
7.7281641625,0.4397,0.4879,573.0019,425.3177,-5.1689051767484E-02
8.0372907290,0.2720,0.3015,916.7835,425.4542,-5.4481778646344E-02
8.3464172955,0.1729,0.1912,1036.9358,425.4971,-5.1230236140307E-02
8.6555438620,0.1131,0.1247,1081.4278,425.5119,-4.6178879730743E-02
8.9646704285,0.0760,0.0835,1101.2168,425.5182,-4.0774984337714E-02
9.2737969950,0.0524,0.0574,1111.3395,425.5213,-3.5601023566998E-02
9.5829235615,0.0371,0.0405,1117.0579,425.5230,-3.0912680723044E-02
9.8920501280,0.0268,0.0292,1120.5475,425.5240,-2.6781908780730E-02
10.2011766945,0.0198,0.0215,1122.7934,425.5247,-2.3180034232823E-02
10.5103032610,0.0148,0.0161,1124.2928,425.5251,-2.0042301120150E-02
10.8194298275,0.0114,0.0123,1125.3242,425.5254,-1.7306426407540E-02
11.1285563940,0.0088,0.0095,1126.0516,425.5256,-1.4915710788012E-02
11.4376829605,0.0069,0.0075,1126.5888,425.5258,-1.2830519838780E-02
11.7468095270,0.0056,0.0060,1126.9781,425.5259,-1.1022739974888E-02
12.0559360935,0.0044,0.0048,1127.2900,425.5260,-9.4602228788388E-03
12.3650626600,0.0036,0.0039,1127.5167,425.5260,-8.1201988879835E-03
12.6741892265,0.0030,0.0032,1127.6886,425.5261,-6.9751524360927E-03
12.9833157930,0.0025,0.0027,1127.8248,425.5261,-6.0019600995737E-03
13.2924423595,0.0021,0.0022,1127.9408,425.5262,-5.1744445620946E-03
13.6015689260,0.0018,0.0019,1128.0258,425.5262,-4.4715630311263E-03
13.9106954925,0.0015,0.0016,1128.0945,425.5262,-3.8749613614924E-03
14.2198220590,0.0013,0.0014,1128.1506,425.5262,-3.3671722241708E-03
14.5289486255,0.0011,0.0012,1128.1969,425.5262,-2.9332848537217E-03
14.8380751920,0.0010,0.0010,1128.2352,425.5262,-2.5626000759689E-03
15.1472017585,0.0009,0.0009,1128.2673,425.5263,-2.2441862660477E-03
