cell_length,CN_C,CN_A,C6_C,C6_A,Edis
5.1762890700,13.8362,20.2660,85.3197,440.5228,-2.1058284787775E-01
5.5213750080,12.7770,17.0817,85.3197,440.5228,-1.7036424450646E-01
5.8664609460,12.1432,14.7681,85.3197,440.5228,-1.3811528198882E-01
6.2115468840,11.4134,13.1717,85.3197,440.5228,-1.1414788399698E-01
6.5566328220,10.1836,11.9059,85.3197,440.5228,-9.7979641807850E-02
6.9017187600,8.2703,10.5365,85.3197,440.5228,-8.7161389200008E-02
7.2468046980,5.9744,8.8568,85.3197,440.5228,-7.9486143088064E-02
7.5918906360,3.8950,6.9298,85.3197,440.5228,-7.3388466489222E-02
7.9369765740,2.3874,5.0018,85.3198,440.5228,-6.7630909551189E-02
8.2820625120,1.4329,3.3593,85.5568,440.5228,-6.1972012520054E-02
8.6271484500,0.8655,2.1527,106.8728,440.5229,-5.9364809490961E-02
8.9722343880,0.5334,1.3538,372.7790,2223.2752,-2.5894806103204E-01
9.3173203260,0.3376,0.8534,799.4986,2437.4519,-2.9877474427627E-01
9.6624062640,0.2195,0.5459,988.5452,2437.4539,-2.8069199465547E-01
10.0074922020,0.1468,0.3567,1058.4830,2437.4539,-2.5010653502069E-01
10.3525781400,0.1006,0.2383,1088.6497,2437.4539,-2.1654753940565E-01
10.6976640780,0.0707,0.1631,1103.6372,2437.4539,-1.8441702829747E-01
11.0427500160,0.0508,0.1142,1111.9644,2437.4539,-1.5589172138995E-01
11.3878359540,0.0372,0.0816,1117.0005,2437.4539,-1.3157483413274E-01
11.7329218920,0.0278,0.0595,1120.2054,2437.4539,-1.1117290831874E-01
12.0780078300,0.0211,0.0441,1122.3820,2437.4539,-9.4108636823050E-02
12.4230937680,0.0163,0.0333,1123.8582,2437.4539,-7.9761659709110E-02
12.7681797060,0.0127,0.0255,1124.9174,2437.4539,-6.7642862607435E-02
13.1132656440,0.0101,0.0198,1125.6927,2437.4539,-5.7408346634690E-02
13.4583515820,0.0081,0.0156,1126.2588,2437.4539,-4.8763653725723E-02
13.8034375200,0.0066,0.0124,1126.6996,2437.4539,-4.1475986469579E-02
14.1485234580,0.0054,0.0100,1127.0267,2437.4539,-3.5351547875224E-02
14.4936093960,0.0044,0.0081,1127.2940,2437.4539,-3.0203865080892E-02
14.8386953340,0.0037,0.0067,1127.4932,2437.4539,-2.5873327879537E-02
15.1837812720,0.0031,0.0056,1127.6518,2437.4539,-2.2228058237162E-02
15.5288672100,0.0027,0.0047,1127.7793,2437.4539,-1.9151863047661E-02
15.8739531480,0.0023,0.0040,1127.8828,2437.4539,-1.6559964269624E-02
16.2190390860,0.0020,0.0034,1127.9719,2437.4539,-1.4355531292122E-02
16.5641250240,0.0017,0.0029,1128.0416,2437.4539,-1.2485596286558E-02
16.9092109620,0.0015,0.0025,1128.0996,2437.4539,-1.0893571274676E-02
