cell_length,CN_C,CN_A,C6_C,C6_A,Edis
5.0796576225,14.2040,22.3490,85.3197,487.0753,-2.3715835224059E-01
5.4183014640,12.9693,18.6617,85.3197,487.0753,-1.9201581024693E-01
5.7569453055,12.3206,15.9929,85.3197,487.0753,-1.5595891457238E-01
6.0955891470,11.7168,14.0516,85.3197,487.0753,-1.2871760712485E-01
6.4342329885,10.7575,12.6360,85.3197,487.0753,-1.1015035094589E-01
6.7728768300,9.1544,11.3551,85.3197,487.0753,-9.7700779221005E-02
7.1115206715,6.9854,9.9072,85.3197,487.0753,-8.8885865497731E-02
7.4501645130,4.7704,8.2191,85.3197,487.0753,-8.1960429972008E-02
7.7888083545,3.0107,6.3848,85.3197,487.0753,-7.5520023420774E-02
8.1274521960,1.8322,4.6084,85.3298,487.0753,-6.9245062476202E-02
8.4660960375,1.1106,3.1187,88.3512,487.0753,-6.4090182721449E-02
8.8047398790,0.6831,2.0257,180.0836,487.0764,-6.7489950256655E-02
9.1433837205,0.4301,1.2950,595.1072,2251.1816,-2.7266327123995E-01
9.4820275620,0.2780,0.8301,907.2935,2390.1190,-2.8027675059966E-01
9.8206714035,0.1845,0.5395,1026.1109,2390.1227,-2.5213700472859E-01
10.1593152450,0.1257,0.3574,1073.4740,2390.1227,-2.1869262444767E-01
10.4979590865,0.0877,0.2420,1095.5175,2390.1227,-1.8622206872056E-01
10.8366029280,0.0626,0.1674,1107.1898,2390.1227,-1.5735096252255E-01
11.1752467695,0.0455,0.1183,1113.9769,2390.1227,-1.3274549966049E-01
11.5138906110,0.0338,0.0853,1118.1861,2390.1227,-1.1210861077809E-01
11.8525344525,0.0256,0.0626,1120.9473,2390.1227,-9.4845235322518E-02
12.1911782940,0.0196,0.0467,1122.8546,2390.1227,-8.0329840096812E-02
12.5298221355,0.0152,0.0354,1124.1864,2390.1227,-6.8080440455673E-02
12.8684659770,0.0120,0.0273,1125.1322,2390.1227,-5.7744285428520E-02
13.2071098185,0.0096,0.0213,1125.8332,2390.1227,-4.9018533140676E-02
13.5457536600,0.0077,0.0168,1126.3690,2390.1227,-4.1675660959069E-02
13.8843975015,0.0063,0.0135,1126.7657,2390.1227,-3.5502459801910E-02
14.2230413430,0.0052,0.0108,1127.0869,2390.1227,-3.0322674616263E-02
14.5616851845,0.0043,0.0089,1127.3259,2390.1227,-2.5971616750462E-02
14.9003290260,0.0036,0.0073,1127.5151,2390.1227,-2.2307304842036E-02
15.2389728675,0.0031,0.0061,1127.6667,2390.1227,-1.9218105343176E-02
15.5776167090,0.0026,0.0051,1127.7892,2390.1227,-1.6611710103353E-02
15.9162605505,0.0022,0.0043,1127.8937,2390.1227,-1.4403455335010E-02
16.2549043920,0.0019,0.0037,1127.9756,2390.1227,-1.2524085226593E-02
16.5935482335,0.0016,0.0031,1128.0572,2390.1227,-1.0921906108327E-02
