cell_length,CN_C,CN_A,C6_C,C6_A,Edis
6.8183263998,21.4720,14.4911,491.7448,85.3197,-3.6358928607584E-01
7.2728814931,18.8246,13.2723,491.7448,85.3197,-2.8285686677542E-01
7.7274365864,17.1408,11.6654,491.7448,85.3197,-2.2507835553660E-01
8.1819916797,15.4693,9.7031,491.7448,85.3197,-1.8769151578903E-01
8.6365467730,13.1913,7.6105,491.7448,85.3197,-1.6639630184598E-01
9.0911018663,10.1826,5.4979,491.7448,85.3197,-1.5588472784557E-01
9.5456569597,7.0165,3.6096,491.7448,85.3197,-1.4956893763115E-01
10.0002120530,4.4239,2.2068,491.7448,85.3202,-1.4159556495434E-01
10.4547671463,2.6640,1.3090,491.8519,85.9505,-1.3011316994599E-01
10.9093222396,1.5893,0.7780,793.9002,129.2159,-1.5021131664344E-01
11.3638773329,0.9607,0.4718,2267.8870,500.0719,-3.5768116525210E-01
11.8184324262,0.5948,0.2942,2608.0259,880.4455,-6.1824784006743E-01
12.2729875196,0.3787,0.1890,3039.2465,1021.7662,-6.9792612260657E-01
12.7275426129,0.2481,0.1249,3227.2972,1073.9888,-6.4876297461246E-01
13.1820977062,0.1671,0.0848,3293.8770,1096.9473,-5.6946397390516E-01
13.6366527995,0.1154,0.0592,3321.3836,1108.6145,-4.9090240842768E-01
14.0912078928,0.0816,0.0422,3334.7562,1115.2097,-4.2027197003675E-01
14.5457629861,0.0591,0.0308,3342.0363,1119.2074,-3.5835757781697E-01
15.0003180795,0.0436,0.0230,3346.3778,1121.7782,-3.0454931039930E-01
15.4548731728,0.0327,0.0175,3349.1502,1123.5024,-2.5806797151611E-01
15.9094282661,0.0249,0.0134,3351.0165,1124.7180,-2.1823475437451E-01
16.3639833594,0.0193,0.0105,3352.2983,1125.5679,-1.8443174873913E-01
16.8185384527,0.0152,0.0084,3353.1933,1126.1875,-1.5593000059430E-01
17.2730935460,0.0121,0.0067,3353.8439,1126.6482,-1.3202124053879E-01
17.7276486394,0.0097,0.0054,3354.3401,1127.0217,-1.1203530180481E-01
18.1822037327,0.0079,0.0043,3354.7097,1127.3213,-9.5337865292558E-02
18.6367588260,0.0065,0.0036,3354.9903,1127.5250,-8.1388518066496E-02
19.0913139193,0.0054,0.0030,3355.2213,1127.6853,-6.9709170726787E-02
19.5458690126,0.0045,0.0025,3355.4003,1127.8129,-5.9906494562194E-02
20.0004241059,0.0038,0.0022,3355.5366,1127.9155,-5.1660147078799E-02
20.4549791993,0.0032,0.0019,3355.6465,1127.9988,-4.4696041571977E-02
20.9095342926,0.0028,0.0016,3355.7360,1128.0671,-3.8798711280747E-02
21.3640893859,0.0024,0.0014,3355.8215,1128.1235,-3.3789139798257E-02
21.8186444792,0.0020,0.0012,3355.8854,1128.1705,-2.9511539278282E-02
22.2731995725,0.0018,0.0011,3355.9349,1128.2099,-2.5851494626933E-02
