Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_li,LiSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result
Ba,137.33,268.0,0.89,5.212,,272.0,0.018816124430887617,0.026941269071498183,88.0,88.0,0.026941269071498183,0.0005594871421586421,5.59487142158642
Ba,137.33,268.0,0.89,5.212,,272.0,0.015293689961973486,0.061174759847893945,1.0,1.0,0.061174759847893945,0.0002785746160991824,2.785746160991824
Ba,137.33,268.0,0.89,5.212,,272.0,0.018343399180422666,0.022929248975528334,24.0,24.0,0.022929248975528334,0.0006063742131407352,6.063742131407352
K,39.0983,275.0,0.82,4.341,0.501,289.7,0.00199128382444305,0.0079651352977722,1.0,1.0,0.0079651352977722,3.3661428904199085e-05,0.33661428904199087
K,39.0983,275.0,0.82,4.341,0.501,289.7,0.0019257162265210628,0.007702864906084251,1.0,1.0,0.007702864906084251,3.3833090168078387e-05,0.3383309016807839
K,39.0983,275.0,0.82,4.341,0.501,289.7,0.002116585127673875,0.0084663405106955,1.0,1.0,0.0084663405106955,3.646323726877234e-05,0.36463237268772336
K,39.0983,275.0,0.82,4.341,0.501,289.7,0.011820221233091701,0.0157602949774556,3.0,3.0,0.0157602949774556,0.0003636184651381692,3.6361846513816922
K,39.0983,275.0,0.82,4.341,0.501,289.7,0.012355850632417373,0.01647446750988983,3.0,3.0,0.01647446750988983,0.0003912369659761718,3.912369659761718
Pb,207.0,202.0,2.33,7.417,0.36,57.0,0.011863857096235537,0.0154230142251062,40.0,12.0,0.05141004741702066,0.0005969922535261272,5.969922535261272
Ge,72.63,211.0,2.01,7.9,1.35,40.0,0.010151166014746013,0.01568816565915293,22.0,12.0,0.028761637041780374,0.0006200753492187874,6.200753492187874
Ge,72.63,211.0,2.01,7.9,1.35,40.0,0.0010342825138736184,0.0016376139802998957,96.0,56.0,0.0028073382519426785,6.0512571983221284e-05,0.6051257198322129
Si,28.085,210.0,1.9,8.152,1.385,37.3,0.0008369527861343423,0.0013251752447127087,96.0,56.0,0.002271728990936072,5.3094990095240654e-05,0.5309499009524066
In,114.818,193.0,1.78,5.786,0.3,65.0,0.017825645990298376,0.021939256603444153,26.0,6.0,0.095070111948258,0.000988500082294298,9.88500082294298
Si,28.085,210.0,1.9,8.152,1.385,37.3,0.012034943658298089,0.015738003245466734,26.0,8.0,0.05114851054776688,0.0007814776645293501,7.814776645293501
Sn,118.71,217.0,1.96,7.344,1.2,53.0,0.0009550355455569167,0.0013223569092326538,13.0,5.0,0.0034381279640049002,5.3687443972749226e-05,0.5368744397274923
Au,196.96657,166.0,2.54,9.226,2.309,36.06,0.014250476240311408,0.018050603237727784,30.0,8.0,0.06768976214147919,0.0008837939841711745,8.837939841711744
Ge,72.63,211.0,2.01,7.9,1.35,40.0,0.01390384209030329,0.017611533314384167,30.0,8.0,0.06604324992894063,0.0008887388567621538,8.887388567621537
Pd,106.42,202.0,2.2,8.337,0.557,26.14,0.01675567471834174,0.021223854643232867,30.0,8.0,0.07958945491212326,0.0010818092658280267,10.818092658280266
Si,28.085,210.0,1.9,8.152,1.385,37.3,0.013847689615975592,0.017540406846902414,30.0,8.0,0.06577652567588406,0.000894723487241199,8.94723487241199
Pb,207.0,202.0,2.33,7.417,0.36,57.0,0.01348998312756162,0.016664096804634942,85.0,20.0,0.0708224114196985,0.0007137679205759464,7.137679205759464
Sn,118.71,217.0,1.96,7.344,1.2,53.0,0.012759771332836428,0.015762070469974413,85.0,20.0,0.06698879949739125,0.0007048584261500627,7.0485842615006264
Si,28.085,210.0,1.9,8.152,1.385,37.3,0.013140352037946971,0.016269007285077203,84.0,20.0,0.06832983059732425,0.0008588129533928696,8.588129533928695
