Symbol,Structure,Total Sites,Li Sites,Counter Ion Sites,Diff Energy,Diff per Total Sites,Diff per Li Sites,Diff per Counter Ion Sites,Composition
Li,Ba38 Li88,126,88.0,88.0,2.37083167829184,0.018816124430887617,0.026941269071498183,0.026941269071498183,Ba38 Li88
Li,Ba3 Li1,4,1.0,1.0,0.061174759847893945,0.015293689961973486,0.061174759847893945,0.061174759847893945,Ba3 Li1
Li,Ba6 Li24,30,24.0,24.0,0.55030197541268,0.018343399180422666,0.022929248975528334,0.022929248975528334,Ba6 Li24
Li,K3 Li1,4,1.0,1.0,0.0079651352977722,0.00199128382444305,0.0079651352977722,0.0079651352977722,K3 Li1
Li,K3 Li1,4,1.0,1.0,0.007702864906084251,0.0019257162265210628,0.007702864906084251,0.007702864906084251,K3 Li1
Li,K3 Li1,4,1.0,1.0,0.0084663405106955,0.002116585127673875,0.0084663405106955,0.0084663405106955,K3 Li1
Li,K1 Li3,4,3.0,3.0,0.047280884932366804,0.011820221233091701,0.0157602949774556,0.0157602949774556,K1 Li3
Li,K1 Li3,4,3.0,3.0,0.049423402529669494,0.012355850632417373,0.01647446750988983,0.01647446750988983,K1 Li3
Pb,Li40 Pb12,52,40.0,12.0,0.616920569004248,0.011863857096235537,0.0154230142251062,0.05141004741702066,Li40 Pb12
Ge,Li22 Ge12,34,22.0,12.0,0.3451396445013645,0.010151166014746013,0.01568816565915293,0.028761637041780374,Li22 Ge12
Ge,Li96 Ge56,152,96.0,56.0,0.15721094210879,0.0010342825138736184,0.0016376139802998957,0.0028073382519426785,Li96 Ge56
Si,Li96 Si56,152,96.0,56.0,0.12721682349242003,0.0008369527861343423,0.0013251752447127087,0.002271728990936072,Li96 Si56
In,Li26 In6,32,26.0,6.0,0.570420671689548,0.017825645990298376,0.021939256603444153,0.095070111948258,Li26 In6
Si,Li26 Si8,34,26.0,8.0,0.40918808438213505,0.012034943658298089,0.015738003245466734,0.05114851054776688,Li26 Si8
Sn,Li13 Sn5,18,13.0,5.0,0.0171906398200245,0.0009550355455569167,0.0013223569092326538,0.0034381279640049002,Li13 Sn5
Au,Li30 Au8,38,30.0,8.0,0.5415180971318335,0.014250476240311408,0.018050603237727784,0.06768976214147919,Li30 Au8
Ge,Li30 Ge8,38,30.0,8.0,0.528345999431525,0.01390384209030329,0.017611533314384167,0.06604324992894063,Li30 Ge8
Pd,Li30 Pd8,38,30.0,8.0,0.636715639296986,0.01675567471834174,0.021223854643232867,0.07958945491212326,Li30 Pd8
Si,Li30 Si8,38,30.0,8.0,0.5262122054070725,0.013847689615975592,0.017540406846902414,0.06577652567588406,Li30 Si8
Pb,Li85 Pb20,105,85.0,20.0,1.41644822839397,0.01348998312756162,0.016664096804634942,0.0708224114196985,Li85 Pb20
Sn,Li85 Sn20,105,85.0,20.0,1.339775989947825,0.012759771332836428,0.015762070469974413,0.06698879949739125,Li85 Sn20
Si,Li84 Si20,104,84.0,20.0,1.366596611946485,0.013140352037946971,0.016269007285077203,0.06832983059732425,Li84 Si20
Ge,Li88 Ge20,108,88.0,20.0,1.4570076339587101,0.013490811425543613,0.016556904931348978,0.0728503816979355,Li88 Ge20
Pb,Li88 Pb20,108,88.0,20.0,1.51232437372927,0.014003003460456203,0.017185504246923524,0.0756162186864635,Li88 Pb20
Si,Li88 Si20,108,88.0,20.0,1.459966972458125,0.013518212707945601,0.01659053377793324,0.07299834862290625,Li88 Si20
Sn,Li88 Sn20,108,88.0,20.0,1.3295543646865549,0.012310688561912544,0.015108572325983578,0.06647771823432774,Li88 Sn20
As,Li27 As10,37,27.0,10.0,0.43430471634701495,0.01173796530667608,0.016085359864704257,0.0434304716347015,Li27 As10
Sb,Li27 Sb10,37,27.0,10.0,0.4539998366010235,0.012270265854081716,0.01681480876300087,0.04539998366010235,Li27 Sb10
Al,Li4 Al2,6,4.0,2.0,0.1005387439052885,0.016756457317548084,0.025134685976322124,0.05026937195264425,Li4 Al2
Al,Li8 Al4,12,8.0,4.0,0.18457512495513,0.0153812604129275,0.02307189061939125,0.0461437812387825,Li8 Al4
B,Li2 B1,3,2.0,1.0,0.0037030938095280012,0.0012343646031760004,0.0018515469047640006,0.0037030938095280012,Li2 B1
Ca,Li4 Ca2,6,4.0,2.0,0.11420139779892322,0.019033566299820535,0.028550349449730804,0.05710069889946161,Li4 Ca2
Ca,Li8 Ca4,12,8.0,4.0,0.231568984696329,0.01929741539136075,0.028946123087041125,0.05789224617408225,Li8 Ca4
Cd,Li8 Cd4,12,8.0,4.0,0.155421593369251,0.012951799447437582,0.019427699171156373,0.03885539834231275,Li8 Cd4
C,Li2 C1,3,2.0,1.0,0.0312910827194699,0.010430360906489966,0.01564554135973495,0.0312910827194699,Li2 C1
Ga,Li4 Ga14,18,4.0,14.0,0.151456328825927,0.008414240490329277,0.03786408220648175,0.010818309201851927,Li4 Ga14
Ga,Li4 Ga2,6,4.0,2.0,0.020286751384791503,0.003381125230798584,0.005071687846197876,0.010143375692395751,Li4 Ga2
In,Li4 In2,6,4.0,2.0,0.0953315143855074,0.0158885857309179,0.02383287859637685,0.0476657571927537,Li4 In2
Mg,Li4 Mg2,6,4.0,2.0,0.0958355142507778,0.015972585708462966,0.02395887856269445,0.0479177571253889,Li4 Mg2
Mg,Li4 Mg2,6,4.0,2.0,0.1092631944118766,0.018210532401979434,0.02731579860296915,0.0546315972059383,Li4 Mg2
Mg,Li4 Mg2,6,4.0,2.0,0.09815087830151599,0.01635847971691933,0.024537719575378997,0.049075439150757995,Li4 Mg2
Mg,Li4 Mg2,6,4.0,2.0,0.10048745960122535,0.016747909933537558,0.025121864900306337,0.050243729800612674,Li4 Mg2
Mg,Li4 Mg2,6,4.0,2.0,0.09943876576500452,0.016573127627500753,0.02485969144125113,0.04971938288250226,Li4 Mg2
Mg,Li4 Mg2,6,4.0,2.0,0.1026062484557726,0.01710104140929543,0.02565156211394315,0.0513031242278863,Li4 Mg2
Mg,Li4 Mg2,6,4.0,2.0,0.0990682386683362,0.016511373111389366,0.02476705966708405,0.0495341193341681,Li4 Mg2
Mg,Li4 Mg2,6,4.0,2.0,0.0973937030127067,0.016232283835451115,0.024348425753176674,0.04869685150635335,Li4 Mg2
Mg,Li4 Mg2,6,4.0,2.0,0.10317068912217299,0.017195114853695497,0.025792672280543247,0.051585344561086495,Li4 Mg2
Mg,Li4 Mg2,6,4.0,2.0,0.101642307302833,0.016940384550472167,0.02541057682570825,0.0508211536514165,Li4 Mg2
Mg,Li4 Mg2,6,4.0,2.0,0.09235964648168506,0.015393274413614176,0.023089911620421264,0.04617982324084253,Li4 Mg2
Mg,Li4 Mg2,6,4.0,2.0,0.09722472586939271,0.01620412097823212,0.024306181467348177,0.048612362934696354,Li4 Mg2
N,Li2 N1,3,2.0,1.0,0.03045461002609215,0.01015153667536405,0.015227305013046075,0.03045461002609215,Li2 N1
O,Li1 O1,2,1.0,1.0,0.0018863788169081498,0.0009431894084540749,0.0018863788169081498,0.0018863788169081498,Li1 O1
O,Li1 O1,2,1.0,1.0,0.0021241927888246,0.0010620963944123,0.0021241927888246,0.0021241927888246,Li1 O1
O,Li4 O4,8,4.0,4.0,0.052691243799682,0.00658640547496025,0.0131728109499205,0.0131728109499205,Li4 O4
O,Li4 O4,8,4.0,4.0,0.0055512886631799985,0.0006939110828974998,0.0013878221657949996,0.0013878221657949996,Li4 O4
O,Li68 O34,102,68.0,34.0,0.8542426153895899,0.008374927601858725,0.012562391402788087,0.025124782805576173,Li68 O34
O,Li68 O34,102,68.0,34.0,0.9333637755803701,0.009150625250787942,0.013725937876181912,0.027451875752363825,Li68 O34
O,Li68 O34,102,68.0,34.0,0.974696273192905,0.009555845815616715,0.014333768723425074,0.028667537446850147,Li68 O34
O,Li68 O34,102,68.0,34.0,0.9695185687750298,0.009505084007598332,0.014257626011397498,0.028515252022794996,Li68 O34
O,Li2 O1,3,2.0,1.0,0.028551956362745448,0.009517318787581816,0.014275978181372724,0.028551956362745448,Li2 O1
