cell_length,CN_C,CN_A,C6_C,C6_A,Edis
6.4642228076,19.9413,14.4908,85.3197,149.7734,-4.8241091952465E-01
6.8951709947,16.7943,13.1340,85.3197,149.7734,-4.0571595208300E-01
7.3261191819,14.7762,12.4302,85.3197,149.7734,-3.4137985957348E-01
7.7570673691,13.2993,11.8540,85.3197,149.7734,-2.8498643545473E-01
8.1880155563,11.9031,11.0280,85.3197,149.7734,-2.3697534289942E-01
8.6189637434,10.3421,9.6822,85.3197,149.7734,-1.9758625971238E-01
9.0499119306,8.5819,7.8103,85.3197,149.7734,-1.6598256797594E-01
9.4808601178,6.7144,5.7383,85.3197,149.7734,-1.4141124853259E-01
9.9118083049,4.9186,3.8842,85.3197,151.5087,-1.2337069603662E-01
10.3427564921,3.3850,2.4845,85.3197,226.2291,-1.2105898025504E-01
10.7737046793,2.2217,1.5467,85.3202,244.3803,-1.1202033077893E-01
11.2046528665,1.4210,0.9600,85.5801,270.5828,-1.0684523531759E-01
11.6356010536,0.9041,0.6036,101.0994,282.8287,-1.1483749580526E-01
12.0665492408,0.5804,0.3873,293.5868,301.2620,-2.5584569796635E-01
12.4974974280,0.3792,0.2546,711.1604,310.0906,-5.2362520768615E-01
12.9284456151,0.2531,0.1716,944.8627,313.3873,-6.2512283763302E-01
13.3593938023,0.1728,0.1184,1037.0568,314.7782,-6.1612781762853E-01
13.7903419895,0.1206,0.0836,1076.7706,315.4585,-5.7003318593368E-01
14.2212901767,0.0860,0.0602,1096.3867,315.8323,-5.1452061539806E-01
14.6522383638,0.0625,0.0443,1107.2079,316.0548,-4.5962365717166E-01
15.0831865510,0.0463,0.0331,1113.7005,316.1961,-4.0875102885458E-01
15.5141347382,0.0349,0.0252,1117.8316,316.2903,-3.6255646642114E-01
15.9450829253,0.0267,0.0195,1120.5808,316.3550,-3.2076460801138E-01
16.3760311125,0.0208,0.0153,1122.4822,316.4007,-2.8296279154010E-01
16.8069792997,0.0164,0.0121,1123.8369,316.4342,-2.4881842715578E-01
17.2379274869,0.0130,0.0097,1124.8268,316.4590,-2.1814231285681E-01
17.6688756740,0.0105,0.0079,1125.5598,316.4776,-1.9078803676878E-01
18.0998238612,0.0086,0.0065,1126.1199,316.4921,-1.6656820475713E-01
18.5307720484,0.0071,0.0054,1126.5543,316.5033,-1.4528055708300E-01
18.9617202355,0.0059,0.0045,1126.8884,316.5120,-1.2670112020541E-01
19.3926684227,0.0049,0.0038,1127.1591,316.5190,-1.1055344680781E-01
19.8236166099,0.0041,0.0032,1127.3732,316.5250,-9.6556568320232E-02
20.2545647970,0.0035,0.0027,1127.5432,316.5296,-8.4459747198553E-02
20.6855129842,0.0030,0.0024,1127.6849,316.5333,-7.4015754451750E-02
21.1164611714,0.0026,0.0020,1127.8009,316.5365,-6.4993728637655E-02
