cell_length,CN_C,CN_A,C6_C,C6_A,Edis
7.1955612957,25.8809,10.2087,85.3197,10.3708,-1.5522242135239E+00
7.6752653821,21.3121,9.0123,85.3197,10.3708,-1.2743555505516E+00
8.1549694685,18.0941,8.2582,85.3197,10.3708,-1.0477068449408E+00
8.6346735548,15.6762,7.6514,85.3197,10.3708,-8.6413388856595E-01
9.1143776412,13.7404,7.0710,85.3197,10.3708,-7.1781248978266E-01
9.5940817276,12.1131,6.4903,85.3197,10.3708,-6.0230830112335E-01
10.0737858140,10.6742,5.8782,85.3197,10.3708,-5.1113204919465E-01
10.5534899004,9.3355,5.1825,85.3197,10.3708,-4.3918057839597E-01
11.0331939867,8.0338,4.3768,85.3197,10.3708,-3.8308721567637E-01
11.5128980731,6.7328,3.4912,85.3197,10.3708,-3.4044723593524E-01
11.9926021595,5.4496,2.6097,85.3197,10.3711,-3.0898617908651E-01
12.4723062459,4.2579,1.8360,85.3197,10.5070,-2.8703104305789E-01
12.9520103323,3.2293,1.2359,85.3197,12.5201,-2.7810709298837E-01
13.4317144186,2.3887,0.8131,85.3198,12.9937,-2.7282625840782E-01
13.9114185050,1.7261,0.5324,85.3431,13.9269,-2.6848096136249E-01
14.3911225914,1.2216,0.3513,86.5778,14.8286,-2.9997251885531E-01
14.8708266778,0.8519,0.2352,109.3795,15.1884,-4.4563815512032E-01
15.3505307642,0.5902,0.1604,279.3478,15.3209,-7.3903279303346E-01
15.8302348505,0.4097,0.1115,642.1849,15.3776,-1.0407678827758E+00
16.3099389369,0.2867,0.0790,893.0753,15.4056,-1.1944487664598E+00
16.7896430233,0.2031,0.0571,1007.1371,15.4212,-1.2000443886817E+00
17.2693471097,0.1460,0.0420,1059.1336,15.4305,-1.1306705151913E+00
17.7490511961,0.1065,0.0314,1085.3086,15.4364,-1.0355975639027E+00
18.2287552824,0.0789,0.0239,1099.8246,15.4403,-9.3592547572676E-01
18.7084593688,0.0594,0.0184,1108.5276,15.4431,-8.3979999819410E-01
19.1881634552,0.0453,0.0144,1114.0743,15.4450,-7.5027187963785E-01
19.6678675416,0.0350,0.0114,1117.7718,15.4464,-6.6832242240687E-01
20.1475716280,0.0275,0.0091,1120.3351,15.4474,-5.9403343516403E-01
20.6272757143,0.0218,0.0074,1122.1603,15.4482,-5.2710494270415E-01
21.1069798007,0.0175,0.0060,1123.5006,15.4488,-4.6708267109439E-01
21.5866838871,0.0141,0.0050,1124.5002,15.4493,-4.1346070035217E-01
22.0663879735,0.0116,0.0042,1125.2621,15.4496,-3.6572950081627E-01
22.5460920599,0.0095,0.0035,1125.8483,15.4499,-3.2338021125161E-01
23.0257961462,0.0079,0.0030,1126.3049,15.4502,-2.8592458306929E-01
23.5055002326,0.0067,0.0025,1126.6666,15.4504,-2.5288328074811E-01
