cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.9927733185,20.3752,11.5427,85.3197,125.8109,-5.6674833112109E-01
3.1922915397,15.8856,9.6118,85.3197,125.8109,-4.6203600395466E-01
3.3918097610,12.7167,8.7616,85.3197,125.8109,-3.7681732428227E-01
3.5913279822,10.5838,8.3302,85.3197,125.8109,-3.1384601583464E-01
3.7908462034,9.0632,8.0007,85.3197,125.8109,-2.6444715226147E-01
3.9903644247,7.9122,7.5670,85.3197,125.8109,-2.2185895137332E-01
4.1898826459,6.9359,6.8625,85.3197,125.8109,-1.8600910694954E-01
4.3894008671,5.9693,5.8160,85.3197,125.8109,-1.5861846540761E-01
4.5889190884,4.9650,4.5413,85.3197,125.8109,-1.3955881550983E-01
4.7884373096,3.9745,3.2818,85.3197,125.8109,-1.2731738138193E-01
4.9879555308,3.0753,2.2353,85.3197,125.8247,-1.2008836963076E-01
5.1874737521,2.3227,1.4668,85.3199,128.6565,-1.1629591140877E-01
5.3869919733,1.7262,0.9462,85.3431,131.0124,-1.1732718596460E-01
5.5865101945,1.2631,0.6098,86.2264,131.8622,-1.6271079121588E-01
5.7860284158,0.9066,0.3971,100.7822,133.0677,-2.8880639255911E-01
5.9855466370,0.6381,0.2630,220.4969,133.6009,-3.6646509096816E-01
6.1850648582,0.4433,0.1777,564.6851,133.7861,-3.9031370657533E-01
6.3845830795,0.3067,0.1226,858.4735,133.8606,-3.7790071048210E-01
6.5841013007,0.2131,0.0864,996.0628,133.8958,-3.4771908187282E-01
6.7836195219,0.1496,0.0621,1056.3780,133.9147,-3.1354128825877E-01
6.9831377432,0.1064,0.0455,1085.3594,133.9258,-2.8016752531318E-01
7.1826559644,0.0769,0.0339,1100.7880,133.9327,-2.4879000925762E-01
7.3821741856,0.0565,0.0257,1109.7191,133.9373,-2.1968244442453E-01
7.5816924069,0.0421,0.0198,1115.2581,133.9404,-1.9301448328509E-01
7.7812106281,0.0318,0.0154,1118.8719,133.9426,-1.6890302754844E-01
7.9807288493,0.0245,0.0122,1121.3106,133.9442,-1.4740023383651E-01
8.1802470706,0.0191,0.0097,1123.0111,133.9454,-1.2842596298275E-01
8.3797652918,0.0150,0.0079,1124.2334,133.9463,-1.1182565292387E-01
8.5792835130,0.0120,0.0064,1125.1304,133.9469,-9.7399826087721E-02
8.7788017343,0.0097,0.0053,1125.8054,133.9475,-8.4886989540218E-02
8.9783199555,0.0079,0.0044,1126.3208,133.9479,-7.4072181395441E-02
9.1778381767,0.0065,0.0037,1126.7215,133.9482,-6.4731484923341E-02
9.3773563980,0.0054,0.0031,1127.0259,133.9485,-5.6667588195835E-02
9.5768746192,0.0045,0.0027,1127.2699,133.9487,-4.9695092122012E-02
9.7763928404,0.0038,0.0023,1127.4635,133.9488,-4.3661392991920E-02
