cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.4355122975,18.4956,17.4757,85.3197,268.6130,-2.4568675201271E-01
2.5978797840,15.9967,15.3992,85.3197,268.6130,-2.0430117712185E-01
2.7602472705,14.5006,14.0988,85.3197,268.6130,-1.6829989717048E-01
2.9226147570,13.2314,12.8233,85.3197,268.6130,-1.3703503507773E-01
3.0849822435,11.7921,11.3437,85.3197,268.6130,-1.1155586401172E-01
3.2473497300,10.1048,9.7534,85.3197,268.6130,-9.2789599326418E-02
3.4097172165,8.2228,8.1080,85.3197,268.6130,-8.0020719926733E-02
3.5720847030,6.2489,6.3747,85.3197,268.6130,-7.1503234776311E-02
3.7344521895,4.3988,4.6416,85.3197,268.6130,-6.5411461587228E-02
3.8968196760,2.9022,3.1370,85.3197,268.6130,-6.0523490826526E-02
4.0591871625,1.8415,2.0168,85.3291,268.6139,-5.6389187596929E-02
4.2215546490,1.1536,1.2701,87.4754,268.9057,-5.4140837744576E-02
4.3839221355,0.7272,0.8010,151.6866,279.0010,-6.8175850302846E-02
4.5462896220,0.4663,0.5125,512.3682,331.8062,-1.2682394068500E-01
4.7086571085,0.3057,0.3348,860.1615,383.5622,-1.6925639425568E-01
4.8710245950,0.2052,0.2238,1004.8202,405.1108,-1.7143189283162E-01
5.0333920815,0.1411,0.1532,1062.7637,413.4783,-1.5826295915419E-01
5.1957595680,0.0992,0.1072,1089.4212,417.2147,-1.4143867709495E-01
5.3581270545,0.0712,0.0767,1103.3959,419.1298,-1.2491035765234E-01
5.5204945410,0.0521,0.0559,1111.4518,420.2173,-1.0981927272978E-01
5.6828620275,0.0389,0.0415,1116.4128,420.8784,-9.6292923239934E-02
5.8452295140,0.0295,0.0314,1119.6503,421.3069,-8.4187286800871E-02
6.0075970005,0.0228,0.0241,1121.8476,421.5947,-7.3345912750374E-02
6.1699644870,0.0178,0.0188,1123.4035,421.7973,-6.3674011262960E-02
6.3323319735,0.0141,0.0148,1124.5179,421.9414,-5.5115988018985E-02
6.4946994600,0.0113,0.0119,1125.3401,422.0472,-4.7617038694588E-02
6.6570669465,0.0091,0.0095,1125.9617,422.1280,-4.1106633180015E-02
6.8194344330,0.0075,0.0078,1126.4310,422.1878,-3.5495345300894E-02
6.9818019195,0.0062,0.0065,1126.7952,422.2343,-3.0679696471280E-02
7.1441694060,0.0052,0.0054,1127.0873,422.2713,-2.6560168695103E-02
7.3065368925,0.0043,0.0045,1127.3261,422.3011,-2.3042821771269E-02
7.4689043790,0.0037,0.0038,1127.5075,422.3245,-2.0036340898197E-02
7.6312718655,0.0031,0.0032,1127.6577,422.3437,-1.7465430739854E-02
7.7936393520,0.0027,0.0027,1127.7783,422.3586,-1.5264801851708E-02
7.9560068385,0.0023,0.0024,1127.8780,422.3711,-1.3376023873553E-02
