cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.9713118075,22.6896,15.6066,85.3197,118.2863,-1.7354060109953E-01
4.2360659280,18.8284,13.6635,85.3197,118.2863,-1.3906742030620E-01
4.5008200485,16.1205,12.7289,85.3197,118.2863,-1.1093493981333E-01
4.7655741690,14.1997,12.1312,85.3197,118.2863,-8.9565726589593E-02
5.0303282895,12.8493,11.4361,85.3197,118.2863,-7.3771959653164E-02
5.2950824100,11.6702,10.2934,85.3197,118.2863,-6.2410886489519E-02
5.5598365305,10.2800,8.5220,85.3197,118.2863,-5.4416228167225E-02
5.8245906510,8.5343,6.3406,85.3197,118.2863,-4.9123537356035E-02
6.0893447715,6.5934,4.2768,85.3197,148.0657,-5.0800022949986E-02
6.3540988920,4.7600,2.7069,85.3197,148.9006,-4.9672771365046E-02
6.6188530125,3.2568,1.6692,85.3197,186.4757,-5.3760587088028E-02
6.8836071330,2.1490,1.0300,85.3205,207.8856,-5.4554898256049E-02
7.1483612535,1.3924,0.6456,85.6460,509.6058,-7.7229406941956E-02
7.4131153740,0.9001,0.4139,101.6079,531.7520,-7.7319372060072E-02
7.6778694945,0.5874,0.2721,283.3951,532.6323,-1.2100379234168E-01
7.9426236150,0.3896,0.1834,687.9003,532.7358,-1.8852703217635E-01
8.2073777355,0.2635,0.1266,929.6531,532.7594,-2.0568451748597E-01
8.4721318560,0.1820,0.0894,1028.4893,532.7674,-1.9465148849024E-01
8.7368859765,0.1284,0.0645,1071.6204,532.7709,-1.7579345090497E-01
9.0016400970,0.0924,0.0474,1093.0898,532.7726,-1.5589844943321E-01
9.2663942175,0.0677,0.0355,1104.9647,532.7737,-1.3710832359112E-01
9.5311483380,0.0505,0.0271,1112.0741,532.7743,-1.2003715071597E-01
9.7959024585,0.0383,0.0209,1116.6249,532.7747,-1.0476970616767E-01
10.0606565790,0.0295,0.0164,1119.6649,532.7750,-9.1225049735195E-02
10.3254106995,0.0230,0.0130,1121.7762,532.7752,-7.9267794062308E-02
10.5901648200,0.0182,0.0104,1123.2749,532.7753,-6.8775949326035E-02
10.8549189405,0.0145,0.0085,1124.3814,532.7754,-5.9618831947882E-02
11.1196730610,0.0118,0.0070,1125.1954,532.7755,-5.1663537729635E-02
11.3844271815,0.0097,0.0058,1125.8136,532.7756,-4.4782602158490E-02
11.6491813020,0.0080,0.0049,1126.2949,532.7756,-3.8854279670921E-02
11.9139354225,0.0066,0.0041,1126.6766,532.7757,-3.3763809414401E-02
12.1786895430,0.0056,0.0035,1126.9782,532.7757,-2.9390872642426E-02
12.4434436635,0.0047,0.0029,1127.2257,532.7757,-2.5637065210341E-02
12.7081977840,0.0040,0.0025,1127.4141,532.7758,-2.2416331445774E-02
12.9729519045,0.0034,0.0022,1127.5707,532.7758,-1.9645480258421E-02
