cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.9167029659,19.6972,24.8467,85.3197,428.8962,-8.3442334494772E-02
3.1111498303,16.6137,20.2877,85.3197,428.8962,-6.9195334384516E-02
3.3055966947,15.0025,17.1995,85.3197,428.8962,-5.6793859609578E-02
3.5000435591,13.8508,15.3300,85.3197,428.8962,-4.7090876054590E-02
3.6944904235,12.5728,13.9715,85.3197,428.8962,-3.9373631527843E-02
3.8889372878,11.0148,12.5677,85.3197,428.8962,-3.2857488920921E-02
4.0833841522,9.3235,10.9254,85.3197,428.8962,-2.7505997008875E-02
4.2778310166,7.6111,9.1245,85.3197,428.8962,-2.3530705518511E-02
4.4722778810,5.8983,7.2655,85.3197,428.8962,-2.0865474561470E-02
4.6667247454,4.2824,5.4383,85.3197,428.8962,-1.9166477502790E-02
4.8611716098,2.9251,3.8115,85.3197,428.8994,-1.8018933536103E-02
5.0556184742,1.9162,2.5389,85.3249,472.9407,-1.7888231769402E-02
5.2500653386,1.2320,1.6460,86.4790,580.2369,-1.9068291209703E-02
5.4445122030,0.7924,1.0614,124.3506,729.2769,-2.7337609636165E-02
5.6389590674,0.5158,0.6902,406.8144,1462.6303,-6.6996932532441E-02
5.8334059318,0.3421,0.4563,790.3794,1474.9198,-8.9482759429885E-02
6.0278527962,0.2316,0.3077,973.8016,1475.2177,-9.1355839702704E-02
6.2222996606,0.1602,0.2118,1047.8889,1475.2428,-8.4940327376934E-02
6.4167465249,0.1132,0.1490,1081.3311,1475.2473,-7.6349907104391E-02
6.6111933893,0.0814,0.1067,1098.6071,1475.2486,-6.7744439344757E-02
6.8056402537,0.0598,0.0780,1108.3268,1475.2491,-5.9804369081066E-02
7.0000871181,0.0447,0.0580,1114.2843,1475.2493,-5.2665238593439E-02
7.1945339825,0.0340,0.0439,1118.1297,1475.2495,-4.6255220307800E-02
7.3889808469,0.0263,0.0337,1120.7276,1475.2496,-4.0499135378881E-02
7.5834277113,0.0205,0.0262,1122.5728,1475.2496,-3.5343081075018E-02
7.7778745757,0.0162,0.0207,1123.8742,1475.2496,-3.0754030505976E-02
7.9723214401,0.0130,0.0165,1124.8504,1475.2497,-2.6705327950428E-02
8.1667683045,0.0105,0.0133,1125.5653,1475.2497,-2.3165187319496E-02
8.3612151689,0.0086,0.0109,1126.1100,1475.2497,-2.0092119448606E-02
8.5556620333,0.0072,0.0090,1126.5311,1475.2497,-1.7433094244372E-02
8.7501088977,0.0059,0.0074,1126.8797,1475.2497,-1.5149363804868E-02
8.9445557620,0.0049,0.0061,1127.1603,1475.2497,-1.3187718901573E-02
9.1390026264,0.0042,0.0052,1127.3672,1475.2497,-1.1502183437932E-02
9.3334494908,0.0036,0.0044,1127.5345,1475.2497,-1.0055431342597E-02
9.5278963552,0.0031,0.0038,1127.6709,1475.2497,-8.8097106210341E-03
