cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.6063992877,21.8907,15.6295,85.3197,128.7820,-8.5933775655674E-02
2.7801592402,18.3110,13.8050,85.3197,128.7820,-6.9825409846596E-02
2.9539191927,15.7446,12.7866,85.3197,128.7820,-5.6751740633913E-02
3.1276791452,13.9232,12.0555,85.3197,128.7821,-4.6358687751841E-02
3.3014390978,12.6307,11.1589,85.3197,128.7828,-3.8384969398904E-02
3.4751990503,11.4533,9.7314,85.3197,128.7966,-3.2550294299550E-02
3.6489590028,10.0474,7.6980,85.3197,129.6318,-2.8548399765601E-02
3.8227189553,8.3100,5.4506,85.3197,140.1762,-2.6880446825227E-02
3.9964789078,6.3789,3.5322,85.3197,178.3311,-2.7993456852220E-02
4.1702388603,4.5318,2.1814,85.3197,178.3311,-2.7256060865877E-02
4.3439988128,3.0240,1.3302,85.3197,178.8523,-2.6506518089543E-02
4.5177587654,1.9455,0.8188,85.3238,452.3176,-3.8536442147893E-02
4.6915187179,1.2376,0.5145,86.4284,572.5560,-3.9450383016202E-02
4.8652786704,0.7920,0.3314,124.4906,574.5847,-4.2430702261822E-02
5.0390386229,0.5149,0.2192,408.5040,574.7119,-7.4511010672027E-02
5.2127985754,0.3418,0.1487,790.8560,574.7320,-1.0274996363888E-01
5.3865585279,0.2319,0.1034,973.3447,574.7376,-1.0517048040438E-01
5.5603184804,0.1609,0.0736,1047.2622,574.7397,-9.7198126252491E-02
5.7340784330,0.1139,0.0533,1080.9055,574.7407,-8.6770455119277E-02
5.9078383855,0.0824,0.0395,1098.1430,574.7412,-7.6452664212315E-02
6.0815983380,0.0607,0.0298,1107.9783,574.7415,-6.7010717107230E-02
6.2553582905,0.0455,0.0228,1114.0108,574.7417,-5.8574092967327E-02
6.4291182430,0.0347,0.0177,1117.9047,574.7418,-5.1084762441688E-02
6.6028781955,0.0268,0.0140,1120.5616,574.7419,-4.4446229717818E-02
6.7766381480,0.0210,0.0112,1122.4050,574.7420,-3.8575569910929E-02
6.9503981005,0.0166,0.0090,1123.7588,574.7420,-3.3417714066706E-02
7.1241580531,0.0134,0.0073,1124.7331,574.7421,-2.8917978030233E-02
7.2979180056,0.0109,0.0061,1125.4692,574.7421,-2.5015286990386E-02
7.4716779581,0.0089,0.0051,1126.0269,574.7421,-2.1650682449985E-02
7.6454379106,0.0074,0.0043,1126.4589,574.7421,-1.8763915411251E-02
7.8191978631,0.0061,0.0035,1126.8319,574.7422,-1.6288692076752E-02
7.9929578156,0.0051,0.0030,1127.0985,574.7422,-1.4167401938515E-02
8.1667177681,0.0044,0.0026,1127.3123,574.7422,-1.2353078931056E-02
8.3404777207,0.0037,0.0023,1127.4855,574.7422,-1.0795342410027E-02
8.5142376732,0.0032,0.0020,1127.6328,574.7422,-9.4602011546692E-03
