cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.0404582957,17.3534,20.7640,85.3197,455.2854,-5.7713031975379E-02
3.2431555154,15.3546,17.3395,85.3197,455.2854,-4.8368119529016E-02
3.4458527351,14.1098,15.3549,85.3197,455.2854,-4.0376326770361E-02
3.6485499548,12.8340,13.9685,85.3197,455.2854,-3.3265062171575E-02
3.8512471746,11.2467,12.5252,85.3197,455.2854,-2.7614045148057E-02
4.0539443943,9.4711,10.8062,85.3197,455.2854,-2.3397826567902E-02
4.2566416140,7.6500,8.9110,85.3197,455.2854,-2.0077836052646E-02
4.4593388337,5.8219,6.9550,85.3197,455.2854,-1.7350818096640E-02
4.6620360534,4.1159,5.0580,85.3197,455.2855,-1.5192255234342E-02
4.8647332731,2.7250,3.4268,85.3197,486.4133,-1.3960938158655E-02
5.0674304928,1.7324,2.2093,85.3420,541.2881,-1.3343250481345E-02
5.2701277125,1.0863,1.3940,88.9968,595.1104,-1.3542658377840E-02
5.4728249323,0.6850,0.8801,178.6810,636.2791,-2.2719210029922E-02
5.6755221520,0.4394,0.5635,573.7440,666.4801,-4.7894476855767E-02
5.8782193717,0.2881,0.3682,890.8143,703.7012,-6.0508974020187E-02
6.0809165914,0.1934,0.2462,1017.3162,721.2860,-6.0558592383729E-02
6.2836138111,0.1329,0.1685,1068.5533,728.2649,-5.6497307252976E-02
6.4863110308,0.0935,0.1179,1092.5236,731.3641,-5.1375275508754E-02
6.6890082505,0.0670,0.0842,1105.2597,732.9378,-4.6105272593549E-02
6.8917054703,0.0491,0.0614,1112.6283,733.8190,-4.0995490877309E-02
7.0944026900,0.0367,0.0456,1117.2058,734.3529,-3.6189795148171E-02
7.2970999097,0.0278,0.0345,1120.2057,734.6964,-3.1768463331868E-02
7.4997971294,0.0214,0.0264,1122.2813,734.9301,-2.7785021680219E-02
7.7024943491,0.0167,0.0206,1123.7174,735.0905,-2.4244255747973E-02
7.9051915688,0.0133,0.0163,1124.7609,735.2060,-2.1128942800011E-02
8.1078887885,0.0106,0.0130,1125.5377,735.2913,-1.8403651142929E-02
8.3105860082,0.0086,0.0105,1126.1113,735.3539,-1.6022630700401E-02
8.5132832280,0.0071,0.0086,1126.5494,735.4015,-1.3946377632402E-02
8.7159804477,0.0058,0.0070,1126.9077,735.4400,-1.2140583739956E-02
8.9186776674,0.0048,0.0058,1127.1862,735.4698,-1.0575606038557E-02
9.1213748871,0.0040,0.0049,1127.4019,735.4928,-9.2184470148495E-03
9.3240721068,0.0034,0.0041,1127.5695,735.5107,-8.0470565148942E-03
9.5267693265,0.0029,0.0035,1127.7051,735.5252,-7.0340566337026E-03
9.7294665462,0.0025,0.0030,1127.8174,735.5371,-6.1624659412629E-03
9.9321637659,0.0022,0.0026,1127.9115,735.5471,-5.4099303018822E-03
