cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.0385377482,17.4655,20.9395,85.3197,389.6069,-7.8004318295399E-02
3.2411069314,15.4179,17.4514,85.3197,389.6069,-6.1034039599994E-02
3.4436761147,14.1651,15.4270,85.3197,389.6069,-4.7912630944609E-02
3.6462452979,12.9051,14.0355,85.3197,389.6069,-3.8432943741259E-02
3.8488144811,11.3348,12.6079,85.3197,389.6069,-3.1780370285995E-02
4.0513836643,9.5669,10.9048,85.3197,389.6069,-2.7320684989343E-02
4.2539528475,7.7519,9.0191,85.3197,389.6069,-2.4422891342248E-02
4.4565220307,5.9279,7.0695,85.3197,389.6069,-2.2587307719157E-02
4.6590912139,4.2140,5.1693,85.3197,389.6069,-2.1435453487805E-02
4.8616603972,2.8031,3.5202,85.3197,389.6208,-2.0603992831420E-02
5.0642295804,1.7874,2.2777,85.3341,465.2429,-2.1638978567725E-02
5.2667987636,1.1225,1.4400,88.0783,614.4038,-2.4558090685148E-02
5.4693679468,0.7081,0.9098,162.8312,774.0557,-3.9428748403044E-02
5.6719371300,0.4541,0.5824,540.0478,782.1309,-7.2633855506137E-02
5.8745063132,0.2975,0.3804,874.7043,787.2130,-8.7713121671327E-02
6.0770754965,0.1996,0.2541,1010.9168,789.7120,-8.4892526300630E-02
6.2796446797,0.1371,0.1738,1065.6643,790.7218,-7.6592635988171E-02
6.4822138629,0.0963,0.1215,1091.0342,791.1713,-6.7505945235592E-02
6.6847830461,0.0690,0.0867,1104.4002,791.3991,-5.9027037623238E-02
6.8873522293,0.0505,0.0631,1112.0937,791.5265,-5.1443789189633E-02
7.0899214125,0.0377,0.0469,1116.8535,791.6035,-4.4709662787804E-02
7.2924905957,0.0286,0.0354,1119.9631,791.6529,-3.8718605223796E-02
7.4950597790,0.0219,0.0271,1122.1089,791.6865,-3.3415369038890E-02
7.6976289622,0.0172,0.0211,1123.5911,791.7096,-2.8749680037479E-02
7.9001981454,0.0136,0.0167,1124.6597,791.7260,-2.4691106355203E-02
8.1027673286,0.0109,0.0133,1125.4656,791.7384,-2.1194285500380E-02
8.3053365118,0.0088,0.0107,1126.0553,791.7473,-1.8198320814299E-02
8.5079056950,0.0072,0.0088,1126.5053,791.7541,-1.5646175548424E-02
8.7104748783,0.0059,0.0072,1126.8727,791.7596,-1.3475512554096E-02
8.9130440615,0.0050,0.0060,1127.1445,791.7637,-1.1636275521495E-02
9.1156132447,0.0041,0.0050,1127.3790,791.7672,-1.0070937695856E-02
9.3181824279,0.0035,0.0042,1127.5506,791.7697,-8.7413333236729E-03
9.5207516111,0.0030,0.0036,1127.6894,791.7718,-7.6069918066284E-03
9.7233207943,0.0026,0.0031,1127.8074,791.7736,-6.6409129133926E-03
9.9258899775,0.0022,0.0026,1127.9004,791.7749,-5.8140753556688E-03
