cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.1529676275,22.1154,23.1618,85.3197,398.0973,-1.6888304095425E-01
4.4298321360,18.1933,19.1266,85.3197,398.0973,-1.4246819872368E-01
4.7066966445,15.5220,16.2974,85.3197,398.0973,-1.2062137868687E-01
4.9835611530,13.8160,14.3399,85.3197,398.0973,-1.0054432015332E-01
5.2604256615,12.7453,13.0704,85.3197,398.0973,-8.3163625433690E-02
5.5372901700,11.8632,12.1001,85.3197,398.0973,-6.9323927997350E-02
5.8141546785,10.7667,11.0061,85.3197,398.0973,-5.8540588126903E-02
6.0910191870,9.2042,9.4885,85.3197,398.0973,-5.0017670687243E-02
6.3678836955,7.2253,7.5349,85.3197,398.0973,-4.3237637493722E-02
6.6447482040,5.1877,5.4695,85.3197,543.4036,-4.4447512690263E-02
6.9216127125,3.4732,3.6913,85.3197,543.4036,-3.9799160040129E-02
7.1984772210,2.2349,2.3864,85.3201,543.4036,-3.6673374019832E-02
7.4753417295,1.4199,1.5195,85.5824,543.4484,-3.4854432014063E-02
7.7522062380,0.9070,0.9712,100.7311,662.9875,-4.0312147026415E-02
8.0290707465,0.5885,0.6299,281.7703,812.6192,-7.8388455447300E-02
8.3059352550,0.3896,0.4167,687.8476,814.2969,-1.3887844840109E-01
8.5827997635,0.2637,0.2817,929.3687,814.3541,-1.6127813948533E-01
8.8596642720,0.1825,0.1946,1028.0807,814.3601,-1.5775541604183E-01
9.1365287805,0.1290,0.1374,1071.2570,814.3613,-1.4539841773313E-01
9.4133932890,0.0930,0.0989,1092.7803,814.3617,-1.3098493506005E-01
9.6902577975,0.0683,0.0725,1104.7169,814.3619,-1.1697619493247E-01
9.9671223060,0.0511,0.0542,1111.8665,814.3620,-1.0408537671766E-01
10.2439868145,0.0388,0.0411,1116.4618,814.3620,-9.2387100219866E-02
10.5208513230,0.0299,0.0316,1119.5402,814.3620,-8.1760898728516E-02
10.7977158315,0.0233,0.0247,1121.6703,814.3620,-7.2099376995942E-02
11.0745803400,0.0185,0.0195,1123.1844,814.3621,-6.3344245521349E-02
11.3514448485,0.0148,0.0156,1124.3033,814.3621,-5.5466518814236E-02
11.6283093570,0.0120,0.0127,1125.1306,814.3621,-4.8439200665375E-02
11.9051738655,0.0099,0.0104,1125.7595,814.3621,-4.2238404391576E-02
12.1820383740,0.0081,0.0085,1126.2684,814.3621,-3.6808740875971E-02
12.4589028825,0.0067,0.0071,1126.6463,814.3621,-3.2083809629322E-02
12.7357673910,0.0056,0.0059,1126.9543,814.3621,-2.7986642651933E-02
13.0126318995,0.0048,0.0050,1127.1945,814.3621,-2.4450963999204E-02
13.2894964080,0.0041,0.0043,1127.3947,814.3621,-2.1394032944921E-02
13.5663609165,0.0035,0.0037,1127.5513,814.3621,-1.8760611618363E-02
